 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb
model.000.00.pdb,0.286,0.088,0.014,0.000,0.000,0.000,0.000,0.070,0.069,0.043,0.291,0.360,0.017,0.414,0.000,0.412,0.125,0.268,0.315,0.089
model.000.01.pdb,0.073,0.026,0.048,0.000,0.000,0.000,0.000,0.000,0.000,0.239,0.359,0.063,0.000,0.719,0.000,0.492,0.013,0.048,0.074,0.027
model.000.02.pdb,0.538,0.250,0.067,0.000,0.132,0.000,0.024,0.353,0.400,0.000,0.129,0.689,0.115,0.125,0.000,0.127,0.392,0.612,0.612,0.255
model.000.03.pdb,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.365,0.296,0.031,0.000,0.141,0.000,0.060,0.000,0.014,0.000,0.000
model.000.04.pdb,0.250,0.058,0.000,0.000,0.088,0.000,0.000,0.125,0.170,0.000,0.185,0.419,0.000,0.154,0.000,0.102,0.191,0.391,0.362,0.059
model.000.05.pdb,0.134,0.294,0.810,0.196,0.058,0.340,0.081,0.204,0.158,0.000,0.000,0.091,0.488,0.024,0.138,0.056,0.196,0.136,0.136,0.226
model.000.06.pdb,0.081,0.167,0.633,0.224,0.027,0.426,0.063,0.078,0.061,0.000,0.000,0.013,0.259,0.084,0.148,0.111,0.109,0.068,0.082,0.131
model.000.07.pdb,0.500,0.475,0.113,0.000,0.269,0.000,0.090,0.657,0.788,0.000,0.015,0.413,0.326,0.026,0.000,0.062,0.765,0.417,0.478,0.526
model.000.08.pdb,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.659,0.532,0.000,0.000,0.221,0.000,0.123,0.000,0.014,0.000,0.000
model.000.09.pdb,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.714,0.511,0.000,0.000,0.242,0.000,0.143,0.000,0.000,0.000,0.000
model.000.10.pdb,0.041,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.328,0.490,0.074,0.000,0.475,0.000,0.351,0.015,0.070,0.070,0.000
model.000.11.pdb,0.420,0.130,0.029,0.000,0.062,0.000,0.014,0.200,0.220,0.000,0.167,0.558,0.035,0.174,0.000,0.183,0.292,0.489,0.489,0.132
model.000.12.pdb,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.568,0.581,0.000,0.000,0.339,0.000,0.232,0.000,0.015,0.015,0.000
model.000.13.pdb,0.064,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.297,0.577,0.113,0.000,0.550,0.000,0.383,0.014,0.093,0.093,0.000
model.000.14.pdb,0.471,0.204,0.042,0.000,0.125,0.000,0.026,0.306,0.327,0.000,0.175,0.651,0.086,0.149,0.000,0.154,0.375,0.542,0.542,0.208
model.000.15.pdb,0.241,0.442,0.565,0.068,0.062,0.157,0.041,0.298,0.240,0.000,0.000,0.115,0.500,0.065,0.051,0.125,0.312,0.203,0.246,0.386
model.000.16.pdb,0.783,0.358,0.108,0.000,0.129,0.000,0.036,0.420,0.412,0.000,0.095,0.625,0.167,0.136,0.000,0.224,0.490,0.688,0.723,0.392
model.000.17.pdb,0.194,0.333,0.345,0.226,0.365,0.245,0.279,0.312,0.306,0.000,0.000,0.061,0.590,0.000,0.164,0.000,0.226,0.123,0.141,0.340
model.000.18.pdb,0.702,0.346,0.096,0.000,0.167,0.000,0.050,0.438,0.429,0.000,0.082,0.520,0.172,0.098,0.000,0.159,0.479,0.717,0.756,0.380
model.000.19.pdb,0.108,0.029,0.038,0.000,0.000,0.000,0.000,0.000,0.000,0.206,0.446,0.147,0.000,0.769,0.000,0.547,0.028,0.110,0.141,0.029
