 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb
model.000.00.pdb,0.455,0.640,0.060,0.621,0.015,0.014,0.000,0.617,0.571,0.000,0.304,0.464,0.000,0.444,0.090,0.608,0.246,0.000,0.027,0.673
model.000.01.pdb,0.489,0.380,0.000,0.397,0.000,0.088,0.000,0.235,0.524,0.000,0.765,0.438,0.000,0.625,0.000,0.353,0.575,0.034,0.000,0.353
model.000.02.pdb,0.167,0.250,0.350,0.069,0.042,0.000,0.000,0.204,0.071,0.000,0.018,0.182,0.000,0.052,0.302,0.226,0.017,0.000,0.000,0.250
model.000.03.pdb,0.000,0.000,0.120,0.000,0.209,0.017,0.192,0.000,0.000,0.261,0.000,0.000,0.056,0.000,0.055,0.000,0.000,0.054,0.271,0.000
model.000.04.pdb,0.633,0.577,0.076,0.403,0.000,0.000,0.000,0.462,0.426,0.000,0.352,0.547,0.000,0.444,0.074,0.439,0.310,0.000,0.000,0.547
model.000.05.pdb,0.000,0.000,0.051,0.000,0.115,0.065,0.333,0.000,0.000,0.391,0.000,0.000,0.167,0.000,0.032,0.000,0.000,0.121,0.264,0.000
model.000.06.pdb,0.500,0.711,0.119,0.391,0.000,0.000,0.000,0.543,0.440,0.000,0.283,0.540,0.000,0.460,0.133,0.571,0.268,0.000,0.000,0.674
model.000.07.pdb,0.000,0.070,0.444,0.048,0.488,0.000,0.014,0.111,0.014,0.047,0.000,0.000,0.000,0.000,0.426,0.056,0.000,0.000,0.129,0.070
model.000.08.pdb,0.350,0.596,0.125,0.508,0.046,0.013,0.000,0.750,0.444,0.000,0.213,0.361,0.000,0.362,0.175,0.660,0.167,0.000,0.027,0.660
model.000.09.pdb,0.082,0.227,0.429,0.120,0.347,0.000,0.000,0.250,0.086,0.000,0.000,0.080,0.000,0.041,0.674,0.209,0.000,0.000,0.119,0.227
model.000.10.pdb,0.000,0.000,0.049,0.000,0.017,0.000,0.321,0.000,0.000,0.404,0.000,0.000,0.066,0.000,0.015,0.000,0.045,0.000,0.015,0.000
model.000.11.pdb,0.080,0.122,0.029,0.301,0.115,0.056,0.000,0.242,0.147,0.000,0.057,0.064,0.043,0.113,0.121,0.153,0.013,0.087,0.262,0.137
model.000.12.pdb,0.013,0.127,0.533,0.108,0.444,0.000,0.000,0.194,0.056,0.000,0.000,0.026,0.000,0.027,0.651,0.143,0.000,0.000,0.138,0.159
model.000.13.pdb,0.041,0.013,0.000,0.011,0.000,0.059,0.213,0.000,0.000,0.228,0.029,0.082,0.095,0.014,0.000,0.000,0.141,0.029,0.000,0.000
model.000.14.pdb,0.091,0.117,0.000,0.361,0.092,0.082,0.013,0.194,0.191,0.013,0.116,0.117,0.056,0.188,0.055,0.229,0.053,0.130,0.290,0.147
model.000.15.pdb,0.000,0.000,0.200,0.000,0.240,0.000,0.263,0.000,0.000,0.388,0.000,0.000,0.063,0.000,0.062,0.000,0.000,0.030,0.145,0.000
model.000.16.pdb,0.000,0.000,0.000,0.000,0.000,0.046,0.591,0.000,0.000,0.737,0.000,0.000,0.182,0.000,0.000,0.000,0.015,0.081,0.030,0.000
model.000.17.pdb,0.000,0.000,0.062,0.000,0.066,0.028,0.415,0.000,0.000,0.449,0.000,0.000,0.094,0.000,0.000,0.000,0.028,0.029,0.028,0.000
model.000.18.pdb,0.000,0.000,0.015,0.000,0.016,0.029,0.500,0.000,0.000,0.545,0.000,0.000,0.136,0.000,0.000,0.000,0.029,0.045,0.014,0.000
model.000.19.pdb,0.086,0.219,0.457,0.098,0.212,0.000,0.000,0.263,0.090,0.000,0.000,0.083,0.000,0.028,0.605,0.200,0.000,0.000,0.059,0.219
