 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb
model.000.00.pdb,0.030,0.224,0.040,0.000,0.014,0.489,0.136,0.058,0.000,0.327,0.460,0.138,0.345,0.467,0.143,0.291,0.339,0.039,0.560,0.000
model.000.01.pdb,0.186,0.240,0.176,0.000,0.132,0.500,0.328,0.154,0.000,0.264,0.531,0.015,0.246,0.478,0.028,0.106,0.466,0.174,0.600,0.000
model.000.02.pdb,0.595,0.244,0.500,0.014,0.650,0.000,0.294,0.684,0.161,0.120,0.000,0.000,0.000,0.000,0.000,0.000,0.014,0.400,0.045,0.031
model.000.03.pdb,0.051,0.072,0.095,0.000,0.023,0.558,0.187,0.036,0.000,0.129,0.554,0.026,0.257,0.455,0.036,0.118,0.702,0.094,0.559,0.000
model.000.04.pdb,0.222,0.022,0.354,0.015,0.292,0.000,0.148,0.304,0.130,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.029,0.375,0.000,0.050
model.000.05.pdb,0.000,0.000,0.000,0.071,0.000,0.051,0.000,0.000,0.000,0.000,0.062,0.000,0.131,0.052,0.063,0.031,0.000,0.000,0.028,0.014
model.000.06.pdb,0.000,0.000,0.000,0.571,0.014,0.000,0.000,0.000,0.203,0.000,0.000,0.068,0.000,0.000,0.095,0.015,0.000,0.000,0.000,0.460
model.000.07.pdb,0.185,0.191,0.233,0.000,0.109,0.370,0.420,0.150,0.000,0.196,0.353,0.000,0.129,0.319,0.000,0.063,0.519,0.250,0.480,0.000
model.000.08.pdb,0.032,0.075,0.071,0.000,0.000,0.730,0.180,0.014,0.000,0.127,0.707,0.000,0.315,0.658,0.015,0.097,0.481,0.070,0.630,0.000
model.000.09.pdb,0.000,0.000,0.000,0.553,0.046,0.000,0.000,0.000,0.340,0.000,0.000,0.093,0.000,0.000,0.083,0.016,0.000,0.000,0.000,0.568
model.000.10.pdb,0.000,0.060,0.000,0.000,0.000,0.622,0.030,0.000,0.000,0.160,0.610,0.073,0.523,0.735,0.102,0.231,0.246,0.000,0.479,0.000
model.000.11.pdb,0.029,0.292,0.039,0.000,0.027,0.533,0.132,0.087,0.000,0.426,0.531,0.193,0.357,0.478,0.156,0.304,0.328,0.038,0.538,0.000
model.000.12.pdb,0.000,0.000,0.000,0.180,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.015,0.000,0.049,0.000,0.000,0.000,0.000,0.115
model.000.13.pdb,0.000,0.074,0.013,0.000,0.000,0.667,0.123,0.029,0.000,0.167,0.690,0.032,0.412,0.641,0.045,0.150,0.373,0.041,0.583,0.000
model.000.14.pdb,0.488,0.233,0.651,0.000,0.447,0.000,0.478,0.535,0.047,0.115,0.000,0.000,0.000,0.000,0.000,0.000,0.070,0.600,0.044,0.000
model.000.15.pdb,0.148,0.240,0.176,0.000,0.100,0.468,0.305,0.136,0.000,0.241,0.531,0.000,0.188,0.388,0.000,0.058,0.466,0.174,0.600,0.000
model.000.16.pdb,0.000,0.037,0.000,0.027,0.000,0.432,0.029,0.000,0.000,0.151,0.408,0.127,0.591,0.476,0.236,0.340,0.179,0.000,0.396,0.029
model.000.17.pdb,0.000,0.000,0.000,0.088,0.000,0.017,0.000,0.000,0.000,0.000,0.031,0.000,0.046,0.017,0.031,0.000,0.013,0.000,0.014,0.029
model.000.18.pdb,0.032,0.000,0.088,0.027,0.029,0.000,0.044,0.030,0.061,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.068,0.136,0.000,0.029
model.000.19.pdb,0.167,0.240,0.194,0.000,0.116,0.533,0.351,0.154,0.000,0.241,0.500,0.000,0.226,0.447,0.000,0.074,0.466,0.191,0.667,0.000
