 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb
model.000.00.pdb,0.469,0.170,0.029,0.000,0.131,0.000,0.027,0.245,0.319,0.000,0.145,0.659,0.053,0.155,0.000,0.200,0.340,0.479,0.511,0.196
model.000.01.pdb,0.123,0.019,0.000,0.000,0.000,0.000,0.000,0.019,0.038,0.049,0.260,0.250,0.000,0.213,0.000,0.103,0.058,0.212,0.189,0.000
model.000.02.pdb,0.640,0.309,0.093,0.000,0.097,0.000,0.012,0.315,0.309,0.000,0.141,0.625,0.129,0.227,0.000,0.302,0.404,0.558,0.688,0.340
model.000.03.pdb,0.024,0.057,0.120,0.364,0.500,0.224,0.833,0.090,0.088,0.000,0.000,0.013,0.143,0.000,0.423,0.000,0.042,0.012,0.025,0.074
model.000.04.pdb,0.580,0.278,0.053,0.000,0.206,0.000,0.064,0.417,0.468,0.000,0.114,0.531,0.175,0.099,0.000,0.145,0.458,0.592,0.592,0.283
model.000.05.pdb,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.511,0.591,0.000,0.000,0.397,0.000,0.224,0.000,0.014,0.014,0.000
model.000.06.pdb,0.362,0.113,0.026,0.000,0.013,0.000,0.000,0.097,0.095,0.026,0.238,0.415,0.015,0.369,0.000,0.386,0.167,0.345,0.368,0.115
model.000.07.pdb,0.481,0.288,0.055,0.000,0.121,0.000,0.025,0.347,0.367,0.000,0.152,0.659,0.121,0.145,0.000,0.116,0.417,0.551,0.583,0.294
model.000.08.pdb,0.164,0.214,0.114,0.095,0.562,0.066,0.344,0.314,0.360,0.000,0.000,0.121,0.245,0.000,0.115,0.000,0.232,0.116,0.149,0.264
model.000.09.pdb,0.045,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.131,0.308,0.161,0.000,0.215,0.000,0.095,0.000,0.115,0.097,0.000
model.000.10.pdb,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.571,0.583,0.000,0.000,0.381,0.000,0.262,0.000,0.013,0.013,0.000
model.000.11.pdb,0.000,0.000,0.000,0.017,0.063,0.000,0.175,0.000,0.000,0.061,0.045,0.031,0.000,0.000,0.091,0.000,0.000,0.015,0.000,0.000
model.000.12.pdb,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.592,0.351,0.000,0.000,0.143,0.000,0.083,0.000,0.000,0.000,0.000
model.000.13.pdb,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.591,0.568,0.000,0.000,0.311,0.000,0.207,0.000,0.015,0.015,0.000
model.000.14.pdb,0.000,0.000,0.000,0.063,0.043,0.016,0.176,0.000,0.000,0.169,0.056,0.014,0.000,0.000,0.158,0.000,0.000,0.000,0.000,0.000
model.000.15.pdb,0.000,0.000,0.000,0.000,0.000,0.000,0.068,0.000,0.000,0.230,0.138,0.029,0.000,0.062,0.048,0.027,0.000,0.000,0.000,0.000
model.000.16.pdb,0.087,0.027,0.048,0.000,0.000,0.000,0.000,0.000,0.000,0.225,0.344,0.078,0.000,0.644,0.000,0.500,0.013,0.049,0.075,0.027
model.000.17.pdb,0.627,0.327,0.137,0.000,0.053,0.000,0.012,0.309,0.281,0.000,0.139,0.519,0.164,0.224,0.000,0.317,0.370,0.547,0.608,0.333
model.000.18.pdb,0.038,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.414,0.588,0.068,0.000,0.508,0.000,0.344,0.000,0.052,0.052,0.000
model.000.19.pdb,0.053,0.111,0.096,0.268,0.571,0.136,0.750,0.150,0.148,0.000,0.000,0.013,0.172,0.000,0.321,0.000,0.076,0.026,0.039,0.131
