 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb,model.000.25.pdb,model.000.26.pdb,model.000.27.pdb,model.000.28.pdb,model.000.29.pdb
model.000.00.pdb,0.032,0.015,0.169,0.000,0.000,0.000,0.000,0.286,0.014,0.000,0.246,0.114,0.094,0.000,0.032,0.101,0.000,0.000,0.269,0.000,0.196,0.047,0.000,0.058,0.179,0.109,0.075,0.000,0.000,0.558
model.000.01.pdb,0.667,0.000,0.203,0.605,0.000,0.356,0.378,0.000,0.404,0.000,0.082,0.327,0.383,0.694,0.639,0.014,0.000,0.000,0.000,0.439,0.265,0.000,0.013,0.333,0.000,0.000,0.095,0.457,0.000,0.051
model.000.02.pdb,0.268,0.000,0.547,0.125,0.000,0.059,0.090,0.040,0.132,0.000,0.242,0.292,0.152,0.161,0.346,0.108,0.000,0.000,0.075,0.167,0.304,0.000,0.035,0.129,0.181,0.000,0.057,0.099,0.000,0.352
model.000.03.pdb,0.413,0.000,0.118,0.610,0.000,0.571,0.595,0.000,0.543,0.000,0.092,0.300,0.346,0.571,0.362,0.000,0.000,0.000,0.015,0.333,0.241,0.000,0.000,0.460,0.000,0.000,0.229,0.636,0.000,0.031
model.000.04.pdb,0.365,0.000,0.139,0.500,0.029,0.200,0.197,0.000,0.242,0.050,0.000,0.135,0.152,0.500,0.373,0.038,0.113,0.139,0.000,0.667,0.074,0.000,0.127,0.179,0.000,0.000,0.045,0.592,0.176,0.000
model.000.05.pdb,0.295,0.000,0.111,0.404,0.039,0.176,0.174,0.000,0.197,0.070,0.000,0.095,0.105,0.379,0.258,0.071,0.160,0.200,0.000,0.529,0.038,0.000,0.183,0.145,0.000,0.000,0.064,0.536,0.218,0.000
model.000.06.pdb,0.196,0.000,0.040,0.236,0.000,0.545,0.605,0.000,0.587,0.000,0.404,0.538,0.565,0.283,0.179,0.000,0.000,0.000,0.259,0.065,0.408,0.000,0.000,0.786,0.000,0.000,0.492,0.254,0.000,0.113
model.000.07.pdb,0.091,0.000,0.224,0.034,0.000,0.034,0.051,0.098,0.065,0.000,0.375,0.217,0.182,0.034,0.135,0.044,0.000,0.000,0.220,0.000,0.319,0.000,0.000,0.115,0.104,0.000,0.095,0.000,0.000,0.824
model.000.08.pdb,0.037,0.118,0.146,0.050,0.151,0.000,0.000,0.034,0.000,0.371,0.000,0.000,0.000,0.063,0.038,0.382,0.379,0.403,0.000,0.139,0.000,0.118,0.603,0.000,0.212,0.127,0.000,0.098,0.375,0.000
model.000.09.pdb,0.000,0.302,0.000,0.000,0.259,0.062,0.045,0.175,0.058,0.111,0.177,0.127,0.091,0.000,0.000,0.000,0.119,0.068,0.308,0.000,0.030,0.232,0.062,0.071,0.000,0.123,0.275,0.000,0.122,0.078
