 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb,model.000.25.pdb,model.000.26.pdb,model.000.27.pdb,model.000.28.pdb,model.000.29.pdb
model.000.00.pdb,0.000,0.000,0.250,0.037,0.556,0.000,0.082,0.048,0.000,0.127,0.000,0.000,0.000,0.000,0.348,0.000,0.000,0.000,0.300,0.000,0.000,0.259,0.568,0.017,0.018,0.425,0.000,0.200,0.000,0.155
model.000.01.pdb,0.365,0.237,0.000,0.214,0.000,0.100,0.030,0.136,0.259,0.016,0.391,0.377,0.016,0.327,0.000,0.159,0.675,0.032,0.000,0.217,0.537,0.000,0.000,0.050,0.018,0.000,0.357,0.000,0.426,0.045
model.000.02.pdb,0.013,0.012,0.060,0.160,0.218,0.087,0.085,0.056,0.041,0.058,0.028,0.012,0.108,0.026,0.123,0.038,0.000,0.156,0.583,0.012,0.000,0.068,0.150,0.029,0.000,0.388,0.024,0.164,0.013,0.054
model.000.03.pdb,0.000,0.043,0.525,0.012,0.500,0.000,0.063,0.065,0.000,0.105,0.000,0.000,0.000,0.000,0.432,0.043,0.000,0.000,0.138,0.043,0.000,0.327,0.686,0.000,0.188,0.208,0.000,0.130,0.000,0.133
model.000.04.pdb,0.458,0.263,0.034,0.167,0.000,0.048,0.000,0.158,0.196,0.000,0.340,0.532,0.000,0.259,0.033,0.180,0.435,0.000,0.000,0.220,0.409,0.000,0.000,0.016,0.140,0.000,0.415,0.000,0.500,0.015
model.000.05.pdb,0.000,0.000,0.271,0.000,0.239,0.000,0.098,0.000,0.000,0.212,0.000,0.000,0.000,0.000,0.086,0.000,0.000,0.000,0.065,0.000,0.000,0.643,0.405,0.069,0.213,0.094,0.000,0.109,0.000,0.283
model.000.06.pdb,0.000,0.000,0.265,0.000,0.261,0.000,0.153,0.000,0.000,0.280,0.000,0.000,0.000,0.000,0.085,0.000,0.000,0.000,0.081,0.000,0.000,0.750,0.429,0.105,0.184,0.113,0.000,0.148,0.000,0.327
model.000.07.pdb,0.118,0.099,0.000,0.111,0.000,0.578,0.106,0.014,0.159,0.015,0.255,0.114,0.308,0.213,0.000,0.083,0.333,0.400,0.014,0.099,0.333,0.000,0.000,0.062,0.000,0.000,0.174,0.031,0.161,0.014
model.000.08.pdb,0.000,0.000,0.269,0.000,0.292,0.000,0.180,0.000,0.000,0.283,0.000,0.000,0.000,0.000,0.133,0.000,0.000,0.000,0.127,0.000,0.000,0.682,0.488,0.136,0.148,0.167,0.000,0.138,0.000,0.352
model.000.09.pdb,0.640,0.527,0.058,0.371,0.000,0.000,0.000,0.368,0.463,0.000,0.471,0.787,0.000,0.509,0.056,0.474,0.368,0.000,0.000,0.474,0.213,0.000,0.000,0.000,0.169,0.000,0.673,0.000,0.625,0.000
model.000.10.pdb,0.000,0.000,0.000,0.000,0.000,0.077,0.674,0.000,0.000,0.744,0.000,0.000,0.218,0.000,0.000,0.000,0.029,0.113,0.092,0.000,0.031,0.345,0.085,0.558,0.000,0.068,0.000,0.435,0.000,0.587
model.000.11.pdb,0.000,0.000,0.141,0.000,0.232,0.000,0.362,0.000,0.000,0.471,0.000,0.000,0.072,0.000,0.071,0.000,0.000,0.027,0.219,0.000,0.000,0.500,0.315,0.298,0.030,0.250,0.000,0.404,0.000,0.509
model.000.12.pdb,0.000,0.000,0.161,0.000,0.220,0.000,0.291,0.000,0.000,0.426,0.000,0.000,0.065,0.000,0.063,0.000,0.000,0.015,0.129,0.000,0.000,0.622,0.400,0.222,0.070,0.170,0.000,0.300,0.000,0.469
model.000.13.pdb,0.000,0.029,0.419,0.037,0.583,0.000,0.063,0.082,0.000,0.125,0.000,0.000,0.000,0.000,0.370,0.029,0.000,0.000,0.200,0.029,0.000,0.353,0.686,0.000,0.118,0.289,0.000,0.130,0.000,0.153
model.000.14.pdb,0.000,0.000,0.255,0.038,0.618,0.000,0.048,0.049,0.000,0.089,0.000,0.000,0.000,0.000,0.271,0.000,0.000,0.000,0.422,0.000,0.000,0.241,0.500,0.017,0.038,0.600,0.000,0.255,0.000,0.119
