 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb,model.000.25.pdb,model.000.26.pdb,model.000.27.pdb,model.000.28.pdb,model.000.29.pdb
model.000.00.pdb,0.000,0.000,0.491,0.000,0.569,0.126,0.000,0.102,0.000,0.123,0.000,0.000,0.000,0.000,0.552,0.462,0.082,0.531,0.354,0.528,0.027,0.000,0.041,0.000,0.537,0.246,0.463,0.095,0.000,0.053
model.000.01.pdb,0.510,0.125,0.000,0.438,0.014,0.310,0.628,0.000,0.115,0.133,0.098,0.318,0.200,0.217,0.024,0.000,0.072,0.000,0.064,0.027,0.479,0.490,0.076,0.327,0.013,0.041,0.000,0.032,0.245,0.345
model.000.02.pdb,0.143,0.489,0.000,0.067,0.000,0.173,0.102,0.000,0.000,0.000,0.016,0.000,0.452,0.062,0.000,0.000,0.000,0.000,0.000,0.000,0.119,0.360,0.269,0.730,0.000,0.000,0.000,0.000,0.017,0.211
model.000.03.pdb,0.110,0.000,0.114,0.141,0.113,0.021,0.072,0.362,0.358,0.358,0.291,0.148,0.000,0.222,0.171,0.000,0.660,0.000,0.208,0.096,0.042,0.013,0.000,0.000,0.139,0.455,0.000,0.545,0.228,0.000
model.000.04.pdb,0.012,0.000,0.446,0.041,0.708,0.136,0.041,0.117,0.056,0.230,0.000,0.083,0.000,0.039,0.736,0.258,0.191,0.426,0.525,0.627,0.068,0.000,0.013,0.000,0.667,0.407,0.266,0.109,0.014,0.080
model.000.05.pdb,0.000,0.014,0.370,0.000,0.250,0.094,0.000,0.034,0.000,0.000,0.000,0.000,0.000,0.000,0.269,0.821,0.000,0.458,0.137,0.226,0.000,0.000,0.127,0.000,0.238,0.056,0.682,0.000,0.000,0.000
model.000.06.pdb,0.531,0.148,0.000,0.489,0.000,0.083,0.308,0.000,0.347,0.082,0.354,0.167,0.333,0.511,0.000,0.000,0.108,0.000,0.000,0.000,0.169,0.127,0.015,0.196,0.000,0.014,0.000,0.148,0.362,0.075
model.000.07.pdb,0.084,0.000,0.225,0.093,0.544,0.359,0.153,0.043,0.025,0.266,0.000,0.164,0.000,0.036,0.441,0.135,0.145,0.277,0.574,0.459,0.273,0.162,0.037,0.012,0.492,0.309,0.130,0.069,0.068,0.299
model.000.08.pdb,0.000,0.000,0.569,0.000,0.328,0.088,0.000,0.138,0.000,0.014,0.000,0.000,0.000,0.000,0.338,0.638,0.039,0.434,0.203,0.302,0.000,0.000,0.055,0.000,0.292,0.123,0.509,0.061,0.000,0.000
model.000.09.pdb,0.132,0.600,0.000,0.078,0.000,0.033,0.061,0.000,0.015,0.000,0.047,0.000,0.500,0.090,0.000,0.000,0.000,0.000,0.000,0.000,0.044,0.123,0.127,0.255,0.000,0.000,0.000,0.000,0.031,0.072
model.000.10.pdb,0.154,0.273,0.000,0.081,0.000,0.300,0.153,0.000,0.000,0.000,0.000,0.000,0.280,0.044,0.000,0.000,0.000,0.000,0.013,0.000,0.211,0.543,0.353,0.718,0.000,0.000,0.014,0.000,0.000,0.286
model.000.11.pdb,0.190,0.000,0.048,0.326,0.155,0.076,0.216,0.083,0.333,0.667,0.204,0.389,0.000,0.275,0.222,0.000,0.500,0.016,0.210,0.153,0.189,0.066,0.000,0.000,0.186,0.388,0.000,0.302,0.318,0.100
model.000.12.pdb,0.099,0.000,0.154,0.148,0.152,0.000,0.076,0.525,0.327,0.380,0.308,0.157,0.000,0.213,0.194,0.000,0.500,0.014,0.200,0.132,0.029,0.000,0.000,0.000,0.129,0.400,0.014,0.585,0.241,0.000
model.000.13.pdb,0.463,0.138,0.000,0.315,0.013,0.301,0.500,0.000,0.094,0.094,0.095,0.224,0.236,0.172,0.012,0.000,0.056,0.000,0.076,0.013,0.490,0.596,0.106,0.392,0.000,0.026,0.000,0.031,0.193,0.407
model.000.14.pdb,0.147,0.000,0.103,0.250,0.206,0.080,0.183,0.173,0.302,0.769,0.193,0.311,0.000,0.233,0.303,0.000,0.562,0.014,0.333,0.203,0.143,0.057,0.000,0.000,0.274,0.481,0.000,0.383,0.264,0.087
model.000.15.pdb,0.136,0.321,0.000,0.098,0.000,0.000,0.030,0.000,0.138,0.000,0.226,0.000,0.280,0.224,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.014,0.030,0.081,0.000,0.000,0.000,0.033,0.143,0.014
model.000.16.pdb,0.000,0.029,0.352,0.000,0.276,0.122,0.000,0.000,0.000,0.015,0.000,0.000,0.000,0.000,0.312,0.707,0.000,0.568,0.171,0.230,0.000,0.000,0.167,0.000,0.328,0.056,0.738,0.000,0.000,0.014
model.000.17.pdb,0.000,0.155,0.045,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.016,0.000,0.052,0.000,0.000,0.138,0.000,0.000,0.000,0.014,0.000,0.000,0.082,0.032,0.000,0.000,0.078,0.000,0.000,0.000
model.000.18.pdb,0.197,0.447,0.000,0.102,0.000,0.099,0.119,0.000,0.049,0.000,0.068,0.000,0.550,0.113,0.000,0.000,0.000,0.000,0.000,0.000,0.098,0.278,0.196,0.477,0.000,0.000,0.000,0.000,0.051,0.186
model.000.19.pdb,0.123,0.308,0.000,0.048,0.000,0.271,0.119,0.000,0.000,0.000,0.000,0.000,0.319,0.030,0.000,0.000,0.000,0.000,0.013,0.000,0.196,0.568,0.340,0.806,0.000,0.000,0.014,0.000,0.000,0.296
model.000.20.pdb,0.125,0.000,0.083,0.217,0.179,0.054,0.156,0.208,0.333,0.600,0.203,0.265,0.000,0.222,0.236,0.000,0.696,0.000,0.279,0.176,0.119,0.041,0.000,0.000,0.224,0.600,0.000,0.388,0.273,0.068
model.000.21.pdb,0.136,0.000,0.075,0.264,0.123,0.034,0.172,0.289,0.375,0.500,0.327,0.302,0.000,0.268,0.203,0.000,0.636,0.000,0.209,0.121,0.113,0.029,0.000,0.000,0.188,0.451,0.000,0.590,0.306,0.029
model.000.22.pdb,0.000,0.032,0.119,0.000,0.000,0.000,0.000,0.238,0.034,0.000,0.113,0.000,0.000,0.016,0.000,0.105,0.000,0.000,0.000,0.015,0.000,0.000,0.000,0.000,0.000,0.000,0.031,0.098,0.018,0.000
model.000.23.pdb,0.000,0.000,0.396,0.000,0.388,0.147,0.000,0.019,0.000,0.017,0.000,0.000,0.000,0.000,0.418,0.561,0.000,0.800,0.226,0.327,0.000,0.000,0.085,0.000,0.420,0.095,0.595,0.000,0.000,0.015
model.000.24.pdb,0.279,0.074,0.000,0.273,0.000,0.000,0.127,0.151,0.438,0.113,0.619,0.093,0.196,0.510,0.000,0.000,0.172,0.000,0.000,0.000,0.043,0.000,0.000,0.045,0.000,0.055,0.000,0.300,0.426,0.014
model.000.25.pdb,0.147,0.490,0.000,0.077,0.000,0.022,0.029,0.017,0.113,0.000,0.193,0.000,0.489,0.194,0.000,0.000,0.014,0.000,0.000,0.000,0.014,0.121,0.091,0.228,0.000,0.000,0.000,0.032,0.117,0.042
model.000.26.pdb,0.000,0.000,0.520,0.000,0.351,0.092,0.000,0.088,0.000,0.029,0.000,0.000,0.000,0.000,0.359,0.587,0.000,0.500,0.214,0.322,0.000,0.000,0.043,0.000,0.333,0.114,0.520,0.000,0.000,0.027
model.000.27.pdb,0.000,0.000,0.383,0.000,0.200,0.000,0.000,0.500,0.035,0.113,0.094,0.000,0.000,0.000,0.188,0.088,0.161,0.070,0.156,0.196,0.000,0.000,0.000,0.000,0.131,0.264,0.048,0.310,0.000,0.000
model.000.28.pdb,0.000,0.000,0.471,0.000,0.246,0.106,0.000,0.089,0.000,0.000,0.000,0.000,0.000,0.000,0.303,0.714,0.000,0.479,0.151,0.222,0.000,0.000,0.075,0.000,0.254,0.069,0.562,0.000,0.000,0.000
