 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb,model.000.25.pdb,model.000.26.pdb,model.000.27.pdb
model.000.00.pdb,0.549,0.467,0.107,0.000,0.612,0.000,0.542,0.014,0.429,0.099,0.000,0.127,0.055,0.027,0.137,0.000,0.000,0.000,0.000,0.087,0.000,0.000,0.609,0.481,0.404,0.457,0.000,0.413
model.000.01.pdb,0.673,0.451,0.077,0.000,0.500,0.000,0.491,0.066,0.571,0.117,0.000,0.222,0.104,0.012,0.282,0.000,0.000,0.000,0.000,0.122,0.000,0.000,0.491,0.491,0.500,0.500,0.000,0.490
model.000.02.pdb,0.043,0.000,0.222,0.118,0.043,0.068,0.081,0.610,0.123,0.479,0.048,0.074,0.628,0.000,0.027,0.196,0.000,0.061,0.015,0.447,0.000,0.015,0.000,0.014,0.015,0.000,0.036,0.000
model.000.03.pdb,0.000,0.000,0.000,0.220,0.000,0.367,0.000,0.045,0.000,0.000,0.327,0.000,0.000,0.217,0.013,0.315,0.605,0.396,0.511,0.000,0.304,0.750,0.000,0.000,0.000,0.000,0.292,0.000
model.000.04.pdb,0.000,0.000,0.000,0.409,0.000,0.581,0.000,0.076,0.000,0.000,0.250,0.013,0.014,0.121,0.052,0.532,0.522,0.293,0.385,0.000,0.488,0.651,0.000,0.000,0.000,0.000,0.537,0.000
model.000.05.pdb,0.571,0.231,0.176,0.000,0.426,0.000,0.500,0.109,0.696,0.246,0.000,0.279,0.190,0.014,0.227,0.000,0.000,0.000,0.000,0.237,0.000,0.000,0.286,0.293,0.420,0.250,0.000,0.235
model.000.06.pdb,0.766,0.296,0.245,0.000,0.537,0.000,0.696,0.100,0.714,0.262,0.000,0.167,0.191,0.000,0.176,0.000,0.000,0.000,0.000,0.254,0.000,0.000,0.368,0.446,0.453,0.365,0.000,0.327
model.000.07.pdb,0.088,0.326,0.000,0.000,0.156,0.000,0.095,0.000,0.027,0.000,0.063,0.014,0.000,0.164,0.040,0.000,0.031,0.043,0.045,0.000,0.000,0.015,0.232,0.180,0.062,0.265,0.000,0.304
model.000.08.pdb,0.000,0.000,0.000,0.204,0.000,0.340,0.000,0.014,0.000,0.000,0.352,0.000,0.000,0.242,0.024,0.316,0.622,0.444,0.531,0.000,0.362,0.721,0.000,0.000,0.000,0.000,0.347,0.000
model.000.09.pdb,0.660,0.444,0.130,0.000,0.472,0.000,0.553,0.059,0.549,0.149,0.000,0.215,0.118,0.000,0.224,0.000,0.000,0.000,0.000,0.156,0.000,0.000,0.404,0.407,0.469,0.500,0.000,0.455
model.000.10.pdb,0.054,0.204,0.000,0.000,0.054,0.030,0.043,0.000,0.013,0.000,0.014,0.013,0.000,0.071,0.038,0.000,0.029,0.041,0.028,0.000,0.069,0.075,0.123,0.070,0.043,0.179,0.067,0.185
model.000.11.pdb,0.000,0.000,0.049,0.294,0.000,0.286,0.000,0.190,0.000,0.081,0.480,0.000,0.145,0.182,0.000,0.583,0.423,0.491,0.490,0.069,0.182,0.471,0.000,0.000,0.000,0.000,0.155,0.000
model.000.12.pdb,0.379,0.675,0.033,0.000,0.429,0.000,0.364,0.000,0.286,0.026,0.000,0.080,0.013,0.027,0.167,0.000,0.000,0.000,0.000,0.027,0.000,0.000,0.705,0.444,0.321,0.700,0.000,0.650
model.000.13.pdb,0.349,0.469,0.133,0.000,0.545,0.000,0.404,0.000,0.265,0.050,0.000,0.036,0.025,0.079,0.085,0.000,0.000,0.000,0.000,0.052,0.000,0.000,0.778,0.694,0.254,0.490,0.000,0.543
model.000.14.pdb,0.000,0.000,0.015,0.193,0.000,0.213,0.000,0.100,0.000,0.025,0.652,0.000,0.052,0.333,0.000,0.393,0.434,0.688,0.625,0.013,0.136,0.400,0.000,0.000,0.000,0.000,0.113,0.000
model.000.15.pdb,0.014,0.000,0.143,0.261,0.014,0.164,0.030,0.595,0.057,0.333,0.119,0.042,0.479,0.000,0.013,0.333,0.048,0.109,0.079,0.302,0.036,0.098,0.000,0.000,0.000,0.000,0.073,0.000
model.000.16.pdb,0.627,0.346,0.222,0.000,0.482,0.000,0.560,0.055,0.680,0.206,0.000,0.151,0.141,0.000,0.208,0.000,0.000,0.000,0.000,0.197,0.000,0.000,0.393,0.446,0.481,0.420,0.000,0.353
model.000.17.pdb,0.080,0.030,0.000,0.200,0.013,0.200,0.013,0.071,0.079,0.081,0.000,0.390,0.097,0.000,0.466,0.134,0.042,0.013,0.013,0.041,0.226,0.071,0.041,0.026,0.230,0.045,0.241,0.015
model.000.18.pdb,0.015,0.000,0.186,0.178,0.030,0.093,0.033,0.378,0.030,0.241,0.151,0.000,0.347,0.000,0.000,0.286,0.034,0.119,0.105,0.255,0.000,0.069,0.000,0.015,0.000,0.000,0.019,0.000
model.000.19.pdb,0.000,0.000,0.083,0.421,0.000,0.304,0.000,0.370,0.000,0.133,0.192,0.000,0.241,0.015,0.000,0.524,0.148,0.218,0.185,0.102,0.104,0.212,0.000,0.000,0.000,0.000,0.146,0.000
model.000.20.pdb,0.429,0.340,0.189,0.000,0.633,0.000,0.562,0.000,0.328,0.082,0.000,0.038,0.026,0.085,0.077,0.000,0.000,0.000,0.000,0.086,0.000,0.000,0.531,0.696,0.254,0.360,0.000,0.435
model.000.21.pdb,0.014,0.000,0.100,0.163,0.000,0.086,0.000,0.500,0.043,0.420,0.066,0.106,0.591,0.000,0.086,0.218,0.000,0.061,0.031,0.308,0.000,0.015,0.000,0.000,0.015,0.000,0.055,0.000
model.000.22.pdb,0.070,0.189,0.000,0.000,0.027,0.031,0.029,0.000,0.069,0.000,0.000,0.203,0.000,0.000,0.290,0.000,0.000,0.000,0.000,0.000,0.111,0.029,0.127,0.088,0.207,0.185,0.107,0.127
model.000.23.pdb,0.000,0.000,0.000,0.216,0.000,0.333,0.000,0.044,0.000,0.000,0.429,0.000,0.000,0.298,0.000,0.333,0.628,0.500,0.600,0.000,0.245,0.651,0.000,0.000,0.000,0.000,0.235,0.000
model.000.24.pdb,0.000,0.000,0.000,0.579,0.000,0.404,0.000,0.353,0.000,0.194,0.079,0.056,0.259,0.014,0.082,0.489,0.133,0.177,0.111,0.092,0.204,0.211,0.000,0.000,0.000,0.000,0.271,0.000
model.000.25.pdb,0.000,0.000,0.000,0.133,0.000,0.233,0.000,0.000,0.000,0.000,0.490,0.000,0.000,0.404,0.012,0.258,0.689,0.653,0.660,0.000,0.264,0.571,0.000,0.000,0.000,0.000,0.255,0.000
model.000.26.pdb,0.000,0.032,0.000,0.051,0.000,0.133,0.000,0.000,0.000,0.000,0.000,0.099,0.000,0.042,0.141,0.029,0.094,0.027,0.059,0.000,0.220,0.145,0.029,0.000,0.044,0.032,0.235,0.016
model.000.27.pdb,0.055,0.000,0.250,0.107,0.055,0.062,0.091,0.543,0.130,0.583,0.061,0.099,0.744,0.000,0.052,0.180,0.000,0.042,0.029,0.460,0.000,0.014,0.000,0.027,0.014,0.000,0.050,0.000
model.000.28.pdb,0.000,0.032,0.000,0.016,0.000,0.062,0.000,0.000,0.000,0.000,0.045,0.054,0.000,0.104,0.066,0.000,0.077,0.071,0.075,0.000,0.109,0.127,0.014,0.000,0.029,0.048,0.125,0.033
model.000.29.pdb,0.000,0.017,0.000,0.055,0.000,0.123,0.000,0.000,0.000,0.000,0.031,0.072,0.000,0.061,0.100,0.046,0.119,0.060,0.079,0.000,0.188,0.175,0.015,0.000,0.047,0.017,0.180,0.017
