 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb,model.000.25.pdb,model.000.26.pdb,model.000.27.pdb,model.000.28.pdb,model.000.29.pdb
model.000.00.pdb,0.000,0.000,0.000,0.294,0.241,0.000,0.000,0.067,0.373,0.000,0.308,0.076,0.000,0.000,0.043,0.000,0.000,0.145,0.000,0.000,0.000,0.000,0.294,0.196,0.032,0.237,0.634,0.000,0.489,0.658
model.000.01.pdb,0.000,0.000,0.390,0.089,0.148,0.033,0.000,0.000,0.048,0.000,0.000,0.245,0.000,0.000,0.153,0.526,0.000,0.158,0.359,0.459,0.000,0.541,0.000,0.088,0.714,0.015,0.000,0.409,0.000,0.000
model.000.02.pdb,0.000,0.000,0.079,0.161,0.327,0.028,0.000,0.000,0.188,0.000,0.042,0.116,0.000,0.000,0.082,0.113,0.000,0.453,0.049,0.121,0.000,0.172,0.091,0.141,0.365,0.145,0.159,0.123,0.074,0.113
model.000.03.pdb,0.000,0.000,0.442,0.100,0.155,0.015,0.000,0.000,0.061,0.000,0.000,0.420,0.000,0.000,0.259,0.658,0.000,0.060,0.657,0.595,0.000,0.512,0.000,0.117,0.413,0.058,0.000,0.426,0.000,0.000
model.000.04.pdb,0.027,0.064,0.700,0.000,0.014,0.177,0.179,0.000,0.000,0.088,0.000,0.149,0.000,0.013,0.053,0.468,0.129,0.085,0.391,0.250,0.027,0.581,0.000,0.000,0.291,0.000,0.000,0.698,0.000,0.000
model.000.05.pdb,0.078,0.123,0.551,0.000,0.000,0.246,0.225,0.000,0.000,0.155,0.000,0.133,0.012,0.023,0.048,0.400,0.176,0.062,0.333,0.197,0.050,0.462,0.000,0.000,0.197,0.000,0.000,0.653,0.000,0.000
model.000.06.pdb,0.000,0.000,0.143,0.417,0.438,0.000,0.000,0.000,0.358,0.000,0.000,0.780,0.000,0.000,0.596,0.275,0.000,0.043,0.277,0.452,0.000,0.164,0.000,0.438,0.288,0.389,0.015,0.131,0.000,0.032
model.000.07.pdb,0.000,0.000,0.000,0.326,0.409,0.000,0.000,0.000,0.383,0.000,0.105,0.158,0.000,0.000,0.097,0.036,0.000,0.200,0.000,0.059,0.000,0.000,0.173,0.265,0.154,0.259,0.348,0.000,0.240,0.349
model.000.08.pdb,0.426,0.532,0.096,0.000,0.000,0.574,0.655,0.038,0.000,0.509,0.024,0.000,0.275,0.292,0.000,0.038,0.596,0.156,0.027,0.000,0.313,0.039,0.091,0.000,0.012,0.000,0.012,0.118,0.000,0.000
model.000.09.pdb,0.076,0.068,0.000,0.153,0.062,0.000,0.027,0.347,0.161,0.029,0.129,0.090,0.108,0.100,0.230,0.000,0.000,0.000,0.000,0.000,0.108,0.000,0.000,0.211,0.000,0.271,0.045,0.000,0.131,0.066
model.000.10.pdb,0.000,0.000,0.029,0.583,0.400,0.000,0.000,0.042,0.600,0.000,0.054,0.446,0.000,0.000,0.537,0.074,0.000,0.025,0.097,0.169,0.000,0.029,0.000,0.604,0.103,0.766,0.116,0.027,0.116,0.141
model.000.11.pdb,0.053,0.087,0.565,0.000,0.027,0.203,0.186,0.000,0.000,0.099,0.000,0.125,0.013,0.012,0.051,0.460,0.137,0.066,0.308,0.232,0.026,0.500,0.000,0.000,0.230,0.000,0.000,0.638,0.000,0.000
model.000.12.pdb,0.028,0.025,0.634,0.000,0.014,0.091,0.147,0.000,0.000,0.043,0.000,0.206,0.014,0.053,0.099,0.478,0.130,0.013,0.500,0.280,0.071,0.457,0.000,0.014,0.207,0.013,0.000,0.636,0.000,0.000
model.000.13.pdb,0.000,0.000,0.500,0.089,0.127,0.033,0.000,0.000,0.048,0.000,0.000,0.269,0.000,0.000,0.153,0.657,0.000,0.100,0.432,0.543,0.000,0.583,0.000,0.088,0.579,0.015,0.000,0.512,0.000,0.000
model.000.14.pdb,0.538,0.492,0.074,0.000,0.000,0.393,0.556,0.172,0.000,0.519,0.082,0.000,0.528,0.623,0.000,0.028,0.556,0.025,0.030,0.000,0.688,0.000,0.116,0.000,0.000,0.000,0.013,0.083,0.013,0.014
model.000.15.pdb,0.000,0.000,0.065,0.522,0.690,0.000,0.000,0.000,0.510,0.000,0.014,0.500,0.000,0.000,0.453,0.175,0.000,0.119,0.127,0.312,0.000,0.082,0.000,0.543,0.302,0.453,0.092,0.060,0.044,0.098
