 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb,model.000.25.pdb,model.000.26.pdb,model.000.27.pdb,model.000.28.pdb,model.000.29.pdb
model.000.00.pdb,0.327,0.000,0.000,0.000,0.000,0.423,0.000,0.000,0.000,0.025,0.000,0.012,0.522,0.340,0.000,0.152,0.015,0.235,0.013,0.491,0.571,0.000,0.000,0.056,0.066,0.013,0.000,0.000,0.125,0.014
model.000.01.pdb,0.172,0.000,0.068,0.000,0.000,0.226,0.000,0.000,0.000,0.012,0.012,0.091,0.412,0.259,0.000,0.182,0.015,0.275,0.066,0.653,0.491,0.000,0.056,0.013,0.122,0.013,0.000,0.000,0.022,0.100
model.000.02.pdb,0.000,0.240,0.396,0.235,0.289,0.032,0.213,0.192,0.000,0.029,0.056,0.490,0.109,0.000,0.062,0.000,0.239,0.256,0.591,0.111,0.097,0.304,0.548,0.000,0.029,0.000,0.349,0.122,0.013,0.571
model.000.03.pdb,0.160,0.000,0.047,0.000,0.013,0.173,0.067,0.037,0.000,0.011,0.126,0.021,0.235,0.232,0.152,0.452,0.000,0.100,0.033,0.453,0.319,0.000,0.035,0.023,0.301,0.134,0.038,0.068,0.030,0.060
model.000.04.pdb,0.000,0.261,0.500,0.255,0.500,0.000,0.514,0.450,0.000,0.015,0.203,0.380,0.000,0.000,0.231,0.016,0.104,0.020,0.467,0.000,0.000,0.273,0.525,0.000,0.153,0.065,0.742,0.417,0.000,0.550
model.000.05.pdb,0.153,0.000,0.000,0.000,0.000,0.045,0.000,0.000,0.200,0.013,0.145,0.000,0.000,0.138,0.091,0.145,0.000,0.000,0.000,0.028,0.000,0.000,0.000,0.029,0.013,0.213,0.000,0.000,0.037,0.000
model.000.06.pdb,0.061,0.193,0.043,0.190,0.085,0.000,0.033,0.133,0.721,0.345,0.038,0.026,0.000,0.015,0.057,0.000,0.068,0.000,0.041,0.000,0.000,0.082,0.000,0.217,0.000,0.152,0.049,0.070,0.225,0.000
model.000.07.pdb,0.095,0.000,0.091,0.000,0.033,0.148,0.033,0.015,0.000,0.000,0.067,0.099,0.320,0.136,0.058,0.286,0.000,0.229,0.087,0.500,0.327,0.000,0.077,0.000,0.203,0.027,0.050,0.053,0.000,0.145
model.000.08.pdb,0.186,0.000,0.000,0.000,0.000,0.164,0.000,0.000,0.000,0.000,0.038,0.013,0.264,0.283,0.028,0.327,0.000,0.111,0.000,0.583,0.321,0.000,0.000,0.000,0.130,0.027,0.000,0.000,0.012,0.000
model.000.09.pdb,0.015,0.333,0.078,0.300,0.132,0.000,0.054,0.208,0.522,0.396,0.041,0.071,0.000,0.000,0.045,0.000,0.135,0.000,0.059,0.000,0.000,0.192,0.000,0.232,0.000,0.108,0.091,0.118,0.221,0.000
model.000.10.pdb,0.320,0.000,0.000,0.000,0.000,0.288,0.000,0.000,0.000,0.028,0.000,0.000,0.286,0.455,0.000,0.211,0.000,0.098,0.000,0.500,0.296,0.000,0.000,0.062,0.042,0.000,0.000,0.000,0.092,0.000
