 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb,model.000.25.pdb,model.000.26.pdb,model.000.27.pdb,model.000.28.pdb,model.000.29.pdb
model.000.00.pdb,0.000,0.161,0.346,0.158,0.130,0.030,0.132,0.102,0.000,0.042,0.040,0.490,0.123,0.000,0.029,0.029,0.250,0.239,0.431,0.159,0.109,0.212,0.447,0.000,0.103,0.000,0.196,0.055,0.024,0.468
model.000.01.pdb,0.113,0.000,0.069,0.000,0.019,0.304,0.000,0.000,0.000,0.031,0.000,0.097,0.474,0.096,0.000,0.000,0.130,0.750,0.161,0.250,0.340,0.019,0.132,0.033,0.015,0.000,0.000,0.000,0.101,0.151
model.000.02.pdb,0.000,0.136,0.509,0.134,0.246,0.026,0.250,0.190,0.000,0.012,0.143,0.509,0.104,0.000,0.141,0.053,0.148,0.175,0.509,0.169,0.125,0.159,0.500,0.000,0.181,0.037,0.340,0.153,0.000,0.646
model.000.03.pdb,0.068,0.283,0.051,0.300,0.074,0.013,0.029,0.149,0.660,0.554,0.023,0.086,0.000,0.027,0.025,0.000,0.200,0.000,0.076,0.000,0.000,0.190,0.013,0.390,0.000,0.076,0.058,0.061,0.371,0.013
model.000.04.pdb,0.000,0.309,0.453,0.304,0.236,0.027,0.136,0.200,0.000,0.065,0.024,0.627,0.092,0.000,0.026,0.000,0.264,0.208,0.538,0.111,0.083,0.373,0.531,0.000,0.038,0.000,0.283,0.083,0.022,0.490
model.000.05.pdb,0.222,0.000,0.000,0.000,0.000,0.196,0.000,0.000,0.000,0.000,0.000,0.000,0.235,0.306,0.000,0.232,0.000,0.120,0.000,0.532,0.346,0.000,0.000,0.015,0.057,0.000,0.000,0.000,0.025,0.000
model.000.06.pdb,0.042,0.014,0.305,0.014,0.115,0.103,0.098,0.043,0.000,0.000,0.090,0.277,0.246,0.043,0.083,0.116,0.081,0.306,0.270,0.311,0.258,0.029,0.271,0.000,0.206,0.039,0.115,0.083,0.000,0.333
model.000.07.pdb,0.014,0.186,0.389,0.183,0.222,0.090,0.182,0.167,0.000,0.067,0.037,0.473,0.169,0.014,0.041,0.000,0.300,0.378,0.592,0.147,0.134,0.259,0.460,0.014,0.053,0.000,0.294,0.086,0.060,0.574
model.000.08.pdb,0.000,0.690,0.206,0.600,0.218,0.000,0.100,0.315,0.185,0.397,0.050,0.302,0.000,0.000,0.027,0.000,0.435,0.050,0.254,0.000,0.000,0.605,0.138,0.152,0.000,0.026,0.241,0.103,0.200,0.119
model.000.09.pdb,0.231,0.000,0.015,0.000,0.000,0.477,0.000,0.000,0.000,0.075,0.000,0.028,0.564,0.216,0.000,0.015,0.096,0.588,0.094,0.273,0.417,0.000,0.048,0.098,0.000,0.000,0.000,0.000,0.174,0.065
model.000.10.pdb,0.220,0.000,0.000,0.000,0.000,0.237,0.000,0.000,0.000,0.013,0.000,0.000,0.278,0.346,0.000,0.293,0.000,0.107,0.000,0.529,0.382,0.000,0.000,0.014,0.081,0.013,0.000,0.000,0.023,0.000
model.000.11.pdb,0.226,0.033,0.000,0.049,0.000,0.245,0.000,0.000,0.150,0.352,0.000,0.000,0.192,0.145,0.000,0.000,0.137,0.146,0.014,0.029,0.113,0.034,0.015,0.478,0.000,0.000,0.000,0.000,0.519,0.000
model.000.12.pdb,0.490,0.000,0.000,0.000,0.000,0.451,0.000,0.000,0.000,0.052,0.012,0.000,0.273,0.651,0.000,0.101,0.000,0.086,0.000,0.274,0.328,0.000,0.000,0.118,0.013,0.013,0.000,0.000,0.184,0.000
model.000.13.pdb,0.275,0.000,0.000,0.000,0.000,0.245,0.000,0.000,0.000,0.014,0.000,0.000,0.265,0.370,0.000,0.193,0.000,0.122,0.000,0.543,0.327,0.000,0.000,0.030,0.028,0.000,0.000,0.000,0.038,0.000
model.000.14.pdb,0.365,0.015,0.000,0.029,0.000,0.309,0.000,0.000,0.172,0.317,0.000,0.000,0.172,0.255,0.000,0.000,0.067,0.089,0.000,0.055,0.103,0.015,0.000,0.480,0.000,0.000,0.000,0.000,0.517,0.000
model.000.15.pdb,0.458,0.000,0.000,0.000,0.000,0.511,0.000,0.000,0.072,0.182,0.000,0.000,0.340,0.360,0.000,0.014,0.050,0.200,0.013,0.118,0.233,0.015,0.000,0.304,0.000,0.000,0.000,0.000,0.450,0.000
model.000.16.pdb,0.108,0.000,0.076,0.000,0.013,0.122,0.056,0.026,0.000,0.000,0.134,0.058,0.215,0.143,0.162,0.466,0.000,0.108,0.035,0.375,0.265,0.000,0.037,0.000,0.385,0.128,0.027,0.058,0.000,0.050
model.000.17.pdb,0.000,0.134,0.588,0.132,0.286,0.026,0.315,0.206,0.000,0.000,0.187,0.475,0.103,0.000,0.188,0.080,0.076,0.133,0.474,0.167,0.123,0.138,0.463,0.000,0.229,0.037,0.333,0.211,0.000,0.600
model.000.18.pdb,0.222,0.000,0.013,0.000,0.000,0.258,0.000,0.000,0.000,0.024,0.023,0.036,0.423,0.316,0.013,0.231,0.000,0.175,0.012,0.660,0.500,0.000,0.013,0.039,0.104,0.012,0.000,0.000,0.044,0.039
model.000.19.pdb,0.056,0.377,0.099,0.396,0.113,0.013,0.030,0.197,0.519,0.596,0.024,0.135,0.000,0.028,0.000,0.000,0.236,0.000,0.095,0.000,0.000,0.268,0.027,0.418,0.000,0.038,0.113,0.065,0.373,0.027
model.000.20.pdb,0.553,0.000,0.000,0.000,0.000,0.451,0.000,0.000,0.000,0.052,0.000,0.000,0.321,0.578,0.000,0.118,0.000,0.125,0.000,0.386,0.375,0.000,0.000,0.101,0.013,0.000,0.000,0.000,0.169,0.000
model.000.21.pdb,0.000,0.255,0.451,0.250,0.300,0.029,0.255,0.190,0.000,0.053,0.093,0.569,0.097,0.000,0.103,0.000,0.280,0.220,0.674,0.100,0.087,0.314,0.636,0.014,0.082,0.013,0.354,0.170,0.035,0.698
model.000.22.pdb,0.153,0.174,0.012,0.242,0.000,0.151,0.000,0.038,0.338,0.625,0.000,0.082,0.067,0.080,0.000,0.000,0.288,0.074,0.047,0.000,0.036,0.162,0.024,0.686,0.000,0.000,0.013,0.000,0.695,0.012
model.000.23.pdb,0.054,0.036,0.107,0.036,0.039,0.200,0.020,0.000,0.000,0.031,0.000,0.172,0.273,0.036,0.000,0.000,0.209,0.581,0.275,0.204,0.260,0.078,0.200,0.000,0.015,0.000,0.019,0.000,0.070,0.220
model.000.24.pdb,0.000,0.183,0.462,0.180,0.218,0.028,0.200,0.145,0.000,0.038,0.050,0.577,0.094,0.000,0.055,0.000,0.245,0.212,0.549,0.113,0.085,0.232,0.609,0.000,0.066,0.000,0.288,0.103,0.023,0.667
