 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb,model.000.25.pdb,model.000.26.pdb,model.000.27.pdb,model.000.28.pdb,model.000.29.pdb
model.000.00.pdb,0.000,0.203,0.000,0.053,0.045,0.000,0.273,0.000,0.014,0.053,0.014,0.000,0.056,0.000,0.039,0.000,0.113,0.000,0.029,0.000,0.000,0.012,0.000,0.000,0.259,0.119,0.011,0.209,0.000,0.016
model.000.01.pdb,0.175,0.000,0.571,0.418,0.136,0.532,0.000,0.353,0.207,0.000,0.268,0.211,0.254,0.622,0.000,0.320,0.000,0.532,0.030,0.100,0.047,0.159,0.230,0.095,0.000,0.000,0.000,0.000,0.053,0.212
model.000.02.pdb,0.197,0.036,0.365,0.153,0.059,0.262,0.028,0.175,0.293,0.169,0.056,0.574,0.053,0.383,0.139,0.109,0.000,0.305,0.000,0.224,0.143,0.417,0.379,0.396,0.027,0.040,0.070,0.037,0.062,0.214
model.000.03.pdb,0.154,0.000,0.457,0.436,0.097,0.521,0.000,0.296,0.203,0.000,0.263,0.207,0.250,0.605,0.000,0.288,0.000,0.490,0.030,0.098,0.046,0.157,0.226,0.094,0.000,0.000,0.000,0.000,0.038,0.208
model.000.04.pdb,0.400,0.000,0.476,0.194,0.125,0.333,0.000,0.327,0.158,0.104,0.117,0.327,0.077,0.302,0.074,0.265,0.000,0.417,0.016,0.409,0.286,0.226,0.203,0.275,0.000,0.000,0.037,0.000,0.188,0.073
model.000.05.pdb,0.000,0.254,0.000,0.013,0.000,0.000,0.479,0.000,0.106,0.066,0.000,0.000,0.000,0.000,0.081,0.000,0.014,0.000,0.000,0.000,0.000,0.051,0.054,0.029,0.510,0.169,0.011,0.323,0.000,0.082
model.000.06.pdb,0.408,0.000,0.356,0.090,0.069,0.196,0.000,0.208,0.102,0.141,0.048,0.333,0.030,0.222,0.125,0.173,0.000,0.340,0.000,0.605,0.442,0.230,0.167,0.306,0.000,0.000,0.093,0.000,0.250,0.055
model.000.07.pdb,0.370,0.000,0.650,0.279,0.155,0.469,0.000,0.468,0.111,0.083,0.183,0.278,0.156,0.395,0.055,0.320,0.000,0.600,0.030,0.375,0.288,0.176,0.119,0.190,0.000,0.000,0.048,0.000,0.212,0.068
model.000.08.pdb,0.143,0.000,0.108,0.500,0.521,0.279,0.000,0.271,0.000,0.000,0.638,0.000,0.739,0.000,0.000,0.385,0.217,0.182,0.345,0.029,0.014,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.132,0.000
model.000.09.pdb,0.024,0.011,0.134,0.517,0.203,0.281,0.083,0.197,0.096,0.000,0.350,0.013,0.448,0.129,0.000,0.267,0.013,0.206,0.114,0.013,0.000,0.034,0.104,0.013,0.052,0.012,0.000,0.011,0.011,0.074
model.000.10.pdb,0.426,0.022,0.145,0.071,0.111,0.090,0.000,0.155,0.012,0.182,0.037,0.139,0.024,0.074,0.200,0.129,0.176,0.133,0.174,0.549,0.633,0.163,0.048,0.206,0.000,0.049,0.299,0.022,0.603,0.000
model.000.11.pdb,0.164,0.057,0.328,0.171,0.026,0.239,0.039,0.143,0.446,0.156,0.051,0.600,0.049,0.543,0.128,0.085,0.000,0.277,0.000,0.149,0.099,0.468,0.593,0.404,0.038,0.063,0.054,0.059,0.046,0.396
model.000.12.pdb,0.000,0.429,0.000,0.000,0.000,0.000,0.634,0.000,0.190,0.185,0.000,0.046,0.000,0.000,0.226,0.000,0.000,0.000,0.000,0.000,0.000,0.162,0.156,0.097,0.591,0.358,0.117,0.500,0.000,0.170
model.000.13.pdb,0.000,0.286,0.000,0.026,0.000,0.000,0.236,0.000,0.014,0.083,0.000,0.000,0.014,0.000,0.055,0.000,0.098,0.000,0.015,0.000,0.000,0.013,0.000,0.000,0.315,0.141,0.024,0.274,0.013,0.016
model.000.14.pdb,0.429,0.024,0.091,0.050,0.106,0.099,0.000,0.154,0.013,0.200,0.069,0.136,0.053,0.065,0.221,0.108,0.141,0.114,0.121,0.565,0.698,0.162,0.052,0.210,0.000,0.068,0.329,0.012,0.509,0.000
model.000.15.pdb,0.039,0.229,0.000,0.000,0.000,0.000,0.028,0.000,0.000,0.361,0.000,0.028,0.000,0.000,0.344,0.000,0.143,0.000,0.074,0.076,0.220,0.062,0.000,0.072,0.056,0.345,0.460,0.235,0.232,0.000
model.000.16.pdb,0.000,0.013,0.151,0.197,0.016,0.155,0.068,0.085,0.354,0.000,0.119,0.164,0.150,0.279,0.014,0.089,0.000,0.136,0.000,0.000,0.000,0.210,0.373,0.103,0.048,0.015,0.000,0.014,0.000,0.381
model.000.17.pdb,0.000,0.237,0.000,0.000,0.000,0.000,0.500,0.000,0.409,0.094,0.000,0.089,0.000,0.020,0.211,0.000,0.000,0.000,0.000,0.000,0.000,0.241,0.314,0.196,0.432,0.275,0.053,0.291,0.000,0.341
model.000.18.pdb,0.155,0.047,0.321,0.132,0.027,0.212,0.086,0.132,0.472,0.117,0.053,0.540,0.065,0.447,0.149,0.072,0.000,0.270,0.000,0.194,0.154,0.492,0.537,0.481,0.068,0.066,0.056,0.061,0.060,0.420
model.000.19.pdb,0.000,0.679,0.000,0.000,0.000,0.000,0.333,0.000,0.147,0.323,0.000,0.085,0.000,0.000,0.328,0.000,0.014,0.000,0.000,0.000,0.014,0.205,0.137,0.167,0.411,0.588,0.234,0.776,0.000,0.145
model.000.20.pdb,0.000,0.526,0.000,0.000,0.000,0.000,0.480,0.000,0.134,0.183,0.000,0.056,0.000,0.000,0.239,0.000,0.000,0.000,0.000,0.000,0.014,0.162,0.125,0.119,0.604,0.386,0.107,0.604,0.000,0.150
model.000.21.pdb,0.161,0.000,0.524,0.310,0.066,0.458,0.000,0.264,0.283,0.000,0.150,0.241,0.143,0.706,0.000,0.185,0.000,0.429,0.000,0.103,0.048,0.200,0.304,0.136,0.000,0.000,0.000,0.000,0.040,0.271
model.000.22.pdb,0.167,0.037,0.211,0.080,0.000,0.136,0.060,0.075,0.377,0.125,0.000,0.532,0.013,0.312,0.143,0.030,0.000,0.172,0.000,0.232,0.186,0.482,0.472,0.440,0.042,0.056,0.059,0.038,0.078,0.404
model.000.23.pdb,0.000,0.024,0.000,0.339,0.125,0.116,0.106,0.057,0.027,0.000,0.226,0.000,0.295,0.032,0.000,0.145,0.029,0.069,0.106,0.000,0.000,0.000,0.039,0.000,0.086,0.013,0.000,0.024,0.000,0.030
model.000.24.pdb,0.254,0.138,0.056,0.011,0.027,0.025,0.026,0.082,0.039,0.397,0.013,0.179,0.000,0.029,0.426,0.056,0.041,0.065,0.026,0.407,0.540,0.184,0.076,0.215,0.038,0.203,0.492,0.099,0.343,0.014
model.000.25.pdb,0.414,0.011,0.088,0.049,0.250,0.111,0.000,0.185,0.000,0.103,0.162,0.041,0.123,0.000,0.133,0.138,0.293,0.096,0.333,0.298,0.389,0.048,0.000,0.055,0.000,0.052,0.267,0.012,0.725,0.000
