 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb,model.000.25.pdb,model.000.26.pdb,model.000.27.pdb
model.000.00.pdb,0.455,0.489,0.167,0.000,0.633,0.000,0.500,0.000,0.350,0.082,0.000,0.080,0.013,0.041,0.091,0.000,0.000,0.000,0.000,0.086,0.000,0.000,0.630,0.560,0.298,0.417,0.000,0.404
model.000.01.pdb,0.640,0.380,0.250,0.000,0.577,0.000,0.711,0.070,0.596,0.227,0.000,0.122,0.127,0.013,0.117,0.000,0.000,0.000,0.000,0.219,0.000,0.000,0.481,0.481,0.357,0.400,0.000,0.388
model.000.02.pdb,0.060,0.000,0.350,0.120,0.076,0.051,0.119,0.444,0.125,0.429,0.049,0.029,0.533,0.000,0.000,0.200,0.000,0.062,0.015,0.457,0.000,0.016,0.000,0.045,0.000,0.000,0.018,0.000
model.000.03.pdb,0.621,0.397,0.069,0.000,0.403,0.000,0.391,0.048,0.508,0.120,0.000,0.301,0.108,0.011,0.361,0.000,0.000,0.000,0.000,0.098,0.000,0.000,0.413,0.394,0.600,0.439,0.000,0.404
model.000.04.pdb,0.015,0.000,0.042,0.209,0.000,0.115,0.000,0.488,0.046,0.347,0.017,0.115,0.444,0.000,0.092,0.240,0.000,0.066,0.016,0.212,0.000,0.034,0.000,0.000,0.017,0.000,0.060,0.000
model.000.05.pdb,0.014,0.088,0.000,0.017,0.000,0.065,0.000,0.000,0.013,0.000,0.000,0.056,0.000,0.059,0.082,0.000,0.046,0.028,0.029,0.000,0.113,0.095,0.029,0.014,0.030,0.086,0.130,0.070
model.000.06.pdb,0.000,0.000,0.000,0.192,0.000,0.333,0.000,0.014,0.000,0.000,0.321,0.000,0.000,0.213,0.013,0.263,0.591,0.415,0.500,0.000,0.356,0.690,0.000,0.000,0.000,0.000,0.340,0.000
model.000.07.pdb,0.617,0.235,0.204,0.000,0.462,0.000,0.543,0.111,0.750,0.250,0.000,0.242,0.194,0.000,0.194,0.000,0.000,0.000,0.000,0.263,0.000,0.000,0.291,0.321,0.429,0.280,0.000,0.265
model.000.08.pdb,0.571,0.524,0.071,0.000,0.426,0.000,0.440,0.014,0.444,0.086,0.000,0.147,0.056,0.000,0.191,0.000,0.000,0.000,0.000,0.090,0.000,0.000,0.532,0.415,0.511,0.625,0.000,0.575
model.000.09.pdb,0.000,0.000,0.000,0.261,0.000,0.391,0.000,0.047,0.000,0.000,0.404,0.000,0.000,0.228,0.013,0.388,0.737,0.449,0.545,0.000,0.295,0.718,0.000,0.000,0.000,0.000,0.283,0.000
model.000.10.pdb,0.304,0.765,0.018,0.000,0.352,0.000,0.283,0.000,0.213,0.000,0.000,0.057,0.000,0.029,0.116,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.659,0.449,0.288,0.743,0.000,0.735
model.000.11.pdb,0.464,0.438,0.182,0.000,0.547,0.000,0.540,0.000,0.361,0.080,0.000,0.064,0.026,0.082,0.117,0.000,0.000,0.000,0.000,0.083,0.000,0.000,0.604,0.739,0.288,0.458,0.000,0.417
