 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb,model.000.25.pdb,model.000.26.pdb,model.000.27.pdb,model.000.28.pdb,model.000.29.pdb
model.000.00.pdb,0.604,0.013,0.000,0.063,0.642,0.356,0.000,0.431,0.387,0.000,0.000,0.091,0.095,0.012,0.125,0.000,0.362,0.000,0.000,0.000,0.105,0.054,0.000,0.490,0.000,0.000,0.414,0.145,0.328,0.429
model.000.01.pdb,0.469,0.000,0.000,0.000,0.233,0.675,0.000,0.111,0.521,0.000,0.016,0.000,0.000,0.000,0.000,0.000,0.650,0.088,0.000,0.000,0.000,0.000,0.054,0.579,0.000,0.000,0.533,0.036,0.581,0.634
model.000.02.pdb,0.214,0.000,0.000,0.340,0.228,0.068,0.000,0.134,0.211,0.000,0.000,0.122,0.488,0.000,0.231,0.000,0.016,0.018,0.000,0.000,0.241,0.271,0.196,0.057,0.049,0.000,0.140,0.688,0.143,0.068
model.000.03.pdb,0.000,0.354,0.154,0.078,0.000,0.000,0.703,0.000,0.000,0.140,0.167,0.096,0.082,0.314,0.065,0.145,0.000,0.000,0.220,0.130,0.062,0.105,0.000,0.000,0.294,0.158,0.000,0.000,0.000,0.000
model.000.04.pdb,0.518,0.000,0.000,0.063,0.450,0.429,0.000,0.257,0.483,0.000,0.000,0.029,0.095,0.000,0.110,0.000,0.386,0.056,0.000,0.000,0.077,0.054,0.059,0.377,0.000,0.000,0.577,0.203,0.397,0.481
model.000.05.pdb,0.000,0.392,0.320,0.042,0.000,0.000,0.643,0.000,0.000,0.246,0.278,0.050,0.029,0.404,0.029,0.211,0.000,0.015,0.396,0.241,0.027,0.045,0.000,0.000,0.263,0.286,0.000,0.000,0.000,0.000
model.000.06.pdb,0.600,0.000,0.000,0.113,0.577,0.389,0.000,0.313,0.446,0.000,0.000,0.063,0.152,0.000,0.169,0.000,0.321,0.014,0.000,0.000,0.129,0.090,0.031,0.447,0.000,0.000,0.481,0.269,0.357,0.415
model.000.07.pdb,0.053,0.104,0.000,0.472,0.174,0.000,0.200,0.145,0.013,0.000,0.000,0.535,0.364,0.086,0.500,0.043,0.000,0.000,0.014,0.000,0.529,0.500,0.015,0.000,0.230,0.027,0.000,0.066,0.000,0.000
model.000.08.pdb,0.536,0.013,0.000,0.118,0.692,0.266,0.000,0.516,0.318,0.000,0.000,0.141,0.155,0.012,0.224,0.000,0.270,0.000,0.000,0.000,0.181,0.129,0.000,0.370,0.000,0.000,0.317,0.200,0.242,0.328
model.000.09.pdb,0.183,0.097,0.000,0.537,0.323,0.026,0.069,0.260,0.090,0.000,0.000,0.614,0.481,0.066,0.667,0.000,0.013,0.000,0.000,0.000,0.694,0.540,0.000,0.043,0.096,0.000,0.052,0.228,0.039,0.039
model.000.10.pdb,0.000,0.014,0.062,0.069,0.000,0.000,0.109,0.000,0.013,0.327,0.000,0.000,0.104,0.014,0.028,0.543,0.000,0.259,0.113,0.015,0.041,0.060,0.300,0.000,0.451,0.423,0.000,0.049,0.000,0.000
model.000.11.pdb,0.132,0.209,0.070,0.062,0.205,0.052,0.000,0.516,0.036,0.000,0.145,0.197,0.038,0.239,0.206,0.000,0.081,0.000,0.055,0.149,0.149,0.082,0.000,0.088,0.000,0.000,0.078,0.014,0.051,0.066
