 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb
model.000.00.pdb,0.121,0.179,0.151,0.000,0.066,0.490,0.306,0.097,0.000,0.203,0.463,0.000,0.194,0.385,0.013,0.100,0.618,0.149,0.647,0.000,0.250,0.054,0.000,0.138,0.067
model.000.01.pdb,0.000,0.039,0.000,0.000,0.000,0.622,0.015,0.000,0.000,0.115,0.571,0.054,0.457,0.639,0.083,0.208,0.246,0.000,0.511,0.000,0.523,0.000,0.013,0.019,0.000
model.000.02.pdb,0.390,0.581,0.288,0.000,0.306,0.057,0.362,0.512,0.105,0.385,0.051,0.100,0.016,0.058,0.052,0.091,0.091,0.193,0.136,0.000,0.050,0.298,0.058,0.690,0.312
model.000.03.pdb,0.035,0.000,0.045,0.164,0.138,0.000,0.000,0.085,0.250,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.094,0.000,0.155,0.000,0.086,0.014,0.000,0.048
model.000.04.pdb,0.088,0.245,0.105,0.000,0.066,0.431,0.266,0.097,0.000,0.315,0.463,0.075,0.333,0.412,0.099,0.203,0.391,0.118,0.647,0.000,0.404,0.068,0.023,0.179,0.067
model.000.05.pdb,0.000,0.000,0.014,0.242,0.075,0.000,0.000,0.045,0.224,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.056,0.000,0.217,0.000,0.030,0.038,0.000,0.014
model.000.06.pdb,0.150,0.326,0.162,0.000,0.118,0.388,0.333,0.156,0.000,0.347,0.423,0.047,0.250,0.340,0.043,0.143,0.424,0.176,0.549,0.000,0.316,0.106,0.024,0.245,0.119
model.000.07.pdb,0.360,0.071,0.560,0.026,0.442,0.000,0.293,0.431,0.175,0.016,0.000,0.000,0.000,0.000,0.000,0.000,0.064,0.580,0.026,0.070,0.000,0.469,0.012,0.111,0.480
model.000.08.pdb,0.190,0.241,0.232,0.000,0.123,0.370,0.439,0.176,0.000,0.241,0.356,0.000,0.125,0.281,0.000,0.068,0.579,0.246,0.518,0.000,0.174,0.129,0.000,0.196,0.141
model.000.09.pdb,0.521,0.250,0.660,0.000,0.455,0.043,0.569,0.500,0.039,0.148,0.040,0.000,0.000,0.029,0.000,0.000,0.143,0.680,0.122,0.000,0.013,0.510,0.000,0.275,0.580
