 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb,model.000.25.pdb,model.000.26.pdb,model.000.27.pdb,model.000.28.pdb,model.000.29.pdb
model.000.00.pdb,0.044,0.130,0.125,0.014,0.000,0.062,0.121,0.015,0.595,0.172,0.000,0.535,0.014,0.239,0.233,0.000,0.000,0.095,0.000,0.050,0.032,0.604,0.674,0.435,0.097,0.148,0.077,0.118,0.000,0.538
model.000.01.pdb,0.000,0.207,0.000,0.000,0.000,0.000,0.541,0.000,0.341,0.063,0.000,0.094,0.000,0.000,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.232,0.255,0.184,0.463,0.240,0.041,0.283,0.000,0.333
model.000.02.pdb,0.095,0.143,0.141,0.024,0.000,0.082,0.103,0.027,0.400,0.308,0.000,0.689,0.013,0.196,0.312,0.000,0.000,0.129,0.000,0.141,0.138,0.740,0.547,0.652,0.099,0.176,0.175,0.132,0.036,0.346
model.000.03.pdb,0.092,0.000,0.190,0.706,0.382,0.421,0.000,0.322,0.026,0.000,0.633,0.013,0.729,0.095,0.000,0.442,0.086,0.266,0.222,0.027,0.013,0.011,0.037,0.000,0.000,0.000,0.000,0.000,0.060,0.043
model.000.04.pdb,0.099,0.090,0.273,0.108,0.014,0.188,0.108,0.106,0.609,0.093,0.042,0.460,0.040,0.422,0.141,0.045,0.000,0.226,0.000,0.061,0.029,0.474,0.612,0.352,0.087,0.100,0.034,0.078,0.012,0.558
model.000.05.pdb,0.000,0.540,0.000,0.000,0.000,0.000,0.208,0.000,0.015,0.254,0.000,0.000,0.000,0.000,0.141,0.000,0.016,0.000,0.000,0.000,0.000,0.041,0.014,0.016,0.340,0.408,0.169,0.562,0.000,0.017
model.000.06.pdb,0.013,0.269,0.014,0.000,0.000,0.000,0.263,0.000,0.321,0.367,0.000,0.352,0.000,0.049,0.500,0.000,0.000,0.013,0.000,0.077,0.092,0.556,0.362,0.460,0.210,0.328,0.230,0.258,0.012,0.288
model.000.07.pdb,0.086,0.122,0.193,0.053,0.000,0.121,0.186,0.044,0.756,0.096,0.000,0.479,0.013,0.292,0.215,0.000,0.000,0.175,0.000,0.079,0.045,0.519,0.674,0.449,0.159,0.136,0.047,0.125,0.000,0.548
model.000.08.pdb,0.116,0.000,0.408,0.446,0.148,0.442,0.000,0.333,0.177,0.000,0.276,0.125,0.262,0.432,0.000,0.302,0.000,0.389,0.029,0.078,0.029,0.107,0.200,0.059,0.000,0.000,0.000,0.000,0.051,0.179
model.000.09.pdb,0.000,0.271,0.000,0.000,0.000,0.000,0.676,0.000,0.231,0.091,0.000,0.016,0.000,0.000,0.164,0.000,0.000,0.000,0.000,0.000,0.000,0.138,0.169,0.086,0.625,0.264,0.038,0.304,0.000,0.188
model.000.10.pdb,0.000,0.566,0.000,0.000,0.000,0.000,0.186,0.000,0.014,0.290,0.000,0.000,0.000,0.000,0.162,0.000,0.030,0.000,0.000,0.000,0.000,0.038,0.013,0.014,0.304,0.442,0.187,0.558,0.012,0.016
model.000.11.pdb,0.000,0.041,0.000,0.159,0.016,0.031,0.235,0.000,0.066,0.000,0.100,0.000,0.131,0.000,0.000,0.034,0.000,0.000,0.016,0.000,0.000,0.000,0.045,0.000,0.200,0.015,0.000,0.072,0.000,0.018
model.000.12.pdb,0.000,0.312,0.000,0.000,0.000,0.000,0.203,0.000,0.000,0.095,0.000,0.000,0.000,0.000,0.026,0.000,0.061,0.000,0.014,0.000,0.000,0.000,0.000,0.000,0.276,0.134,0.034,0.323,0.012,0.000
model.000.13.pdb,0.000,0.520,0.000,0.000,0.000,0.000,0.212,0.000,0.016,0.197,0.000,0.000,0.000,0.000,0.108,0.000,0.016,0.000,0.000,0.000,0.000,0.027,0.014,0.000,0.294,0.360,0.139,0.510,0.000,0.018
model.000.14.pdb,0.000,0.038,0.000,0.162,0.046,0.014,0.211,0.000,0.044,0.000,0.091,0.000,0.136,0.000,0.000,0.031,0.046,0.000,0.045,0.000,0.000,0.000,0.027,0.000,0.161,0.014,0.000,0.053,0.000,0.000
model.000.15.pdb,0.000,0.141,0.000,0.054,0.000,0.000,0.333,0.000,0.061,0.040,0.029,0.000,0.042,0.000,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.042,0.000,0.340,0.074,0.012,0.162,0.000,0.016
model.000.16.pdb,0.024,0.500,0.000,0.000,0.000,0.000,0.159,0.000,0.051,0.607,0.000,0.110,0.000,0.000,0.508,0.000,0.026,0.000,0.000,0.068,0.179,0.150,0.074,0.110,0.221,0.545,0.456,0.379,0.108,0.027
model.000.17.pdb,0.139,0.141,0.156,0.036,0.000,0.096,0.101,0.027,0.300,0.323,0.000,0.571,0.000,0.193,0.328,0.028,0.000,0.127,0.000,0.194,0.190,0.630,0.431,0.674,0.097,0.174,0.188,0.130,0.060,0.246
model.000.18.pdb,0.000,0.760,0.000,0.000,0.000,0.000,0.293,0.000,0.069,0.349,0.000,0.056,0.000,0.000,0.273,0.000,0.014,0.000,0.000,0.000,0.014,0.130,0.065,0.086,0.418,0.538,0.237,0.686,0.000,0.077
model.000.19.pdb,0.082,0.000,0.224,0.804,0.286,0.453,0.000,0.321,0.042,0.000,0.520,0.028,0.612,0.161,0.000,0.420,0.029,0.305,0.159,0.029,0.000,0.024,0.053,0.000,0.000,0.000,0.000,0.000,0.049,0.062
model.000.20.pdb,0.000,0.377,0.000,0.000,0.000,0.000,0.291,0.000,0.014,0.110,0.000,0.000,0.000,0.000,0.053,0.000,0.045,0.000,0.000,0.000,0.000,0.012,0.000,0.000,0.345,0.226,0.059,0.414,0.000,0.015
model.000.21.pdb,0.136,0.079,0.196,0.053,0.000,0.123,0.113,0.045,0.543,0.113,0.000,0.522,0.014,0.386,0.164,0.015,0.000,0.159,0.000,0.155,0.115,0.588,0.652,0.522,0.091,0.104,0.048,0.081,0.038,0.561
model.000.22.pdb,0.000,0.011,0.039,0.358,0.127,0.149,0.095,0.093,0.092,0.000,0.254,0.012,0.338,0.090,0.000,0.145,0.026,0.104,0.110,0.000,0.000,0.033,0.086,0.012,0.091,0.012,0.000,0.011,0.000,0.070
model.000.23.pdb,0.000,0.167,0.019,0.000,0.000,0.000,0.326,0.000,0.475,0.063,0.000,0.160,0.000,0.065,0.179,0.000,0.000,0.017,0.000,0.000,0.000,0.302,0.333,0.289,0.277,0.192,0.027,0.236,0.000,0.486
model.000.24.pdb,0.085,0.091,0.169,0.025,0.000,0.087,0.109,0.029,0.521,0.125,0.000,0.532,0.013,0.286,0.176,0.000,0.000,0.136,0.000,0.095,0.061,0.566,0.625,0.500,0.088,0.101,0.047,0.079,0.012,0.571
