 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb,model.000.25.pdb,model.000.26.pdb,model.000.27.pdb,model.000.28.pdb,model.000.29.pdb
model.000.00.pdb,1.000,0.000,0.333,0.151,0.281,0.300,0.000,0.389,0.056,0.050,0.185,0.136,0.127,0.179,0.037,0.286,0.106,0.345,0.194,0.565,0.352,0.089,0.080,0.119,0.000,0.000,0.081,0.000,0.483,0.015
model.000.01.pdb,0.000,1.000,0.000,0.000,0.000,0.000,0.328,0.000,0.122,0.379,0.000,0.065,0.000,0.000,0.364,0.000,0.013,0.000,0.000,0.000,0.013,0.177,0.114,0.139,0.448,0.623,0.250,0.704,0.000,0.118
model.000.02.pdb,0.333,0.000,1.000,0.310,0.182,0.556,0.000,0.523,0.153,0.000,0.232,0.218,0.180,0.487,0.000,0.391,0.016,0.795,0.031,0.208,0.140,0.130,0.159,0.098,0.000,0.000,0.000,0.000,0.147,0.130
model.000.03.pdb,0.151,0.000,0.310,1.000,0.305,0.547,0.000,0.411,0.053,0.000,0.528,0.053,0.615,0.207,0.000,0.490,0.041,0.390,0.164,0.086,0.055,0.034,0.049,0.026,0.000,0.000,0.000,0.000,0.084,0.043
model.000.04.pdb,0.281,0.000,0.182,0.305,1.000,0.315,0.000,0.417,0.000,0.000,0.522,0.000,0.521,0.035,0.000,0.413,0.269,0.268,0.523,0.102,0.048,0.000,0.000,0.000,0.000,0.000,0.012,0.000,0.234,0.000
model.000.05.pdb,0.300,0.000,0.556,0.547,0.315,1.000,0.000,0.587,0.104,0.000,0.471,0.123,0.393,0.333,0.000,0.556,0.044,0.689,0.125,0.148,0.076,0.077,0.097,0.058,0.000,0.000,0.000,0.000,0.135,0.063
model.000.06.pdb,0.000,0.328,0.000,0.000,0.000,0.000,1.000,0.000,0.207,0.114,0.000,0.030,0.000,0.000,0.203,0.000,0.000,0.000,0.000,0.000,0.000,0.159,0.154,0.113,0.651,0.327,0.074,0.362,0.000,0.189
model.000.07.pdb,0.389,0.000,0.523,0.411,0.417,0.587,0.000,1.000,0.044,0.000,0.440,0.045,0.364,0.220,0.000,0.634,0.097,0.659,0.190,0.218,0.133,0.025,0.027,0.014,0.000,0.000,0.000,0.000,0.246,0.032
model.000.08.pdb,0.056,0.122,0.153,0.053,0.000,0.104,0.207,0.044,1.000,0.081,0.000,0.392,0.013,0.265,0.179,0.000,0.000,0.138,0.000,0.030,0.015,0.491,0.711,0.340,0.177,0.136,0.035,0.141,0.000,0.625
model.000.09.pdb,0.050,0.379,0.000,0.000,0.000,0.000,0.114,0.000,0.081,1.000,0.000,0.274,0.000,0.014,0.526,0.000,0.013,0.000,0.000,0.152,0.185,0.304,0.149,0.295,0.141,0.431,0.470,0.309,0.084,0.043
model.000.10.pdb,0.185,0.000,0.232,0.528,0.522,0.471,0.000,0.440,0.000,0.000,1.000,0.000,0.791,0.068,0.000,0.605,0.148,0.339,0.291,0.062,0.029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.137,0.000
model.000.11.pdb,0.136,0.065,0.218,0.053,0.000,0.123,0.030,0.045,0.392,0.274,0.000,1.000,0.014,0.271,0.200,0.000,0.000,0.177,0.000,0.196,0.153,0.620,0.520,0.556,0.029,0.072,0.128,0.067,0.052,0.280
model.000.12.pdb,0.127,0.000,0.180,0.615,0.521,0.393,0.000,0.364,0.013,0.000,0.791,0.014,1.000,0.065,0.000,0.469,0.177,0.279,0.321,0.043,0.014,0.012,0.013,0.000,0.000,0.000,0.000,0.000,0.117,0.015
model.000.13.pdb,0.179,0.000,0.487,0.207,0.035,0.333,0.000,0.220,0.265,0.014,0.068,0.271,0.065,1.000,0.015,0.115,0.000,0.391,0.000,0.115,0.073,0.220,0.314,0.151,0.000,0.000,0.000,0.000,0.043,0.310
model.000.14.pdb,0.037,0.364,0.000,0.000,0.000,0.000,0.203,0.000,0.179,0.526,0.000,0.200,0.000,0.015,1.000,0.000,0.027,0.000,0.000,0.136,0.226,0.369,0.200,0.345,0.194,0.464,0.455,0.275,0.113,0.143
model.000.15.pdb,0.286,0.000,0.391,0.490,0.413,0.556,0.000,0.634,0.000,0.000,0.605,0.000,0.469,0.115,0.000,1.000,0.066,0.522,0.179,0.185,0.121,0.000,0.000,0.015,0.000,0.000,0.000,0.000,0.200,0.000
model.000.16.pdb,0.106,0.013,0.016,0.041,0.269,0.044,0.000,0.097,0.000,0.013,0.148,0.000,0.177,0.000,0.027,0.066,1.000,0.029,0.523,0.016,0.065,0.000,0.000,0.000,0.000,0.014,0.062,0.013,0.317,0.000
model.000.17.pdb,0.345,0.000,0.795,0.390,0.268,0.689,0.000,0.659,0.138,0.000,0.339,0.177,0.279,0.391,0.000,0.522,0.029,1.000,0.091,0.228,0.127,0.105,0.129,0.090,0.000,0.000,0.000,0.000,0.151,0.098
model.000.18.pdb,0.194,0.000,0.031,0.164,0.523,0.125,0.000,0.190,0.000,0.000,0.291,0.000,0.321,0.000,0.000,0.179,0.523,0.091,1.000,0.048,0.047,0.000,0.000,0.000,0.000,0.000,0.048,0.000,0.333,0.000
model.000.19.pdb,0.565,0.000,0.208,0.086,0.102,0.148,0.000,0.218,0.030,0.152,0.062,0.196,0.043,0.115,0.136,0.185,0.016,0.228,0.048,1.000,0.585,0.147,0.090,0.218,0.000,0.000,0.164,0.000,0.393,0.000
model.000.20.pdb,0.352,0.013,0.140,0.055,0.048,0.076,0.000,0.133,0.015,0.185,0.029,0.153,0.014,0.073,0.226,0.121,0.065,0.127,0.047,0.585,1.000,0.162,0.057,0.214,0.000,0.059,0.284,0.013,0.491,0.000
model.000.21.pdb,0.089,0.177,0.130,0.034,0.000,0.077,0.159,0.025,0.491,0.304,0.000,0.620,0.012,0.220,0.369,0.000,0.000,0.105,0.000,0.147,0.162,1.000,0.582,0.653,0.137,0.214,0.193,0.167,0.045,0.442
model.000.22.pdb,0.080,0.114,0.159,0.049,0.000,0.097,0.154,0.027,0.711,0.149,0.000,0.520,0.013,0.314,0.200,0.000,0.000,0.129,0.000,0.090,0.057,0.582,1.000,0.407,0.130,0.127,0.068,0.117,0.000,0.556
model.000.23.pdb,0.119,0.139,0.098,0.026,0.000,0.058,0.113,0.014,0.340,0.295,0.000,0.556,0.000,0.151,0.345,0.015,0.000,0.090,0.000,0.218,0.214,0.653,0.407,1.000,0.108,0.175,0.173,0.127,0.066,0.255
model.000.24.pdb,0.000,0.448,0.000,0.000,0.000,0.000,0.651,0.000,0.177,0.141,0.000,0.029,0.000,0.000,0.194,0.000,0.000,0.000,0.000,0.000,0.000,0.137,0.130,0.108,1.000,0.357,0.084,0.491,0.000,0.158
model.000.25.pdb,0.000,0.623,0.000,0.000,0.000,0.000,0.327,0.000,0.136,0.431,0.000,0.072,0.000,0.000,0.464,0.000,0.014,0.000,0.000,0.000,0.059,0.214,0.127,0.175,0.357,1.000,0.353,0.556,0.024,0.153
model.000.26.pdb,0.081,0.250,0.000,0.000,0.012,0.000,0.074,0.000,0.035,0.470,0.000,0.128,0.000,0.000,0.455,0.000,0.062,0.000,0.048,0.164,0.284,0.193,0.068,0.173,0.084,0.353,1.000,0.210,0.193,0.025
model.000.27.pdb,0.000,0.704,0.000,0.000,0.000,0.000,0.362,0.000,0.141,0.309,0.000,0.067,0.000,0.000,0.275,0.000,0.013,0.000,0.000,0.000,0.013,0.167,0.117,0.127,0.491,0.556,0.210,1.000,0.000,0.138
model.000.28.pdb,0.483,0.000,0.147,0.084,0.234,0.135,0.000,0.246,0.000,0.084,0.137,0.052,0.117,0.043,0.113,0.200,0.317,0.151,0.333,0.393,0.491,0.045,0.000,0.066,0.000,0.024,0.193,0.000,1.000,0.000
model.000.29.pdb,0.015,0.118,0.130,0.043,0.000,0.063,0.189,0.032,0.625,0.043,0.000,0.280,0.015,0.310,0.143,0.000,0.000,0.098,0.000,0.000,0.000,0.442,0.556,0.255,0.158,0.153,0.025,0.138,0.000,1.000
