 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb,model.000.25.pdb,model.000.26.pdb,model.000.27.pdb,model.000.28.pdb,model.000.29.pdb
model.000.00.pdb,1.000,0.000,0.220,0.000,0.000,0.000,0.079,0.564,0.000,0.062,0.188,0.000,0.000,0.000,0.000,0.186,0.000,0.000,0.000,0.619,0.590,0.032,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
model.000.01.pdb,0.000,1.000,0.241,0.525,0.396,0.271,0.235,0.057,0.013,0.000,0.060,0.315,0.294,0.806,0.000,0.204,0.000,0.000,0.000,0.000,0.018,0.686,0.000,0.562,0.047,0.000,0.000,0.000,0.340,0.806
model.000.02.pdb,0.220,0.241,1.000,0.125,0.114,0.075,0.088,0.396,0.059,0.000,0.108,0.093,0.055,0.175,0.000,0.226,0.000,0.000,0.000,0.121,0.333,0.228,0.000,0.196,0.026,0.000,0.000,0.000,0.114,0.218
model.000.03.pdb,0.000,0.525,0.125,1.000,0.358,0.333,0.360,0.034,0.000,0.000,0.152,0.357,0.479,0.605,0.000,0.228,0.000,0.000,0.000,0.000,0.016,0.561,0.000,0.375,0.043,0.000,0.000,0.000,0.385,0.488
model.000.04.pdb,0.000,0.396,0.114,0.358,1.000,0.686,0.121,0.000,0.169,0.000,0.025,0.708,0.540,0.426,0.092,0.056,0.085,0.093,0.122,0.000,0.000,0.321,0.133,0.452,0.238,0.104,0.000,0.026,0.773,0.426
model.000.05.pdb,0.000,0.271,0.075,0.333,0.686,1.000,0.108,0.000,0.241,0.000,0.023,0.731,0.574,0.339,0.110,0.024,0.104,0.139,0.182,0.000,0.000,0.238,0.163,0.327,0.344,0.123,0.025,0.036,0.755,0.293
model.000.06.pdb,0.079,0.235,0.088,0.360,0.121,0.108,1.000,0.125,0.000,0.077,0.444,0.114,0.159,0.260,0.000,0.600,0.000,0.000,0.000,0.077,0.164,0.320,0.000,0.118,0.000,0.000,0.000,0.000,0.104,0.189
model.000.07.pdb,0.564,0.057,0.396,0.034,0.000,0.000,0.125,1.000,0.000,0.033,0.203,0.000,0.000,0.037,0.000,0.275,0.000,0.000,0.000,0.340,0.781,0.093,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.037
model.000.08.pdb,0.000,0.013,0.059,0.000,0.169,0.241,0.000,0.000,1.000,0.012,0.000,0.175,0.113,0.013,0.418,0.000,0.328,0.492,0.557,0.000,0.000,0.000,0.540,0.074,0.579,0.483,0.303,0.364,0.200,0.039
model.000.09.pdb,0.062,0.000,0.000,0.000,0.000,0.000,0.077,0.033,0.012,1.000,0.238,0.000,0.000,0.000,0.068,0.075,0.123,0.083,0.039,0.148,0.049,0.000,0.052,0.000,0.000,0.014,0.094,0.104,0.000,0.000
model.000.10.pdb,0.188,0.060,0.108,0.152,0.025,0.023,0.444,0.203,0.000,0.238,1.000,0.012,0.052,0.060,0.000,0.538,0.000,0.000,0.000,0.258,0.286,0.104,0.000,0.016,0.000,0.000,0.000,0.000,0.025,0.044
