 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb,model.000.25.pdb,model.000.26.pdb,model.000.27.pdb,model.000.28.pdb,model.000.29.pdb
model.000.00.pdb,1.000,0.490,0.016,0.354,0.000,0.000,0.000,0.373,0.449,0.000,0.457,0.689,0.000,0.469,0.015,0.382,0.346,0.000,0.000,0.407,0.179,0.000,0.000,0.000,0.089,0.000,0.646,0.000,0.707,0.000
model.000.01.pdb,0.490,1.000,0.117,0.452,0.000,0.000,0.000,0.600,0.587,0.000,0.380,0.529,0.000,0.510,0.150,0.625,0.309,0.000,0.000,0.773,0.097,0.000,0.000,0.000,0.125,0.000,0.558,0.000,0.412,0.000
model.000.02.pdb,0.016,0.117,1.000,0.013,0.405,0.000,0.000,0.109,0.000,0.000,0.000,0.031,0.000,0.000,0.526,0.117,0.000,0.000,0.070,0.117,0.000,0.231,0.421,0.000,0.405,0.128,0.029,0.037,0.000,0.033
model.000.03.pdb,0.354,0.452,0.013,1.000,0.042,0.037,0.000,0.424,0.574,0.000,0.397,0.406,0.000,0.509,0.052,0.500,0.292,0.012,0.077,0.500,0.096,0.000,0.000,0.000,0.014,0.070,0.476,0.000,0.333,0.000
model.000.04.pdb,0.000,0.000,0.405,0.042,1.000,0.000,0.000,0.056,0.000,0.019,0.000,0.000,0.000,0.000,0.350,0.000,0.000,0.000,0.239,0.000,0.000,0.224,0.562,0.000,0.116,0.400,0.000,0.083,0.000,0.054
model.000.05.pdb,0.000,0.000,0.000,0.037,0.000,1.000,0.179,0.000,0.048,0.051,0.069,0.014,0.564,0.081,0.000,0.044,0.121,0.658,0.066,0.029,0.151,0.000,0.000,0.109,0.000,0.000,0.042,0.071,0.016,0.015
model.000.06.pdb,0.000,0.000,0.000,0.000,0.000,0.179,1.000,0.000,0.000,0.600,0.000,0.000,0.370,0.000,0.000,0.000,0.015,0.204,0.047,0.000,0.033,0.250,0.071,0.575,0.000,0.017,0.000,0.348,0.000,0.438
model.000.07.pdb,0.373,0.600,0.109,0.424,0.056,0.000,0.000,1.000,0.523,0.000,0.235,0.385,0.000,0.388,0.167,0.600,0.179,0.000,0.015,0.636,0.016,0.000,0.017,0.000,0.075,0.036,0.389,0.000,0.269,0.000
model.000.08.pdb,0.449,0.587,0.000,0.574,0.000,0.048,0.000,0.523,1.000,0.000,0.561,0.490,0.000,0.725,0.000,0.622,0.396,0.016,0.000,0.659,0.105,0.000,0.000,0.000,0.018,0.000,0.652,0.000,0.426,0.000
model.000.09.pdb,0.000,0.000,0.000,0.000,0.019,0.051,0.600,0.000,0.000,1.000,0.000,0.000,0.204,0.000,0.000,0.000,0.000,0.089,0.050,0.000,0.000,0.404,0.120,0.475,0.000,0.038,0.000,0.381,0.000,0.585
