 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb
model.000.00.pdb,0.141,0.204,0.153,0.000,0.096,0.532,0.250,0.130,0.000,0.273,0.529,0.044,0.295,0.511,0.055,0.134,0.443,0.151,0.694,0.000,0.362,0.085,0.011,0.161,0.097
model.000.01.pdb,0.015,0.000,0.068,0.081,0.027,0.000,0.027,0.028,0.072,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.051,0.113,0.000,0.070,0.000,0.091,0.000,0.000,0.042
model.000.02.pdb,0.000,0.000,0.000,0.210,0.000,0.000,0.000,0.000,0.045,0.000,0.000,0.000,0.000,0.000,0.031,0.000,0.000,0.000,0.000,0.127,0.000,0.000,0.082,0.000,0.000
model.000.03.pdb,0.636,0.231,0.577,0.012,0.756,0.000,0.362,0.674,0.147,0.131,0.000,0.029,0.000,0.000,0.013,0.027,0.048,0.482,0.038,0.026,0.000,0.617,0.048,0.306,0.773
model.000.04.pdb,0.230,0.196,0.308,0.000,0.139,0.370,0.464,0.212,0.000,0.200,0.379,0.000,0.141,0.304,0.000,0.054,0.500,0.303,0.518,0.000,0.174,0.162,0.000,0.175,0.191
model.000.05.pdb,0.000,0.154,0.000,0.000,0.000,0.558,0.071,0.028,0.000,0.275,0.521,0.119,0.609,0.610,0.125,0.268,0.239,0.000,0.472,0.000,0.721,0.000,0.037,0.091,0.000
model.000.06.pdb,0.031,0.000,0.070,0.238,0.159,0.000,0.000,0.109,0.286,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.100,0.000,0.233,0.000,0.094,0.038,0.000,0.075
model.000.07.pdb,0.157,0.106,0.264,0.000,0.086,0.194,0.333,0.117,0.000,0.099,0.211,0.000,0.048,0.145,0.000,0.024,0.574,0.278,0.300,0.000,0.061,0.133,0.000,0.090,0.130
model.000.08.pdb,0.057,0.320,0.063,0.000,0.052,0.521,0.125,0.113,0.000,0.449,0.491,0.200,0.429,0.532,0.182,0.328,0.254,0.049,0.500,0.000,0.509,0.054,0.084,0.179,0.053
model.000.09.pdb,0.000,0.000,0.000,0.569,0.000,0.000,0.000,0.000,0.121,0.000,0.000,0.158,0.000,0.000,0.200,0.060,0.000,0.000,0.000,0.462,0.000,0.000,0.312,0.000,0.000
model.000.10.pdb,0.000,0.000,0.000,0.114,0.000,0.000,0.000,0.000,0.014,0.000,0.014,0.000,0.014,0.000,0.000,0.000,0.038,0.000,0.000,0.028,0.000,0.000,0.012,0.000,0.000
model.000.11.pdb,0.333,0.083,0.556,0.000,0.314,0.017,0.340,0.413,0.065,0.000,0.016,0.000,0.000,0.000,0.000,0.000,0.103,0.543,0.045,0.015,0.000,0.422,0.000,0.130,0.435
model.000.12.pdb,0.605,0.298,0.463,0.025,0.617,0.015,0.333,0.805,0.210,0.200,0.014,0.047,0.000,0.015,0.028,0.043,0.050,0.379,0.068,0.041,0.014,0.659,0.076,0.419,0.596
model.000.13.pdb,0.014,0.000,0.039,0.093,0.027,0.000,0.013,0.027,0.070,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.049,0.080,0.000,0.068,0.000,0.072,0.000,0.000,0.027
model.000.14.pdb,0.533,0.151,0.756,0.013,0.434,0.015,0.490,0.480,0.071,0.065,0.014,0.000,0.000,0.000,0.000,0.000,0.151,0.702,0.097,0.027,0.000,0.521,0.012,0.220,0.531
model.000.15.pdb,0.000,0.000,0.013,0.660,0.043,0.000,0.000,0.014,0.286,0.000,0.000,0.208,0.014,0.000,0.228,0.095,0.000,0.000,0.000,0.721,0.014,0.014,0.414,0.000,0.014
model.000.16.pdb,0.000,0.035,0.000,0.000,0.000,0.610,0.057,0.000,0.000,0.103,0.636,0.032,0.521,0.585,0.076,0.186,0.302,0.013,0.510,0.000,0.587,0.000,0.000,0.017,0.000
model.000.17.pdb,0.000,0.038,0.000,0.190,0.000,0.016,0.000,0.015,0.045,0.111,0.015,0.525,0.190,0.034,0.718,0.500,0.000,0.000,0.043,0.183,0.169,0.000,0.436,0.000,0.000
model.000.18.pdb,0.000,0.000,0.000,0.310,0.000,0.000,0.000,0.000,0.094,0.000,0.000,0.016,0.000,0.000,0.062,0.000,0.000,0.000,0.000,0.220,0.000,0.000,0.111,0.000,0.000
model.000.19.pdb,0.000,0.000,0.000,0.134,0.000,0.000,0.000,0.000,0.014,0.000,0.000,0.000,0.014,0.000,0.015,0.000,0.039,0.000,0.000,0.043,0.000,0.000,0.026,0.000,0.000
model.000.20.pdb,0.600,0.164,0.708,0.012,0.580,0.000,0.436,0.510,0.083,0.078,0.000,0.000,0.000,0.000,0.000,0.000,0.115,0.660,0.065,0.026,0.000,0.617,0.011,0.208,0.696
model.000.21.pdb,0.610,0.184,0.583,0.013,0.622,0.000,0.352,0.614,0.143,0.086,0.000,0.000,0.000,0.000,0.000,0.000,0.052,0.481,0.041,0.028,0.000,0.750,0.038,0.289,0.674
model.000.22.pdb,0.071,0.130,0.029,0.143,0.063,0.017,0.000,0.121,0.200,0.239,0.016,0.568,0.100,0.036,0.362,0.370,0.000,0.000,0.045,0.153,0.100,0.085,0.382,0.130,0.065
model.000.23.pdb,0.000,0.082,0.014,0.000,0.000,0.765,0.097,0.015,0.000,0.137,0.784,0.000,0.340,0.686,0.016,0.103,0.407,0.014,0.578,0.000,0.426,0.000,0.000,0.039,0.000
model.000.24.pdb,0.150,0.000,0.129,0.397,0.288,0.000,0.013,0.175,0.667,0.000,0.000,0.047,0.000,0.000,0.028,0.000,0.000,0.111,0.000,0.481,0.000,0.217,0.232,0.034,0.172
model.000.25.pdb,0.015,0.000,0.013,0.688,0.041,0.000,0.000,0.014,0.250,0.000,0.000,0.136,0.000,0.000,0.141,0.059,0.000,0.000,0.000,0.571,0.000,0.014,0.328,0.000,0.014
