 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb,model.000.25.pdb,model.000.26.pdb,model.000.27.pdb,model.000.28.pdb,model.000.29.pdb
model.000.00.pdb,0.000,0.780,0.000,0.000,0.000,0.000,0.310,0.000,0.130,0.387,0.000,0.069,0.000,0.000,0.349,0.000,0.014,0.000,0.000,0.000,0.014,0.189,0.122,0.149,0.411,0.620,0.250,0.642,0.000,0.127
model.000.01.pdb,0.711,0.000,0.211,0.125,0.250,0.190,0.000,0.333,0.014,0.095,0.156,0.108,0.132,0.086,0.081,0.255,0.148,0.230,0.203,0.643,0.522,0.092,0.040,0.125,0.000,0.000,0.139,0.000,0.627,0.000
model.000.02.pdb,0.263,0.000,0.067,0.152,0.548,0.167,0.000,0.241,0.000,0.000,0.327,0.000,0.309,0.000,0.000,0.231,0.444,0.129,0.737,0.103,0.121,0.000,0.000,0.000,0.000,0.000,0.049,0.000,0.368,0.000
model.000.03.pdb,0.095,0.086,0.197,0.049,0.000,0.113,0.136,0.041,0.638,0.133,0.000,0.551,0.013,0.314,0.151,0.000,0.000,0.162,0.000,0.074,0.042,0.554,0.673,0.434,0.114,0.096,0.044,0.089,0.012,0.556
model.000.04.pdb,0.012,0.596,0.000,0.000,0.000,0.000,0.238,0.000,0.176,0.571,0.000,0.179,0.000,0.014,0.582,0.000,0.000,0.000,0.000,0.056,0.069,0.343,0.197,0.317,0.286,0.627,0.329,0.508,0.000,0.141
model.000.05.pdb,0.000,0.448,0.000,0.000,0.000,0.000,0.291,0.000,0.028,0.174,0.000,0.000,0.000,0.000,0.081,0.000,0.045,0.000,0.000,0.000,0.000,0.025,0.000,0.000,0.370,0.288,0.098,0.519,0.000,0.031
model.000.06.pdb,0.500,0.000,0.595,0.339,0.360,0.553,0.000,0.707,0.076,0.000,0.358,0.111,0.271,0.271,0.000,0.523,0.097,0.659,0.150,0.264,0.153,0.052,0.070,0.077,0.000,0.000,0.000,0.000,0.246,0.032
model.000.07.pdb,0.071,0.347,0.000,0.000,0.000,0.000,0.135,0.000,0.089,0.649,0.000,0.197,0.000,0.013,0.661,0.000,0.025,0.000,0.000,0.171,0.258,0.280,0.138,0.288,0.130,0.435,0.609,0.284,0.143,0.068
model.000.08.pdb,0.000,0.525,0.000,0.000,0.000,0.000,0.481,0.000,0.129,0.208,0.000,0.013,0.000,0.000,0.162,0.000,0.013,0.000,0.000,0.000,0.000,0.085,0.091,0.054,0.538,0.390,0.129,0.600,0.000,0.108
model.000.09.pdb,0.167,0.000,0.078,0.446,0.489,0.250,0.000,0.263,0.000,0.000,0.574,0.000,0.674,0.000,0.000,0.380,0.228,0.172,0.340,0.062,0.029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.137,0.000
