Unnamed: 0,JE11,CC71,AB122,JE10,EB21,BH72,BG91,JF11,JA112,EE11,FH41,LA5
JE11,0.0,0.5,0.7,0.43,0.37,0.6,0.73,0.5,0.57,0.36,0.57,0.2
CC71,0.5,0.0,0.2,0.63,0.57,0.43,0.63,0.5,0.47,0.57,0.43,0.5
AB122,0.7,0.2,0.0,0.57,0.57,0.3,0.43,0.47,0.37,0.57,0.37,0.5
JE10,0.43,0.63,0.57,0.0,0.27,0.4,0.47,0.3,0.3,0.36,0.3,0.2
EB21,0.37,0.57,0.57,0.27,0.0,0.37,0.4,0.3,0.23,0.33,0.23,0.2
BH72,0.6,0.43,0.3,0.4,0.37,0.0,0.43,0.33,0.17,0.33,0.17,0.23
BG91,0.73,0.63,0.43,0.47,0.4,0.43,0.0,0.37,0.33,0.47,0.27,0.33
JF11,0.5,0.5,0.47,0.3,0.3,0.33,0.37,0.0,0.3,0.43,0.23,0.27
JA112,0.57,0.47,0.37,0.3,0.23,0.17,0.33,0.3,0.0,0.21,0.17,0.23
EE11,0.36,0.57,0.57,0.36,0.33,0.33,0.47,0.43,0.21,0.0,0.3,0.21
FH41,0.57,0.43,0.37,0.3,0.23,0.17,0.27,0.23,0.17,0.3,0.0,0.07
LA5,0.2,0.5,0.5,0.2,0.2,0.23,0.33,0.27,0.23,0.21,0.07,0.0
