 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb,model.000.25.pdb,model.000.26.pdb,model.000.27.pdb,model.000.28.pdb,model.000.29.pdb
model.000.00.pdb,0.025,0.187,0.047,0.169,0.322,0.198,0.367,0.476,0.042,0.520,0.667,0.029,0.309,0.600,0.026,0.066,0.368,0.048,0.023,0.296,0.095,0.150,0.225,0.040,0.076,0.329,0.047,0.712,0.271,0.253
model.000.01.pdb,0.115,0.442,0.027,0.086,0.180,0.051,0.106,0.222,0.024,0.389,0.300,0.107,0.230,0.225,0.138,0.136,0.154,0.014,0.000,0.213,0.000,0.200,0.077,0.138,0.000,0.642,0.000,0.303,0.154,0.131
model.000.02.pdb,0.045,0.000,0.490,0.149,0.116,0.254,0.145,0.121,0.359,0.052,0.057,0.205,0.041,0.053,0.000,0.030,0.104,0.254,0.407,0.011,0.519,0.000,0.104,0.165,0.565,0.000,0.206,0.075,0.101,0.129
model.000.03.pdb,0.045,0.188,0.056,0.262,0.165,0.273,0.188,0.291,0.048,0.365,0.586,0.011,0.434,0.394,0.015,0.115,0.218,0.088,0.013,0.195,0.113,0.039,0.133,0.011,0.091,0.333,0.000,0.449,0.407,0.116
model.000.04.pdb,0.023,0.145,0.022,0.067,0.524,0.084,0.583,0.667,0.039,0.622,0.542,0.066,0.118,0.686,0.117,0.012,0.506,0.022,0.011,0.423,0.043,0.289,0.405,0.088,0.046,0.244,0.080,0.653,0.118,0.438
model.000.05.pdb,0.333,0.113,0.580,0.333,0.028,0.403,0.043,0.056,0.607,0.051,0.033,0.276,0.129,0.052,0.000,0.224,0.028,0.604,0.580,0.022,0.439,0.000,0.011,0.357,0.271,0.034,0.082,0.051,0.162,0.010
model.000.06.pdb,0.667,0.267,0.096,0.487,0.000,0.383,0.000,0.011,0.172,0.012,0.058,0.071,0.267,0.000,0.000,0.690,0.000,0.410,0.188,0.000,0.132,0.000,0.000,0.141,0.019,0.131,0.000,0.013,0.326,0.000
model.000.07.pdb,0.193,0.042,0.415,0.407,0.061,0.566,0.093,0.068,0.323,0.031,0.083,0.134,0.172,0.089,0.000,0.175,0.061,0.460,0.500,0.034,0.660,0.000,0.050,0.167,0.511,0.000,0.056,0.088,0.271,0.033
model.000.08.pdb,0.034,0.138,0.053,0.176,0.418,0.202,0.475,0.576,0.048,0.531,0.643,0.064,0.286,0.649,0.047,0.071,0.449,0.054,0.021,0.307,0.109,0.172,0.301,0.075,0.092,0.276,0.065,0.757,0.269,0.337
model.000.09.pdb,0.160,0.300,0.066,0.031,0.188,0.014,0.077,0.136,0.086,0.233,0.095,0.169,0.016,0.100,0.244,0.096,0.145,0.086,0.048,0.227,0.015,0.308,0.088,0.246,0.000,0.375,0.016,0.099,0.032,0.118
model.000.10.pdb,0.183,0.054,0.418,0.162,0.069,0.194,0.043,0.076,0.712,0.020,0.011,0.500,0.040,0.052,0.000,0.129,0.049,0.382,0.472,0.011,0.350,0.000,0.048,0.492,0.194,0.000,0.238,0.041,0.040,0.054
model.000.11.pdb,0.000,0.000,0.360,0.095,0.114,0.169,0.130,0.108,0.274,0.033,0.050,0.178,0.015,0.046,0.000,0.000,0.077,0.138,0.388,0.000,0.449,0.000,0.132,0.120,0.641,0.000,0.236,0.057,0.079,0.158
model.000.12.pdb,0.000,0.041,0.013,0.000,0.507,0.000,0.455,0.366,0.035,0.291,0.224,0.131,0.013,0.370,0.214,0.000,0.551,0.000,0.013,0.576,0.000,0.455,0.458,0.094,0.000,0.085,0.351,0.263,0.000,0.617
model.000.13.pdb,0.228,0.167,0.400,0.147,0.049,0.164,0.067,0.087,0.725,0.062,0.022,0.484,0.027,0.075,0.000,0.150,0.059,0.389,0.481,0.011,0.290,0.013,0.012,0.632,0.141,0.072,0.149,0.063,0.041,0.010
model.000.14.pdb,0.035,0.215,0.000,0.043,0.537,0.040,0.494,0.598,0.039,0.658,0.556,0.075,0.171,0.587,0.130,0.060,0.518,0.011,0.000,0.455,0.000,0.320,0.382,0.098,0.011,0.367,0.103,0.600,0.103,0.432
model.000.15.pdb,0.298,0.417,0.115,0.078,0.089,0.070,0.012,0.073,0.179,0.192,0.091,0.265,0.030,0.058,0.054,0.154,0.065,0.158,0.115,0.105,0.060,0.127,0.013,0.355,0.000,0.333,0.030,0.108,0.046,0.048
model.000.16.pdb,0.000,0.121,0.000,0.000,0.397,0.000,0.312,0.333,0.000,0.385,0.246,0.037,0.048,0.375,0.302,0.000,0.397,0.000,0.000,0.528,0.000,0.619,0.298,0.052,0.000,0.242,0.102,0.236,0.000,0.393
model.000.17.pdb,0.000,0.077,0.000,0.012,0.629,0.022,0.609,0.587,0.056,0.493,0.408,0.097,0.037,0.507,0.071,0.000,0.562,0.012,0.000,0.389,0.036,0.261,0.550,0.053,0.053,0.157,0.217,0.459,0.024,0.552
