 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb
model.000.00.pdb,0.000,0.415,0.000,0.091,0.317,0.090,0.000,0.200,0.039,0.000,0.193,0.024,0.562,0.273,0.000,0.259,0.157,0.000,0.190,0.133,0.000,0.000,0.000,0.102,0.348
model.000.01.pdb,0.000,0.182,0.063,0.082,0.196,0.053,0.075,0.053,0.000,0.075,0.056,0.152,0.326,0.085,0.038,0.071,0.082,0.085,0.056,0.014,0.173,0.047,0.000,0.000,0.150
model.000.02.pdb,0.241,0.226,0.012,0.254,0.052,0.231,0.000,0.519,0.429,0.014,0.500,0.011,0.056,0.540,0.000,0.442,0.320,0.027,0.583,0.471,0.000,0.000,0.105,0.525,0.255
model.000.03.pdb,0.000,0.784,0.037,0.013,0.632,0.013,0.012,0.333,0.151,0.043,0.357,0.082,0.487,0.368,0.012,0.407,0.031,0.147,0.283,0.288,0.047,0.000,0.000,0.292,0.667
model.000.04.pdb,0.155,0.022,0.606,0.135,0.011,0.158,0.589,0.038,0.034,0.437,0.040,0.458,0.000,0.019,0.632,0.019,0.043,0.338,0.029,0.050,0.494,0.366,0.107,0.022,0.010
model.000.05.pdb,0.056,0.622,0.070,0.036,0.468,0.035,0.011,0.500,0.214,0.067,0.509,0.100,0.327,0.491,0.023,0.537,0.057,0.181,0.400,0.456,0.043,0.000,0.000,0.380,0.750
model.000.06.pdb,0.132,0.024,0.661,0.032,0.026,0.053,0.544,0.077,0.053,0.569,0.068,0.486,0.000,0.055,0.613,0.044,0.012,0.391,0.044,0.080,0.408,0.303,0.051,0.039,0.011
model.000.07.pdb,0.109,0.031,0.608,0.096,0.067,0.085,0.512,0.065,0.056,0.551,0.058,0.595,0.022,0.067,0.526,0.048,0.052,0.455,0.047,0.078,0.500,0.275,0.043,0.032,0.051
model.000.08.pdb,0.279,0.188,0.011,0.406,0.043,0.379,0.010,0.452,0.246,0.000,0.433,0.010,0.097,0.517,0.011,0.410,0.426,0.011,0.500,0.387,0.000,0.000,0.175,0.263,0.194
model.000.09.pdb,0.034,0.011,0.453,0.051,0.062,0.050,0.500,0.010,0.000,0.386,0.031,0.526,0.025,0.030,0.493,0.020,0.022,0.437,0.010,0.031,0.614,0.211,0.023,0.012,0.033
model.000.10.pdb,0.037,0.080,0.408,0.011,0.185,0.011,0.342,0.056,0.027,0.517,0.058,0.646,0.090,0.045,0.347,0.046,0.000,0.576,0.011,0.071,0.486,0.122,0.013,0.041,0.118
model.000.11.pdb,0.250,0.064,0.062,0.644,0.000,0.661,0.072,0.198,0.130,0.023,0.177,0.058,0.014,0.203,0.076,0.148,0.527,0.022,0.221,0.163,0.060,0.049,0.397,0.113,0.061
model.000.12.pdb,0.000,0.327,0.037,0.000,0.605,0.000,0.036,0.129,0.071,0.043,0.119,0.197,0.357,0.132,0.025,0.154,0.000,0.242,0.101,0.103,0.205,0.000,0.000,0.109,0.408
model.000.13.pdb,0.034,0.048,0.551,0.052,0.091,0.062,0.473,0.085,0.037,0.462,0.077,0.606,0.026,0.075,0.486,0.065,0.023,0.562,0.042,0.089,0.542,0.250,0.036,0.050,0.057
model.000.14.pdb,0.000,0.000,0.119,0.129,0.000,0.109,0.262,0.000,0.000,0.068,0.000,0.051,0.000,0.000,0.241,0.000,0.036,0.062,0.000,0.000,0.129,0.526,0.149,0.000,0.000
model.000.15.pdb,0.000,0.541,0.000,0.044,0.432,0.043,0.000,0.183,0.061,0.000,0.175,0.037,0.633,0.211,0.000,0.241,0.074,0.045,0.172,0.117,0.039,0.000,0.000,0.082,0.419
model.000.16.pdb,0.102,0.022,0.583,0.079,0.034,0.122,0.657,0.038,0.011,0.417,0.040,0.476,0.000,0.029,0.632,0.029,0.011,0.408,0.010,0.050,0.439,0.426,0.081,0.022,0.021
model.000.17.pdb,0.066,0.465,0.000,0.132,0.204,0.147,0.012,0.481,0.184,0.014,0.490,0.000,0.310,0.562,0.013,0.553,0.208,0.027,0.451,0.404,0.000,0.000,0.000,0.372,0.396
model.000.18.pdb,0.264,0.250,0.024,0.234,0.034,0.212,0.000,0.612,0.395,0.014,0.596,0.011,0.096,0.540,0.000,0.531,0.320,0.000,0.652,0.500,0.000,0.000,0.086,0.452,0.302
model.000.19.pdb,0.037,0.013,0.429,0.118,0.013,0.116,0.672,0.011,0.000,0.294,0.022,0.338,0.000,0.011,0.644,0.011,0.025,0.329,0.000,0.022,0.465,0.509,0.129,0.013,0.012
model.000.20.pdb,0.250,0.283,0.074,0.123,0.103,0.137,0.000,0.783,0.575,0.071,0.696,0.033,0.053,0.600,0.012,0.625,0.169,0.081,0.717,0.773,0.000,0.000,0.031,0.561,0.309
model.000.21.pdb,0.014,0.000,0.318,0.123,0.000,0.078,0.534,0.000,0.000,0.172,0.000,0.221,0.000,0.000,0.474,0.000,0.000,0.159,0.000,0.000,0.338,0.707,0.138,0.000,0.000
model.000.22.pdb,0.188,0.000,0.603,0.048,0.014,0.099,0.484,0.023,0.045,0.473,0.024,0.408,0.000,0.000,0.500,0.000,0.027,0.284,0.024,0.037,0.470,0.267,0.108,0.000,0.013
model.000.23.pdb,0.169,0.110,0.053,0.610,0.027,0.548,0.074,0.234,0.101,0.023,0.213,0.039,0.090,0.292,0.078,0.182,0.547,0.045,0.243,0.167,0.061,0.037,0.254,0.100,0.104
model.000.24.pdb,0.400,0.173,0.111,0.071,0.096,0.056,0.000,0.500,0.806,0.115,0.479,0.048,0.019,0.352,0.000,0.479,0.088,0.074,0.532,0.543,0.000,0.000,0.054,0.629,0.204
model.000.25.pdb,0.000,0.100,0.129,0.096,0.197,0.057,0.181,0.000,0.000,0.151,0.000,0.304,0.211,0.023,0.148,0.000,0.040,0.254,0.000,0.000,0.370,0.097,0.027,0.000,0.110
model.000.26.pdb,0.426,0.000,0.183,0.197,0.000,0.231,0.194,0.082,0.111,0.161,0.056,0.138,0.000,0.027,0.157,0.042,0.200,0.055,0.101,0.071,0.158,0.196,0.400,0.052,0.000
model.000.27.pdb,0.046,0.047,0.459,0.040,0.118,0.040,0.410,0.073,0.024,0.500,0.065,0.691,0.052,0.063,0.400,0.053,0.023,0.603,0.031,0.076,0.514,0.138,0.012,0.049,0.069
model.000.28.pdb,0.015,0.413,0.050,0.000,0.743,0.000,0.012,0.215,0.154,0.059,0.210,0.182,0.390,0.203,0.013,0.250,0.000,0.242,0.152,0.190,0.114,0.000,0.000,0.196,0.468
model.000.29.pdb,0.208,0.000,0.705,0.042,0.000,0.111,0.582,0.042,0.067,0.438,0.022,0.461,0.000,0.010,0.554,0.022,0.024,0.329,0.043,0.044,0.459,0.426,0.122,0.013,0.011
