 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb,model.000.25.pdb,model.000.26.pdb,model.000.27.pdb,model.000.28.pdb,model.000.29.pdb
model.000.00.pdb,0.000,0.050,0.024,0.024,0.701,0.022,0.689,0.587,0.044,0.453,0.333,0.133,0.024,0.529,0.087,0.000,0.606,0.025,0.024,0.408,0.048,0.299,0.576,0.124,0.053,0.143,0.167,0.500,0.000,0.600
model.000.01.pdb,0.154,0.117,0.063,0.417,0.090,0.389,0.132,0.146,0.026,0.179,0.361,0.000,0.634,0.233,0.000,0.229,0.128,0.161,0.015,0.107,0.111,0.000,0.101,0.012,0.086,0.234,0.000,0.264,0.558,0.036
model.000.02.pdb,0.136,0.038,0.464,0.258,0.087,0.364,0.110,0.104,0.409,0.029,0.032,0.190,0.093,0.061,0.000,0.121,0.067,0.356,0.491,0.000,0.574,0.000,0.110,0.181,0.560,0.000,0.171,0.060,0.155,0.121
model.000.03.pdb,0.039,0.000,0.132,0.245,0.111,0.360,0.179,0.173,0.029,0.133,0.246,0.000,0.224,0.258,0.000,0.061,0.154,0.094,0.111,0.134,0.260,0.000,0.150,0.000,0.273,0.075,0.000,0.235,0.304,0.081
model.000.04.pdb,0.000,0.053,0.013,0.000,0.528,0.000,0.456,0.438,0.034,0.346,0.215,0.114,0.026,0.392,0.365,0.000,0.571,0.000,0.013,0.548,0.012,0.596,0.309,0.116,0.000,0.150,0.176,0.300,0.000,0.515
model.000.05.pdb,0.529,0.475,0.035,0.364,0.000,0.241,0.000,0.000,0.094,0.091,0.071,0.013,0.311,0.012,0.000,0.645,0.011,0.267,0.093,0.027,0.051,0.033,0.000,0.103,0.019,0.268,0.000,0.025,0.283,0.013
model.000.06.pdb,0.000,0.050,0.037,0.076,0.520,0.108,0.585,0.608,0.044,0.397,0.471,0.074,0.077,0.621,0.056,0.000,0.541,0.012,0.050,0.333,0.101,0.176,0.409,0.087,0.127,0.129,0.120,0.588,0.120,0.425
model.000.07.pdb,0.271,0.115,0.115,0.683,0.054,0.652,0.087,0.120,0.097,0.081,0.235,0.024,0.511,0.182,0.000,0.395,0.089,0.294,0.133,0.063,0.224,0.000,0.069,0.063,0.143,0.159,0.000,0.165,0.581,0.011
model.000.08.pdb,0.240,0.255,0.150,0.077,0.100,0.069,0.035,0.083,0.250,0.119,0.024,0.359,0.015,0.070,0.071,0.151,0.065,0.175,0.150,0.104,0.075,0.125,0.040,0.491,0.000,0.227,0.078,0.069,0.030,0.047
model.000.09.pdb,0.081,0.321,0.014,0.154,0.182,0.155,0.192,0.298,0.000,0.414,0.579,0.000,0.345,0.386,0.048,0.119,0.224,0.014,0.000,0.233,0.069,0.116,0.137,0.011,0.045,0.536,0.000,0.508,0.321,0.133
model.000.10.pdb,0.070,0.133,0.079,0.353,0.101,0.333,0.145,0.212,0.013,0.208,0.400,0.000,0.545,0.282,0.000,0.176,0.140,0.065,0.030,0.120,0.145,0.000,0.149,0.000,0.123,0.270,0.000,0.314,0.581,0.060
model.000.11.pdb,0.129,0.132,0.222,0.026,0.138,0.062,0.055,0.087,0.375,0.109,0.022,0.583,0.000,0.075,0.079,0.062,0.103,0.190,0.222,0.134,0.127,0.127,0.089,0.603,0.028,0.113,0.185,0.041,0.000,0.078
model.000.12.pdb,0.019,0.000,0.277,0.017,0.111,0.115,0.129,0.105,0.224,0.037,0.041,0.147,0.000,0.025,0.000,0.000,0.071,0.160,0.304,0.000,0.370,0.000,0.131,0.118,0.474,0.000,0.176,0.050,0.017,0.176
model.000.13.pdb,0.000,0.167,0.000,0.000,0.329,0.000,0.262,0.307,0.000,0.397,0.317,0.025,0.068,0.323,0.317,0.000,0.310,0.000,0.000,0.436,0.000,0.500,0.263,0.053,0.000,0.316,0.068,0.261,0.016,0.277
model.000.14.pdb,0.611,0.226,0.300,0.500,0.022,0.377,0.024,0.010,0.310,0.034,0.013,0.137,0.204,0.011,0.000,0.462,0.022,0.750,0.327,0.013,0.283,0.000,0.000,0.246,0.173,0.100,0.000,0.023,0.226,0.000
model.000.15.pdb,0.000,0.030,0.015,0.000,0.356,0.000,0.294,0.253,0.053,0.190,0.104,0.160,0.000,0.195,0.364,0.000,0.394,0.000,0.015,0.441,0.000,0.500,0.368,0.104,0.000,0.080,0.408,0.094,0.000,0.435
model.000.16.pdb,0.172,0.042,0.389,0.357,0.061,0.537,0.106,0.100,0.365,0.031,0.058,0.148,0.136,0.101,0.000,0.155,0.061,0.431,0.471,0.011,0.625,0.000,0.024,0.213,0.449,0.000,0.014,0.100,0.210,0.056
model.000.17.pdb,0.352,0.159,0.333,0.688,0.028,0.600,0.053,0.095,0.319,0.050,0.116,0.153,0.311,0.096,0.000,0.385,0.038,0.500,0.356,0.011,0.407,0.000,0.000,0.215,0.226,0.122,0.013,0.106,0.429,0.000
model.000.18.pdb,0.000,0.000,0.000,0.000,0.388,0.029,0.464,0.361,0.000,0.222,0.274,0.052,0.033,0.284,0.019,0.000,0.329,0.000,0.016,0.234,0.065,0.082,0.532,0.000,0.113,0.056,0.235,0.299,0.033,0.383
model.000.19.pdb,0.362,0.420,0.092,0.143,0.074,0.082,0.023,0.060,0.155,0.143,0.061,0.203,0.109,0.044,0.107,0.260,0.041,0.169,0.109,0.087,0.042,0.138,0.026,0.338,0.000,0.339,0.014,0.080,0.092,0.022
model.000.20.pdb,0.000,0.135,0.037,0.197,0.326,0.227,0.373,0.469,0.011,0.453,0.724,0.020,0.312,0.574,0.042,0.070,0.390,0.038,0.012,0.266,0.087,0.130,0.292,0.031,0.096,0.280,0.091,0.662,0.312,0.300
model.000.21.pdb,0.000,0.000,0.056,0.118,0.346,0.169,0.469,0.467,0.075,0.282,0.444,0.057,0.087,0.531,0.015,0.000,0.382,0.028,0.087,0.230,0.147,0.083,0.355,0.083,0.164,0.074,0.103,0.478,0.136,0.301
