 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb,model.000.25.pdb,model.000.26.pdb,model.000.27.pdb,model.000.28.pdb,model.000.29.pdb
model.000.00.pdb,0.154,0.141,0.011,0.673,0.108,0.072,0.673,0.158,0.393,0.079,0.027,0.054,0.688,0.211,0.048,0.348,0.761,0.197,0.077,0.116,0.696,0.011,0.268,0.132,0.585,0.066,0.077,0.028,0.174,0.000
model.000.01.pdb,0.027,0.079,0.364,0.023,0.064,0.103,0.011,0.175,0.068,0.045,0.357,0.342,0.000,0.074,0.098,0.034,0.000,0.089,0.044,0.054,0.013,0.500,0.058,0.074,0.000,0.139,0.076,0.154,0.025,0.339
model.000.02.pdb,0.104,0.569,0.000,0.147,0.588,0.377,0.178,0.000,0.027,0.288,0.000,0.011,0.231,0.735,0.327,0.630,0.250,0.647,0.255,0.434,0.222,0.058,0.618,0.700,0.186,0.000,0.000,0.259,0.569,0.013
model.000.03.pdb,0.321,0.013,0.200,0.188,0.000,0.015,0.206,0.017,0.159,0.000,0.129,0.296,0.169,0.025,0.000,0.063,0.152,0.000,0.083,0.059,0.197,0.101,0.012,0.000,0.215,0.462,0.477,0.000,0.056,0.177
model.000.04.pdb,0.266,0.740,0.105,0.120,0.467,0.633,0.134,0.000,0.000,0.104,0.013,0.020,0.176,0.736,0.309,0.583,0.192,0.685,0.520,0.729,0.167,0.153,0.600,0.614,0.154,0.000,0.000,0.127,0.776,0.167
model.000.05.pdb,0.062,0.022,0.449,0.140,0.033,0.037,0.089,0.203,0.113,0.013,0.536,0.636,0.070,0.021,0.027,0.020,0.045,0.032,0.013,0.011,0.035,0.451,0.041,0.021,0.080,0.460,0.306,0.076,0.022,0.309
model.000.06.pdb,0.188,0.745,0.084,0.100,0.509,0.596,0.128,0.000,0.013,0.131,0.000,0.010,0.171,0.706,0.340,0.552,0.171,0.792,0.449,0.660,0.162,0.148,0.625,0.642,0.133,0.000,0.000,0.119,0.708,0.145
model.000.07.pdb,0.061,0.134,0.530,0.021,0.119,0.162,0.010,0.114,0.034,0.026,0.359,0.453,0.000,0.140,0.182,0.074,0.011,0.141,0.093,0.113,0.000,0.677,0.097,0.126,0.000,0.208,0.093,0.147,0.081,0.406
model.000.08.pdb,0.143,0.792,0.068,0.122,0.526,0.612,0.150,0.000,0.037,0.197,0.013,0.020,0.194,0.717,0.365,0.593,0.211,0.837,0.364,0.491,0.186,0.128,0.667,0.685,0.156,0.000,0.000,0.197,0.564,0.122
model.000.09.pdb,0.037,0.034,0.435,0.115,0.022,0.050,0.090,0.152,0.086,0.000,0.491,0.621,0.071,0.043,0.056,0.021,0.046,0.044,0.013,0.024,0.035,0.457,0.042,0.043,0.056,0.422,0.270,0.063,0.022,0.313
model.000.10.pdb,0.000,0.099,0.024,0.292,0.145,0.076,0.312,0.370,0.415,0.250,0.075,0.080,0.279,0.107,0.068,0.162,0.279,0.139,0.000,0.028,0.293,0.011,0.192,0.122,0.246,0.040,0.063,0.127,0.054,0.000
model.000.11.pdb,0.173,0.098,0.703,0.059,0.052,0.146,0.039,0.117,0.065,0.000,0.397,0.519,0.020,0.082,0.103,0.038,0.031,0.105,0.154,0.102,0.000,0.600,0.068,0.071,0.020,0.365,0.184,0.068,0.074,0.556
model.000.12.pdb,0.190,0.157,0.000,0.611,0.108,0.072,0.642,0.119,0.345,0.097,0.014,0.043,0.884,0.229,0.048,0.369,0.841,0.197,0.094,0.132,0.773,0.000,0.268,0.132,0.680,0.052,0.061,0.028,0.191,0.000
model.000.13.pdb,0.077,0.084,0.556,0.103,0.058,0.107,0.055,0.172,0.074,0.000,0.474,0.536,0.047,0.067,0.119,0.021,0.023,0.093,0.097,0.062,0.024,0.578,0.031,0.067,0.045,0.385,0.234,0.064,0.023,0.359
model.000.14.pdb,0.182,0.127,0.013,0.674,0.043,0.016,0.638,0.120,0.333,0.000,0.032,0.061,0.690,0.188,0.000,0.317,0.578,0.136,0.132,0.155,0.659,0.000,0.212,0.101,0.644,0.060,0.091,0.000,0.183,0.000
model.000.15.pdb,0.000,0.000,0.111,0.193,0.000,0.000,0.115,0.741,0.283,0.021,0.302,0.200,0.069,0.000,0.000,0.000,0.051,0.000,0.000,0.000,0.073,0.106,0.000,0.000,0.121,0.170,0.133,0.019,0.000,0.000
model.000.16.pdb,0.026,0.000,0.353,0.071,0.024,0.000,0.034,0.211,0.080,0.076,0.529,0.408,0.012,0.000,0.015,0.000,0.012,0.000,0.000,0.000,0.013,0.377,0.000,0.011,0.024,0.312,0.177,0.132,0.000,0.141
model.000.17.pdb,0.100,0.068,0.594,0.042,0.056,0.101,0.020,0.129,0.058,0.000,0.419,0.528,0.000,0.076,0.113,0.052,0.011,0.077,0.078,0.059,0.000,0.591,0.062,0.076,0.000,0.362,0.203,0.074,0.044,0.468
model.000.18.pdb,0.090,0.051,0.500,0.079,0.061,0.067,0.058,0.158,0.087,0.034,0.448,0.566,0.030,0.059,0.060,0.047,0.020,0.059,0.034,0.021,0.031,0.500,0.057,0.059,0.039,0.338,0.179,0.116,0.030,0.370
model.000.19.pdb,0.067,0.024,0.469,0.011,0.048,0.026,0.000,0.109,0.037,0.090,0.356,0.397,0.000,0.022,0.076,0.011,0.000,0.023,0.042,0.012,0.000,0.565,0.022,0.046,0.000,0.162,0.056,0.197,0.024,0.339
model.000.20.pdb,0.060,0.080,0.478,0.099,0.056,0.101,0.087,0.129,0.110,0.013,0.354,0.392,0.068,0.100,0.129,0.097,0.080,0.101,0.064,0.047,0.058,0.522,0.062,0.088,0.054,0.205,0.078,0.101,0.033,0.338
model.000.21.pdb,0.156,0.739,0.048,0.103,0.588,0.553,0.132,0.000,0.000,0.196,0.000,0.021,0.176,0.809,0.300,0.630,0.194,0.787,0.380,0.583,0.167,0.083,0.712,0.700,0.137,0.000,0.000,0.177,0.702,0.085
model.000.22.pdb,0.211,0.057,0.786,0.043,0.033,0.090,0.021,0.100,0.035,0.000,0.410,0.521,0.011,0.043,0.041,0.031,0.022,0.055,0.125,0.073,0.000,0.585,0.074,0.032,0.011,0.314,0.157,0.049,0.082,0.589
model.000.23.pdb,0.375,0.059,0.081,0.258,0.014,0.016,0.322,0.000,0.150,0.000,0.048,0.173,0.263,0.100,0.000,0.159,0.241,0.056,0.151,0.133,0.278,0.025,0.080,0.041,0.339,0.241,0.271,0.000,0.143,0.078
model.000.24.pdb,0.169,0.154,0.000,0.620,0.086,0.046,0.688,0.071,0.385,0.069,0.000,0.046,0.744,0.231,0.017,0.383,0.705,0.197,0.123,0.164,0.674,0.000,0.273,0.127,0.696,0.071,0.103,0.015,0.210,0.000
