 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb,model.000.25.pdb,model.000.26.pdb,model.000.27.pdb,model.000.28.pdb,model.000.29.pdb
model.000.00.pdb,0.301,0.078,0.024,0.406,0.471,0.046,0.534,0.278,0.022,0.025,0.043,0.609,0.603,0.011,0.037,0.344,0.162,0.068,0.446,0.011,0.447,0.011,0.043,0.661,0.127,0.372,0.386,0.156,0.095,0.603
model.000.01.pdb,0.034,0.127,0.673,0.044,0.010,0.275,0.036,0.000,0.233,0.580,0.808,0.113,0.096,0.216,0.509,0.000,0.027,0.820,0.072,0.260,0.115,0.400,0.755,0.064,0.000,0.061,0.056,0.000,0.000,0.071
model.000.02.pdb,0.035,0.101,0.696,0.047,0.022,0.254,0.051,0.000,0.194,0.562,0.698,0.106,0.111,0.178,0.462,0.000,0.014,0.851,0.087,0.222,0.096,0.338,0.745,0.067,0.000,0.053,0.071,0.000,0.000,0.074
model.000.03.pdb,0.607,0.012,0.023,0.695,0.411,0.133,0.243,0.462,0.103,0.024,0.053,0.425,0.446,0.116,0.036,0.391,0.065,0.054,0.719,0.089,0.592,0.054,0.031,0.472,0.122,0.667,0.587,0.353,0.217,0.474
model.000.04.pdb,0.533,0.096,0.000,0.403,0.492,0.023,0.246,0.712,0.071,0.000,0.000,0.271,0.326,0.059,0.000,0.694,0.188,0.000,0.387,0.057,0.321,0.022,0.000,0.408,0.262,0.405,0.324,0.654,0.300,0.395
model.000.05.pdb,0.012,0.183,0.622,0.012,0.000,0.254,0.013,0.000,0.246,0.628,0.604,0.031,0.050,0.246,0.420,0.000,0.047,0.673,0.056,0.297,0.021,0.491,0.615,0.011,0.000,0.011,0.024,0.000,0.000,0.021
model.000.06.pdb,0.013,0.153,0.400,0.025,0.049,0.041,0.121,0.013,0.040,0.396,0.344,0.116,0.159,0.026,0.153,0.000,0.123,0.362,0.034,0.096,0.080,0.197,0.373,0.100,0.032,0.034,0.025,0.000,0.000,0.119
model.000.07.pdb,0.000,0.148,0.143,0.027,0.145,0.000,0.259,0.014,0.000,0.173,0.086,0.154,0.200,0.000,0.000,0.048,0.184,0.106,0.049,0.042,0.085,0.090,0.103,0.171,0.073,0.036,0.056,0.000,0.000,0.158
model.000.08.pdb,0.014,0.476,0.123,0.000,0.129,0.029,0.153,0.060,0.059,0.173,0.086,0.047,0.079,0.059,0.000,0.066,0.487,0.090,0.024,0.121,0.023,0.159,0.087,0.065,0.283,0.012,0.000,0.030,0.000,0.073
model.000.09.pdb,0.347,0.090,0.024,0.456,0.478,0.057,0.468,0.288,0.022,0.037,0.042,0.614,0.608,0.056,0.049,0.333,0.157,0.067,0.535,0.054,0.474,0.032,0.043,0.667,0.139,0.380,0.435,0.167,0.078,0.563
model.000.10.pdb,0.094,0.227,0.186,0.044,0.077,0.534,0.036,0.169,0.685,0.176,0.173,0.009,0.085,0.655,0.141,0.105,0.100,0.179,0.094,0.632,0.019,0.438,0.160,0.052,0.182,0.094,0.022,0.208,0.113,0.049
model.000.11.pdb,0.026,0.097,0.556,0.038,0.000,0.246,0.000,0.000,0.200,0.457,0.673,0.079,0.020,0.200,0.619,0.000,0.016,0.549,0.057,0.231,0.080,0.339,0.588,0.011,0.000,0.034,0.051,0.000,0.000,0.011
model.000.12.pdb,0.000,0.289,0.200,0.000,0.056,0.015,0.085,0.015,0.046,0.267,0.125,0.036,0.082,0.046,0.000,0.017,0.286,0.150,0.000,0.094,0.012,0.169,0.145,0.040,0.122,0.000,0.014,0.000,0.000,0.037
model.000.13.pdb,0.299,0.086,0.059,0.397,0.419,0.055,0.516,0.293,0.021,0.048,0.097,0.634,0.627,0.021,0.048,0.300,0.151,0.100,0.436,0.020,0.554,0.021,0.098,0.636,0.133,0.418,0.437,0.146,0.075,0.652
model.000.14.pdb,0.011,0.203,0.612,0.022,0.022,0.181,0.078,0.000,0.176,0.583,0.517,0.082,0.121,0.160,0.262,0.000,0.123,0.544,0.052,0.219,0.061,0.354,0.525,0.066,0.042,0.031,0.034,0.000,0.000,0.084
model.000.15.pdb,0.514,0.032,0.031,0.657,0.390,0.094,0.256,0.342,0.070,0.032,0.121,0.543,0.456,0.081,0.128,0.370,0.069,0.091,0.658,0.058,0.722,0.049,0.100,0.444,0.093,0.729,0.657,0.304,0.218,0.519
model.000.16.pdb,0.316,0.095,0.044,0.413,0.434,0.075,0.485,0.278,0.030,0.034,0.093,0.690,0.680,0.041,0.045,0.301,0.143,0.073,0.468,0.040,0.566,0.030,0.082,0.623,0.127,0.468,0.413,0.167,0.084,0.662
model.000.17.pdb,0.063,0.180,0.233,0.075,0.023,0.739,0.000,0.038,0.745,0.224,0.211,0.031,0.050,0.745,0.180,0.014,0.030,0.239,0.116,0.680,0.031,0.566,0.197,0.022,0.045,0.091,0.049,0.083,0.148,0.010
model.000.18.pdb,0.012,0.268,0.352,0.037,0.011,0.612,0.000,0.000,0.558,0.346,0.308,0.000,0.050,0.558,0.224,0.000,0.063,0.323,0.056,0.627,0.021,0.745,0.292,0.011,0.046,0.022,0.012,0.027,0.078,0.010
model.000.19.pdb,0.014,0.000,0.333,0.027,0.026,0.029,0.153,0.014,0.014,0.245,0.382,0.154,0.185,0.014,0.216,0.000,0.000,0.377,0.049,0.028,0.171,0.106,0.415,0.123,0.000,0.062,0.056,0.000,0.000,0.128
model.000.20.pdb,0.012,0.072,0.617,0.048,0.000,0.242,0.039,0.000,0.167,0.460,0.760,0.109,0.080,0.167,0.510,0.000,0.000,0.635,0.065,0.194,0.110,0.328,0.673,0.044,0.000,0.065,0.048,0.000,0.000,0.064
model.000.21.pdb,0.000,0.000,0.216,0.088,0.000,0.214,0.000,0.000,0.148,0.157,0.298,0.100,0.000,0.207,0.538,0.000,0.000,0.246,0.063,0.161,0.160,0.164,0.304,0.000,0.000,0.105,0.121,0.000,0.074,0.024
model.000.22.pdb,0.214,0.159,0.014,0.243,0.552,0.025,0.549,0.390,0.000,0.014,0.000,0.347,0.466,0.012,0.000,0.407,0.255,0.012,0.260,0.024,0.316,0.012,0.012,0.476,0.273,0.228,0.243,0.197,0.044,0.456
model.000.23.pdb,0.022,0.159,0.608,0.033,0.000,0.189,0.049,0.000,0.154,0.580,0.709,0.113,0.129,0.154,0.404,0.000,0.056,0.750,0.072,0.195,0.103,0.338,0.722,0.064,0.000,0.061,0.056,0.000,0.000,0.082
