 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb,model.000.25.pdb,model.000.26.pdb,model.000.27.pdb,model.000.28.pdb,model.000.29.pdb
model.000.00.pdb,0.000,0.204,0.271,0.000,0.056,0.015,0.140,0.015,0.030,0.318,0.177,0.061,0.120,0.015,0.017,0.000,0.196,0.207,0.000,0.092,0.062,0.167,0.200,0.068,0.057,0.000,0.014,0.000,0.000,0.076
model.000.01.pdb,0.072,0.203,0.179,0.034,0.056,0.545,0.012,0.117,0.706,0.152,0.167,0.000,0.067,0.611,0.132,0.053,0.058,0.173,0.086,0.618,0.010,0.419,0.154,0.032,0.121,0.086,0.011,0.153,0.154,0.030
model.000.02.pdb,0.492,0.065,0.000,0.433,0.623,0.034,0.375,0.569,0.045,0.000,0.000,0.392,0.506,0.045,0.000,0.667,0.130,0.000,0.472,0.033,0.434,0.011,0.000,0.500,0.215,0.452,0.391,0.443,0.176,0.543
model.000.03.pdb,0.036,0.190,0.674,0.060,0.011,0.317,0.025,0.000,0.269,0.721,0.589,0.051,0.090,0.250,0.339,0.000,0.076,0.654,0.088,0.299,0.052,0.509,0.571,0.044,0.000,0.031,0.047,0.000,0.000,0.041
model.000.04.pdb,0.011,0.101,0.696,0.011,0.011,0.200,0.038,0.000,0.178,0.562,0.765,0.095,0.078,0.178,0.551,0.000,0.014,0.776,0.031,0.222,0.108,0.359,0.816,0.032,0.000,0.020,0.047,0.000,0.000,0.041
model.000.05.pdb,0.282,0.068,0.025,0.310,0.524,0.024,0.667,0.333,0.000,0.026,0.045,0.529,0.592,0.011,0.013,0.390,0.154,0.034,0.338,0.011,0.432,0.000,0.057,0.623,0.134,0.355,0.348,0.181,0.085,0.567
model.000.06.pdb,0.027,0.711,0.117,0.013,0.155,0.058,0.164,0.104,0.103,0.164,0.082,0.069,0.100,0.087,0.016,0.079,0.605,0.086,0.035,0.149,0.045,0.169,0.083,0.104,0.348,0.023,0.013,0.044,0.000,0.110
model.000.07.pdb,0.023,0.116,0.681,0.022,0.000,0.232,0.037,0.000,0.208,0.551,0.820,0.105,0.088,0.208,0.510,0.000,0.014,0.833,0.074,0.254,0.095,0.375,0.800,0.043,0.000,0.052,0.046,0.000,0.000,0.062
model.000.08.pdb,0.087,0.596,0.069,0.047,0.260,0.037,0.266,0.235,0.076,0.104,0.047,0.120,0.198,0.090,0.000,0.200,0.651,0.049,0.100,0.145,0.074,0.117,0.048,0.218,0.565,0.053,0.047,0.174,0.000,0.217
model.000.09.pdb,0.492,0.026,0.013,0.453,0.333,0.036,0.250,0.354,0.011,0.013,0.107,0.529,0.395,0.023,0.129,0.344,0.087,0.059,0.515,0.022,0.582,0.023,0.095,0.414,0.118,0.585,0.632,0.269,0.149,0.479
model.000.10.pdb,0.137,0.479,0.028,0.076,0.257,0.039,0.283,0.290,0.066,0.045,0.012,0.125,0.193,0.080,0.000,0.213,0.634,0.012,0.118,0.107,0.089,0.065,0.012,0.213,0.700,0.080,0.076,0.203,0.000,0.228
model.000.11.pdb,0.042,0.000,0.140,0.085,0.159,0.000,0.408,0.043,0.000,0.127,0.167,0.282,0.329,0.000,0.050,0.065,0.017,0.156,0.087,0.014,0.184,0.042,0.188,0.277,0.000,0.130,0.132,0.000,0.000,0.254
model.000.12.pdb,0.000,0.121,0.196,0.000,0.093,0.000,0.246,0.014,0.014,0.208,0.197,0.177,0.222,0.014,0.048,0.046,0.151,0.188,0.023,0.041,0.108,0.086,0.219,0.164,0.051,0.047,0.039,0.000,0.000,0.182
model.000.13.pdb,0.074,0.172,0.203,0.060,0.034,0.596,0.000,0.091,0.700,0.175,0.187,0.010,0.058,0.635,0.154,0.040,0.044,0.194,0.088,0.611,0.020,0.433,0.173,0.022,0.091,0.088,0.023,0.125,0.197,0.010
model.000.14.pdb,0.013,0.000,0.211,0.110,0.000,0.271,0.000,0.000,0.203,0.119,0.328,0.118,0.000,0.283,0.457,0.000,0.000,0.238,0.096,0.234,0.160,0.238,0.270,0.000,0.000,0.110,0.157,0.014,0.140,0.011
model.000.15.pdb,0.027,0.000,0.457,0.053,0.000,0.237,0.014,0.000,0.154,0.391,0.549,0.094,0.042,0.172,0.667,0.000,0.000,0.462,0.060,0.149,0.108,0.246,0.529,0.024,0.000,0.047,0.068,0.000,0.000,0.011
model.000.16.pdb,0.157,0.190,0.000,0.137,0.536,0.000,0.630,0.368,0.000,0.000,0.000,0.329,0.392,0.013,0.000,0.412,0.354,0.000,0.177,0.025,0.200,0.000,0.000,0.483,0.347,0.148,0.153,0.190,0.000,0.377
model.000.17.pdb,0.517,0.026,0.000,0.525,0.391,0.036,0.250,0.419,0.035,0.000,0.081,0.446,0.361,0.035,0.097,0.439,0.087,0.034,0.471,0.022,0.559,0.000,0.070,0.375,0.118,0.609,0.550,0.371,0.242,0.458
model.000.18.pdb,0.667,0.025,0.000,0.565,0.389,0.071,0.219,0.559,0.094,0.000,0.000,0.306,0.315,0.081,0.012,0.509,0.082,0.000,0.507,0.056,0.375,0.011,0.000,0.321,0.159,0.574,0.448,0.618,0.397,0.397
model.000.19.pdb,0.400,0.091,0.000,0.303,0.589,0.013,0.368,0.588,0.012,0.000,0.000,0.316,0.413,0.012,0.000,0.786,0.193,0.000,0.333,0.012,0.303,0.000,0.000,0.460,0.278,0.333,0.303,0.444,0.167,0.463
