 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb,model.000.25.pdb,model.000.26.pdb,model.000.27.pdb,model.000.28.pdb,model.000.29.pdb
model.000.00.pdb,0.911,0.103,0.099,0.064,0.521,0.077,0.547,0.475,0.307,0.070,0.040,0.088,0.179,0.776,0.012,0.025,0.089,0.151,0.000,0.143,0.466,0.326,0.205,0.010,0.192,0.111,0.154,0.096,0.657,0.145
model.000.01.pdb,0.292,0.000,0.000,0.353,0.212,0.000,0.181,0.368,0.867,0.083,0.035,0.000,0.560,0.265,0.129,0.097,0.000,0.000,0.067,0.047,0.148,0.163,0.095,0.183,0.436,0.000,0.000,0.400,0.198,0.500
model.000.02.pdb,0.093,0.729,0.812,0.000,0.140,0.417,0.132,0.050,0.000,0.179,0.286,0.536,0.000,0.104,0.044,0.045,0.431,0.509,0.157,0.379,0.146,0.098,0.069,0.049,0.000,0.582,0.638,0.013,0.089,0.000
model.000.03.pdb,0.593,0.122,0.115,0.045,0.324,0.104,0.792,0.280,0.250,0.129,0.034,0.103,0.162,0.536,0.076,0.095,0.074,0.194,0.000,0.213,0.270,0.188,0.081,0.012,0.127,0.145,0.149,0.068,0.463,0.093
model.000.04.pdb,0.569,0.085,0.093,0.141,0.746,0.061,0.364,0.653,0.300,0.032,0.048,0.050,0.195,0.667,0.011,0.023,0.122,0.105,0.010,0.058,0.569,0.558,0.383,0.061,0.151,0.093,0.091,0.102,0.539,0.174
model.000.05.pdb,0.054,0.509,0.364,0.090,0.041,0.692,0.099,0.019,0.011,0.547,0.576,0.679,0.065,0.058,0.321,0.333,0.118,0.435,0.377,0.516,0.043,0.040,0.000,0.143,0.153,0.525,0.311,0.157,0.063,0.149
model.000.06.pdb,0.027,0.123,0.062,0.020,0.000,0.222,0.098,0.012,0.082,0.538,0.246,0.196,0.176,0.036,0.793,0.852,0.000,0.196,0.148,0.358,0.000,0.012,0.000,0.031,0.298,0.193,0.018,0.180,0.000,0.235
model.000.07.pdb,0.120,0.608,0.509,0.000,0.115,0.448,0.214,0.020,0.000,0.368,0.328,0.545,0.013,0.129,0.207,0.193,0.241,0.809,0.176,0.698,0.057,0.042,0.011,0.012,0.068,0.686,0.520,0.041,0.128,0.038
model.000.08.pdb,0.696,0.104,0.134,0.094,0.635,0.069,0.535,0.524,0.271,0.085,0.056,0.079,0.159,0.925,0.033,0.045,0.129,0.147,0.010,0.152,0.500,0.442,0.275,0.029,0.144,0.122,0.136,0.086,0.635,0.141
model.000.09.pdb,0.078,0.000,0.000,0.735,0.145,0.042,0.014,0.190,0.423,0.133,0.129,0.014,0.478,0.067,0.176,0.137,0.000,0.000,0.167,0.026,0.092,0.154,0.123,0.345,0.353,0.000,0.000,0.558,0.087,0.479
model.000.10.pdb,0.032,0.393,0.328,0.075,0.031,0.642,0.023,0.049,0.012,0.286,0.704,0.600,0.013,0.038,0.177,0.183,0.136,0.294,0.566,0.310,0.067,0.073,0.044,0.225,0.065,0.369,0.215,0.143,0.075,0.063
model.000.11.pdb,0.036,0.442,0.756,0.000,0.111,0.242,0.083,0.032,0.000,0.076,0.206,0.368,0.000,0.065,0.000,0.000,0.585,0.393,0.141,0.297,0.117,0.094,0.090,0.027,0.000,0.411,0.500,0.000,0.059,0.000
model.000.12.pdb,0.203,0.000,0.035,0.127,0.320,0.024,0.101,0.413,0.117,0.000,0.058,0.012,0.081,0.289,0.000,0.000,0.104,0.012,0.108,0.000,0.462,0.457,0.679,0.147,0.080,0.000,0.000,0.053,0.320,0.064
model.000.13.pdb,0.033,0.292,0.222,0.127,0.042,0.536,0.024,0.060,0.062,0.356,0.784,0.450,0.111,0.049,0.263,0.228,0.104,0.208,0.547,0.278,0.044,0.062,0.022,0.284,0.174,0.257,0.164,0.254,0.088,0.203
model.000.14.pdb,0.562,0.040,0.049,0.139,0.553,0.040,0.309,0.838,0.400,0.031,0.038,0.029,0.253,0.615,0.034,0.023,0.057,0.029,0.020,0.028,0.606,0.532,0.395,0.071,0.220,0.029,0.032,0.126,0.513,0.200
model.000.15.pdb,0.089,0.042,0.013,0.442,0.071,0.116,0.040,0.141,0.328,0.224,0.224,0.083,0.392,0.065,0.286,0.271,0.000,0.054,0.281,0.078,0.062,0.057,0.049,0.351,0.469,0.039,0.015,0.795,0.059,0.542
model.000.16.pdb,0.239,0.000,0.000,0.311,0.338,0.000,0.071,0.424,0.321,0.000,0.013,0.000,0.236,0.267,0.017,0.000,0.000,0.000,0.000,0.000,0.361,0.429,0.323,0.104,0.169,0.000,0.000,0.136,0.279,0.145
model.000.17.pdb,0.417,0.096,0.159,0.099,0.631,0.045,0.205,0.527,0.177,0.024,0.043,0.044,0.101,0.481,0.000,0.000,0.209,0.080,0.035,0.010,0.889,0.557,0.443,0.033,0.114,0.067,0.090,0.075,0.493,0.111
model.000.18.pdb,0.025,0.479,0.293,0.018,0.012,0.738,0.042,0.011,0.000,0.340,0.592,0.644,0.000,0.022,0.204,0.188,0.109,0.345,0.380,0.386,0.025,0.047,0.000,0.123,0.062,0.415,0.250,0.082,0.062,0.029
model.000.19.pdb,0.265,0.087,0.097,0.000,0.111,0.116,0.444,0.078,0.149,0.315,0.108,0.130,0.164,0.273,0.340,0.386,0.032,0.238,0.043,0.407,0.062,0.057,0.000,0.000,0.180,0.197,0.095,0.061,0.233,0.156
model.000.20.pdb,0.011,0.037,0.023,0.392,0.053,0.132,0.000,0.128,0.178,0.111,0.230,0.074,0.194,0.019,0.108,0.094,0.014,0.012,0.390,0.011,0.044,0.109,0.190,0.870,0.141,0.023,0.013,0.362,0.042,0.239
model.000.21.pdb,0.394,0.209,0.269,0.000,0.433,0.092,0.556,0.184,0.064,0.085,0.035,0.105,0.000,0.444,0.030,0.031,0.291,0.292,0.000,0.203,0.314,0.237,0.110,0.000,0.026,0.232,0.271,0.000,0.391,0.039
model.000.22.pdb,0.125,0.000,0.000,0.043,0.027,0.000,0.123,0.137,0.312,0.140,0.015,0.000,0.357,0.105,0.324,0.237,0.000,0.000,0.000,0.113,0.029,0.013,0.000,0.050,0.349,0.000,0.000,0.244,0.041,0.277
model.000.23.pdb,0.301,0.066,0.098,0.151,0.556,0.065,0.149,0.566,0.193,0.033,0.072,0.053,0.120,0.412,0.012,0.012,0.101,0.064,0.044,0.029,0.588,0.949,0.574,0.100,0.093,0.052,0.046,0.070,0.455,0.116
model.000.24.pdb,0.023,0.368,0.224,0.102,0.011,0.538,0.066,0.010,0.039,0.682,0.574,0.473,0.121,0.031,0.435,0.455,0.046,0.350,0.333,0.509,0.023,0.032,0.000,0.127,0.230,0.439,0.220,0.217,0.045,0.222
model.000.25.pdb,0.347,0.024,0.034,0.217,0.554,0.023,0.187,0.521,0.275,0.025,0.033,0.011,0.139,0.453,0.000,0.000,0.086,0.023,0.012,0.011,0.516,0.625,0.455,0.086,0.137,0.023,0.013,0.110,0.423,0.164
model.000.26.pdb,0.063,0.304,0.540,0.000,0.189,0.154,0.118,0.067,0.000,0.030,0.159,0.226,0.000,0.116,0.000,0.000,0.853,0.246,0.127,0.191,0.167,0.123,0.137,0.027,0.000,0.283,0.367,0.000,0.086,0.000
model.000.27.pdb,0.063,0.659,0.638,0.000,0.128,0.389,0.101,0.044,0.000,0.131,0.231,0.462,0.000,0.067,0.017,0.017,0.400,0.462,0.145,0.350,0.105,0.071,0.025,0.042,0.000,0.571,0.675,0.015,0.035,0.000
model.000.28.pdb,0.113,0.560,0.439,0.000,0.069,0.600,0.125,0.042,0.013,0.423,0.393,0.653,0.028,0.110,0.222,0.208,0.133,0.558,0.206,0.536,0.072,0.067,0.000,0.039,0.103,0.608,0.469,0.074,0.120,0.085
model.000.29.pdb,0.093,0.844,0.642,0.000,0.114,0.545,0.162,0.019,0.000,0.317,0.343,0.686,0.000,0.093,0.164,0.150,0.281,0.686,0.191,0.542,0.068,0.052,0.000,0.037,0.039,0.776,0.638,0.040,0.077,0.012
