 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb,model.000.25.pdb,model.000.26.pdb,model.000.27.pdb,model.000.28.pdb,model.000.29.pdb
model.000.00.pdb,0.023,0.000,0.462,0.000,0.056,0.162,0.000,0.210,0.053,0.000,0.279,0.619,0.132,0.203,0.055,0.000,0.016,0.183,0.231,0.000,0.055,0.138,0.000,0.111,0.076,0.068,0.571,0.404,0.145,0.267
model.000.01.pdb,0.118,0.000,0.464,0.155,0.063,0.518,0.260,0.800,0.105,0.000,0.333,0.345,0.000,0.239,0.020,0.057,0.000,0.034,0.400,0.254,0.012,0.194,0.017,0.032,0.426,0.012,0.220,0.412,0.571,0.673
model.000.02.pdb,0.392,0.127,0.169,0.216,0.514,0.011,0.000,0.099,0.487,0.082,0.022,0.206,0.400,0.011,0.429,0.051,0.339,0.719,0.000,0.065,0.022,0.397,0.015,0.507,0.000,0.476,0.311,0.127,0.024,0.098
model.000.03.pdb,0.020,0.145,0.128,0.000,0.059,0.247,0.045,0.101,0.037,0.283,0.343,0.111,0.141,0.369,0.080,0.311,0.132,0.055,0.246,0.000,0.589,0.000,0.015,0.109,0.203,0.096,0.099,0.130,0.107,0.128
model.000.04.pdb,0.129,0.065,0.277,0.203,0.062,0.483,0.488,0.439,0.128,0.043,0.269,0.190,0.000,0.217,0.051,0.103,0.000,0.034,0.315,0.389,0.012,0.157,0.196,0.043,0.444,0.012,0.090,0.237,0.500,0.456
model.000.05.pdb,0.143,0.000,0.339,0.190,0.093,0.368,0.244,0.721,0.140,0.000,0.185,0.241,0.000,0.134,0.022,0.047,0.000,0.064,0.260,0.288,0.000,0.281,0.000,0.023,0.296,0.013,0.140,0.275,0.429,0.531
model.000.06.pdb,0.010,0.115,0.128,0.000,0.039,0.264,0.062,0.115,0.028,0.242,0.364,0.111,0.127,0.391,0.049,0.333,0.055,0.021,0.267,0.013,0.618,0.000,0.015,0.074,0.239,0.058,0.099,0.147,0.137,0.143
model.000.07.pdb,0.081,0.375,0.000,0.063,0.147,0.000,0.000,0.000,0.084,0.647,0.045,0.000,0.115,0.046,0.176,0.372,0.366,0.087,0.000,0.000,0.283,0.000,0.125,0.141,0.000,0.250,0.000,0.000,0.000,0.000
model.000.08.pdb,0.034,0.238,0.000,0.013,0.077,0.108,0.017,0.000,0.041,0.447,0.141,0.000,0.143,0.212,0.076,0.392,0.153,0.036,0.081,0.000,0.739,0.000,0.056,0.107,0.104,0.123,0.000,0.000,0.000,0.000
model.000.09.pdb,0.065,0.153,0.030,0.150,0.035,0.220,0.613,0.133,0.082,0.115,0.109,0.000,0.000,0.129,0.072,0.173,0.000,0.000,0.118,0.452,0.045,0.063,0.343,0.012,0.333,0.000,0.000,0.000,0.143,0.095
