 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb,model.000.25.pdb,model.000.26.pdb,model.000.27.pdb,model.000.28.pdb,model.000.29.pdb
model.000.00.pdb,0.079,0.262,0.012,0.037,0.121,0.211,0.164,0.065,0.082,0.469,0.232,0.000,0.151,0.355,0.132,0.562,0.161,0.096,0.145,0.071,0.474,0.000,0.109,0.128,0.258,0.117,0.000,0.014,0.099,0.051
model.000.01.pdb,0.325,0.314,0.033,0.163,0.534,0.011,0.000,0.011,0.381,0.281,0.022,0.012,0.424,0.056,0.592,0.149,0.577,0.443,0.013,0.012,0.160,0.110,0.092,0.574,0.011,0.600,0.037,0.012,0.035,0.011
model.000.02.pdb,0.011,0.027,0.246,0.041,0.011,0.646,0.326,0.389,0.021,0.102,0.472,0.172,0.000,0.510,0.000,0.214,0.000,0.000,0.524,0.133,0.132,0.028,0.019,0.023,0.775,0.000,0.119,0.245,0.511,0.407
model.000.03.pdb,0.036,0.000,0.254,0.028,0.045,0.400,0.146,0.304,0.043,0.033,0.617,0.179,0.056,0.596,0.033,0.138,0.000,0.038,0.676,0.048,0.172,0.029,0.000,0.060,0.380,0.027,0.123,0.255,0.353,0.321
model.000.04.pdb,0.171,0.172,0.041,0.288,0.067,0.234,0.583,0.250,0.179,0.066,0.130,0.015,0.000,0.132,0.091,0.153,0.000,0.000,0.143,0.619,0.013,0.156,0.286,0.000,0.291,0.000,0.000,0.000,0.246,0.169
model.000.05.pdb,0.058,0.000,0.660,0.054,0.054,0.266,0.000,0.400,0.098,0.000,0.231,0.892,0.053,0.179,0.032,0.000,0.000,0.147,0.222,0.045,0.013,0.206,0.000,0.095,0.141,0.038,0.659,0.619,0.327,0.472
model.000.06.pdb,0.092,0.013,0.414,0.123,0.052,0.667,0.340,0.558,0.082,0.029,0.424,0.254,0.000,0.339,0.030,0.088,0.000,0.034,0.489,0.233,0.037,0.127,0.053,0.043,0.604,0.012,0.143,0.385,0.711,0.640
model.000.07.pdb,0.044,0.290,0.025,0.038,0.064,0.235,0.216,0.096,0.040,0.522,0.186,0.014,0.025,0.323,0.086,0.622,0.167,0.035,0.150,0.090,0.390,0.000,0.180,0.056,0.333,0.091,0.014,0.029,0.134,0.080
model.000.08.pdb,0.047,0.250,0.027,0.041,0.056,0.295,0.295,0.103,0.042,0.383,0.200,0.015,0.027,0.375,0.079,0.619,0.083,0.037,0.185,0.115,0.283,0.000,0.256,0.034,0.392,0.053,0.015,0.031,0.145,0.086
model.000.09.pdb,0.292,0.026,0.231,0.194,0.338,0.025,0.000,0.129,0.338,0.000,0.038,0.286,0.227,0.025,0.250,0.000,0.113,0.467,0.000,0.091,0.000,0.500,0.000,0.324,0.000,0.339,0.400,0.186,0.042,0.143
model.000.10.pdb,0.118,0.025,0.281,0.171,0.063,0.466,0.465,0.558,0.129,0.029,0.273,0.213,0.000,0.258,0.030,0.088,0.000,0.023,0.346,0.370,0.025,0.159,0.132,0.043,0.481,0.024,0.125,0.241,0.510,0.464
model.000.11.pdb,0.068,0.026,0.286,0.110,0.042,0.714,0.348,0.509,0.061,0.094,0.383,0.159,0.000,0.439,0.020,0.177,0.000,0.023,0.468,0.217,0.123,0.097,0.035,0.022,0.727,0.012,0.076,0.246,0.462,0.446
model.000.12.pdb,0.101,0.237,0.014,0.156,0.045,0.203,0.528,0.141,0.102,0.145,0.101,0.000,0.000,0.172,0.106,0.222,0.033,0.000,0.107,0.375,0.071,0.059,0.529,0.000,0.278,0.000,0.000,0.000,0.131,0.088
model.000.13.pdb,0.324,0.039,0.246,0.266,0.370,0.063,0.000,0.194,0.387,0.000,0.012,0.259,0.224,0.012,0.263,0.000,0.111,0.459,0.030,0.123,0.000,0.612,0.000,0.284,0.013,0.333,0.365,0.203,0.101,0.174
model.000.14.pdb,0.076,0.164,0.043,0.143,0.022,0.293,0.606,0.164,0.092,0.151,0.138,0.000,0.000,0.177,0.070,0.208,0.000,0.000,0.132,0.422,0.074,0.077,0.351,0.012,0.396,0.000,0.000,0.000,0.175,0.125
model.000.15.pdb,0.124,0.458,0.012,0.087,0.128,0.184,0.259,0.062,0.100,0.520,0.141,0.000,0.073,0.239,0.163,0.681,0.169,0.080,0.087,0.129,0.333,0.012,0.275,0.086,0.262,0.139,0.000,0.013,0.093,0.048
model.000.16.pdb,0.157,0.155,0.046,0.283,0.048,0.127,0.400,0.136,0.167,0.056,0.045,0.000,0.000,0.062,0.100,0.091,0.018,0.013,0.037,0.579,0.000,0.179,0.353,0.012,0.189,0.014,0.000,0.000,0.105,0.062
model.000.17.pdb,0.493,0.117,0.101,0.318,0.514,0.034,0.000,0.103,0.528,0.070,0.011,0.097,0.419,0.035,0.427,0.053,0.357,0.557,0.014,0.129,0.035,0.349,0.016,0.464,0.012,0.475,0.167,0.055,0.051,0.061
model.000.18.pdb,0.136,0.000,0.339,0.197,0.077,0.464,0.304,0.733,0.146,0.000,0.227,0.246,0.000,0.194,0.010,0.044,0.000,0.024,0.314,0.340,0.013,0.222,0.056,0.022,0.396,0.012,0.150,0.278,0.510,0.519
model.000.19.pdb,0.010,0.132,0.087,0.000,0.060,0.200,0.062,0.062,0.028,0.246,0.348,0.068,0.158,0.333,0.070,0.295,0.101,0.044,0.230,0.000,0.660,0.000,0.000,0.110,0.171,0.084,0.069,0.069,0.108,0.101
model.000.20.pdb,0.676,0.190,0.148,0.485,0.600,0.051,0.025,0.136,0.746,0.059,0.040,0.107,0.291,0.041,0.532,0.045,0.233,0.514,0.023,0.257,0.010,0.523,0.039,0.402,0.021,0.405,0.167,0.110,0.091,0.135
model.000.21.pdb,0.034,0.000,0.681,0.039,0.065,0.281,0.000,0.300,0.074,0.000,0.306,0.775,0.067,0.231,0.053,0.000,0.000,0.176,0.264,0.000,0.026,0.167,0.000,0.094,0.156,0.051,0.605,0.683,0.298,0.463
model.000.22.pdb,0.171,0.193,0.045,0.278,0.048,0.125,0.389,0.133,0.165,0.036,0.044,0.000,0.000,0.045,0.099,0.052,0.000,0.000,0.036,0.525,0.000,0.155,0.424,0.000,0.185,0.000,0.000,0.000,0.103,0.078
model.000.23.pdb,0.122,0.000,0.492,0.158,0.081,0.596,0.255,0.812,0.133,0.000,0.364,0.379,0.000,0.271,0.019,0.053,0.000,0.043,0.407,0.270,0.011,0.229,0.031,0.041,0.482,0.011,0.238,0.472,0.627,0.692
model.000.24.pdb,0.115,0.490,0.000,0.072,0.163,0.041,0.019,0.000,0.115,0.615,0.027,0.000,0.103,0.056,0.205,0.375,0.312,0.079,0.000,0.000,0.316,0.000,0.182,0.158,0.045,0.222,0.000,0.000,0.000,0.000
model.000.25.pdb,0.122,0.302,0.000,0.094,0.085,0.141,0.342,0.062,0.081,0.229,0.075,0.000,0.014,0.164,0.154,0.378,0.093,0.040,0.074,0.170,0.092,0.000,0.500,0.024,0.226,0.043,0.000,0.000,0.102,0.045
model.000.26.pdb,0.247,0.132,0.147,0.130,0.366,0.013,0.000,0.069,0.312,0.098,0.039,0.186,0.386,0.000,0.289,0.045,0.288,0.509,0.000,0.029,0.013,0.267,0.000,0.353,0.000,0.397,0.308,0.133,0.014,0.099
