 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb,model.000.25.pdb,model.000.26.pdb,model.000.27.pdb,model.000.28.pdb,model.000.29.pdb
model.000.00.pdb,0.078,0.048,0.373,0.551,0.042,0.230,0.500,0.158,0.351,0.540,0.088,0.396,0.103,0.418,0.200,0.000,0.032,0.174,0.143,0.270,0.152,0.039,0.600,0.000,0.085,0.235,0.049,0.673,0.011,0.021
model.000.01.pdb,0.068,0.169,0.033,0.289,0.038,0.000,0.065,0.207,0.035,0.073,0.191,0.400,0.141,0.091,0.600,0.000,0.040,0.016,0.000,0.016,0.208,0.109,0.442,0.000,0.073,0.015,0.023,0.280,0.014,0.013
model.000.02.pdb,0.174,0.000,0.491,0.333,0.120,0.317,0.571,0.227,0.328,0.653,0.013,0.183,0.168,0.673,0.029,0.011,0.031,0.164,0.267,0.254,0.067,0.000,0.424,0.000,0.066,0.205,0.098,0.509,0.090,0.073
model.000.03.pdb,0.406,0.048,0.209,0.013,0.375,0.190,0.091,0.239,0.027,0.085,0.028,0.000,0.390,0.182,0.031,0.308,0.247,0.013,0.358,0.013,0.027,0.026,0.081,0.030,0.013,0.050,0.350,0.065,0.550,0.456
model.000.04.pdb,0.136,0.000,0.448,0.411,0.097,0.322,0.642,0.167,0.404,0.702,0.027,0.228,0.122,0.528,0.078,0.000,0.053,0.200,0.172,0.339,0.097,0.012,0.456,0.000,0.053,0.279,0.078,0.574,0.043,0.041
model.000.05.pdb,0.562,0.125,0.120,0.053,0.545,0.054,0.101,0.379,0.026,0.096,0.100,0.000,0.571,0.174,0.045,0.239,0.338,0.000,0.172,0.012,0.082,0.079,0.153,0.091,0.067,0.048,0.405,0.090,0.548,0.500
model.000.06.pdb,0.022,0.122,0.149,0.220,0.033,0.183,0.290,0.000,0.460,0.159,0.094,0.189,0.010,0.072,0.016,0.013,0.057,0.750,0.133,0.652,0.161,0.154,0.056,0.275,0.352,0.633,0.040,0.182,0.011,0.022
model.000.07.pdb,0.522,0.105,0.156,0.037,0.486,0.107,0.095,0.315,0.049,0.090,0.065,0.000,0.575,0.132,0.042,0.348,0.405,0.011,0.194,0.035,0.050,0.061,0.114,0.085,0.049,0.095,0.487,0.059,0.603,0.529
model.000.08.pdb,0.058,0.013,0.364,0.522,0.022,0.232,0.500,0.139,0.420,0.578,0.046,0.326,0.074,0.412,0.132,0.000,0.034,0.210,0.100,0.321,0.111,0.014,0.480,0.000,0.060,0.279,0.052,0.617,0.012,0.011
model.000.09.pdb,0.092,0.197,0.047,0.319,0.049,0.000,0.077,0.254,0.050,0.086,0.200,0.395,0.177,0.123,0.625,0.000,0.038,0.031,0.000,0.031,0.216,0.121,0.500,0.000,0.086,0.029,0.022,0.308,0.026,0.024
model.000.10.pdb,0.036,0.000,0.522,0.000,0.023,0.684,0.304,0.027,0.200,0.294,0.000,0.000,0.043,0.314,0.000,0.121,0.037,0.186,0.605,0.190,0.000,0.000,0.015,0.000,0.000,0.177,0.102,0.092,0.155,0.086
model.000.11.pdb,0.021,0.132,0.096,0.190,0.032,0.121,0.239,0.000,0.382,0.134,0.074,0.158,0.010,0.055,0.000,0.063,0.092,0.739,0.076,0.519,0.136,0.164,0.039,0.283,0.382,0.509,0.081,0.157,0.034,0.054
model.000.12.pdb,0.100,0.000,0.456,0.418,0.086,0.351,0.686,0.154,0.436,0.756,0.027,0.232,0.101,0.538,0.062,0.000,0.043,0.203,0.175,0.344,0.099,0.013,0.414,0.000,0.068,0.284,0.078,0.647,0.044,0.020
model.000.13.pdb,0.500,0.284,0.035,0.037,0.529,0.000,0.034,0.477,0.000,0.024,0.171,0.027,0.643,0.075,0.213,0.257,0.444,0.011,0.067,0.000,0.135,0.145,0.143,0.116,0.076,0.022,0.365,0.059,0.464,0.427
model.000.14.pdb,0.083,0.388,0.000,0.000,0.159,0.000,0.000,0.078,0.000,0.000,0.341,0.000,0.086,0.000,0.044,0.138,0.203,0.051,0.000,0.017,0.267,0.500,0.000,0.515,0.289,0.000,0.141,0.000,0.088,0.127
model.000.15.pdb,0.080,0.000,0.444,0.377,0.055,0.333,0.620,0.133,0.451,0.682,0.014,0.208,0.095,0.531,0.050,0.000,0.033,0.238,0.190,0.351,0.074,0.000,0.426,0.000,0.057,0.306,0.061,0.580,0.023,0.021
model.000.16.pdb,0.022,0.141,0.071,0.250,0.033,0.095,0.219,0.000,0.365,0.109,0.097,0.220,0.010,0.029,0.017,0.039,0.059,0.705,0.048,0.542,0.186,0.177,0.072,0.312,0.392,0.529,0.052,0.169,0.024,0.045
model.000.17.pdb,0.077,0.000,0.659,0.167,0.036,0.476,0.578,0.103,0.280,0.641,0.000,0.038,0.068,0.548,0.019,0.000,0.025,0.153,0.311,0.241,0.000,0.000,0.196,0.000,0.016,0.203,0.022,0.380,0.013,0.000
model.000.18.pdb,0.084,0.404,0.000,0.278,0.070,0.000,0.041,0.066,0.077,0.000,0.457,0.395,0.031,0.000,0.255,0.013,0.072,0.213,0.000,0.159,0.605,0.469,0.177,0.319,0.556,0.167,0.020,0.172,0.024,0.000
model.000.19.pdb,0.083,0.259,0.000,0.267,0.067,0.000,0.032,0.062,0.074,0.018,0.447,0.412,0.035,0.000,0.237,0.000,0.055,0.127,0.000,0.130,0.629,0.333,0.173,0.111,0.381,0.140,0.011,0.189,0.028,0.000
model.000.20.pdb,0.011,0.080,0.136,0.250,0.033,0.169,0.279,0.000,0.511,0.145,0.062,0.220,0.020,0.059,0.017,0.026,0.047,0.705,0.119,0.721,0.129,0.106,0.072,0.212,0.291,0.733,0.041,0.206,0.024,0.033
