 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb,model.000.25.pdb,model.000.26.pdb,model.000.27.pdb,model.000.28.pdb,model.000.29.pdb
model.000.00.pdb,0.012,0.000,0.553,0.078,0.118,0.587,0.063,0.232,0.033,0.321,0.358,0.090,0.000,0.222,0.000,0.081,0.488,0.206,0.000,0.263,0.000,0.015,0.017,0.000,0.022,0.164,0.091,0.000,0.213,0.013
model.000.01.pdb,0.038,0.097,0.183,0.125,0.396,0.092,0.038,0.218,0.022,0.236,0.228,0.025,0.538,0.389,0.595,0.011,0.016,0.321,0.072,0.167,0.346,0.718,0.000,0.048,0.125,0.012,0.556,0.404,0.143,0.027
model.000.02.pdb,0.485,0.145,0.154,0.429,0.022,0.169,0.656,0.012,0.461,0.048,0.072,0.645,0.000,0.106,0.000,0.549,0.286,0.033,0.148,0.023,0.072,0.036,0.130,0.133,0.416,0.700,0.035,0.090,0.022,0.371
model.000.03.pdb,0.032,0.108,0.104,0.000,0.257,0.133,0.032,0.306,0.071,0.139,0.120,0.054,0.138,0.047,0.074,0.094,0.086,0.205,0.128,0.424,0.000,0.066,0.327,0.290,0.010,0.043,0.120,0.000,0.483,0.034
model.000.04.pdb,0.054,0.103,0.081,0.167,0.207,0.000,0.013,0.033,0.060,0.049,0.082,0.013,0.366,0.224,0.447,0.012,0.018,0.129,0.148,0.048,0.692,0.500,0.000,0.033,0.229,0.026,0.347,0.676,0.046,0.123
model.000.05.pdb,0.043,0.064,0.103,0.011,0.236,0.147,0.032,0.281,0.059,0.137,0.104,0.101,0.119,0.059,0.072,0.071,0.100,0.187,0.085,0.466,0.000,0.079,0.194,0.191,0.010,0.077,0.133,0.000,0.426,0.034
model.000.06.pdb,0.411,0.141,0.034,0.360,0.033,0.034,0.537,0.023,0.527,0.011,0.011,0.600,0.000,0.021,0.013,0.672,0.078,0.011,0.188,0.000,0.058,0.000,0.194,0.176,0.388,0.507,0.000,0.061,0.033,0.463
model.000.07.pdb,0.067,0.012,0.518,0.131,0.517,0.441,0.079,0.473,0.010,0.708,0.680,0.032,0.213,0.745,0.217,0.019,0.226,0.692,0.000,0.355,0.151,0.397,0.000,0.013,0.106,0.054,0.556,0.194,0.303,0.000
model.000.08.pdb,0.027,0.000,0.650,0.101,0.232,0.467,0.069,0.216,0.000,0.500,0.625,0.000,0.038,0.458,0.038,0.024,0.357,0.380,0.000,0.161,0.083,0.192,0.000,0.000,0.062,0.040,0.300,0.109,0.155,0.000
model.000.09.pdb,0.508,0.103,0.147,0.517,0.025,0.147,0.534,0.028,0.356,0.056,0.085,0.452,0.000,0.108,0.015,0.463,0.278,0.038,0.141,0.013,0.100,0.028,0.082,0.090,0.426,0.636,0.027,0.123,0.013,0.273
