 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb,model.000.25.pdb,model.000.26.pdb,model.000.27.pdb,model.000.28.pdb,model.000.29.pdb
model.000.00.pdb,0.098,0.408,0.012,0.066,0.051,0.049,0.060,0.048,0.051,0.338,0.060,0.035,0.052,0.354,0.026,0.106,0.056,0.516,0.075,0.033,0.636,0.062,0.056,0.067,0.125,0.100,0.308,0.047,0.092,0.047
model.000.01.pdb,0.288,0.284,0.095,0.000,0.169,0.000,0.042,0.370,0.327,0.014,0.056,0.072,0.340,0.014,0.226,0.538,0.130,0.096,0.014,0.096,0.119,0.000,0.170,0.013,0.457,0.537,0.127,0.134,0.000,0.071
model.000.02.pdb,0.000,0.011,0.220,0.207,0.075,0.850,0.345,0.013,0.014,0.246,0.300,0.242,0.014,0.222,0.030,0.000,0.049,0.078,0.339,0.064,0.128,0.705,0.048,0.474,0.000,0.000,0.156,0.295,0.412,0.279
model.000.03.pdb,0.047,0.269,0.012,0.039,0.139,0.151,0.114,0.036,0.038,0.433,0.143,0.087,0.053,0.475,0.054,0.069,0.121,0.476,0.181,0.000,0.621,0.118,0.103,0.146,0.053,0.041,0.333,0.113,0.155,0.128
model.000.04.pdb,0.206,0.034,0.596,0.460,0.293,0.185,0.558,0.231,0.293,0.013,0.500,0.778,0.217,0.039,0.291,0.178,0.175,0.024,0.472,0.194,0.053,0.182,0.172,0.526,0.043,0.131,0.000,0.414,0.364,0.397
model.000.05.pdb,0.013,0.011,0.220,0.228,0.000,0.762,0.322,0.027,0.029,0.267,0.200,0.203,0.000,0.242,0.000,0.012,0.000,0.078,0.230,0.092,0.115,0.875,0.000,0.400,0.000,0.000,0.194,0.197,0.286,0.238
model.000.06.pdb,0.111,0.471,0.000,0.038,0.012,0.090,0.060,0.048,0.037,0.403,0.047,0.035,0.000,0.443,0.000,0.093,0.014,0.567,0.062,0.044,0.543,0.117,0.000,0.080,0.141,0.027,0.491,0.023,0.078,0.047
model.000.07.pdb,0.172,0.024,0.478,0.650,0.115,0.228,0.480,0.159,0.193,0.029,0.298,0.431,0.082,0.058,0.123,0.097,0.017,0.026,0.268,0.254,0.045,0.291,0.017,0.404,0.000,0.069,0.000,0.293,0.283,0.321
model.000.08.pdb,0.149,0.618,0.000,0.046,0.081,0.022,0.021,0.101,0.094,0.228,0.031,0.010,0.110,0.225,0.060,0.182,0.090,0.425,0.011,0.083,0.475,0.032,0.089,0.019,0.213,0.145,0.267,0.031,0.011,0.021
model.000.09.pdb,0.056,0.012,0.438,0.396,0.113,0.420,0.562,0.088,0.095,0.106,0.364,0.423,0.063,0.121,0.102,0.039,0.034,0.013,0.412,0.111,0.080,0.469,0.051,0.620,0.000,0.033,0.060,0.310,0.500,0.389
model.000.10.pdb,0.013,0.011,0.315,0.278,0.076,0.622,0.510,0.027,0.029,0.136,0.375,0.333,0.030,0.169,0.047,0.012,0.033,0.051,0.423,0.079,0.116,0.542,0.049,0.627,0.000,0.000,0.074,0.322,0.511,0.375
model.000.11.pdb,0.110,0.530,0.012,0.051,0.012,0.075,0.023,0.023,0.012,0.375,0.034,0.023,0.000,0.369,0.000,0.080,0.013,0.583,0.048,0.056,0.473,0.087,0.000,0.032,0.139,0.013,0.458,0.011,0.037,0.011
model.000.12.pdb,0.259,0.013,0.419,0.157,0.488,0.000,0.314,0.320,0.419,0.000,0.426,0.435,0.553,0.000,0.676,0.333,0.359,0.000,0.280,0.108,0.012,0.000,0.350,0.237,0.054,0.341,0.000,0.478,0.173,0.457
model.000.13.pdb,0.064,0.011,0.357,0.213,0.246,0.418,0.577,0.080,0.086,0.159,0.519,0.421,0.138,0.209,0.161,0.061,0.133,0.101,0.646,0.036,0.161,0.317,0.131,0.760,0.000,0.061,0.083,0.456,0.727,0.464
model.000.14.pdb,0.155,0.000,0.304,0.137,0.622,0.000,0.320,0.204,0.277,0.000,0.435,0.327,0.526,0.000,0.600,0.246,0.405,0.000,0.286,0.060,0.062,0.000,0.395,0.241,0.018,0.317,0.000,0.558,0.176,0.500
model.000.15.pdb,0.125,0.580,0.000,0.034,0.022,0.068,0.032,0.066,0.045,0.315,0.021,0.010,0.011,0.329,0.000,0.096,0.012,0.493,0.022,0.084,0.463,0.092,0.000,0.040,0.154,0.036,0.343,0.021,0.022,0.021
