 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb,model.000.25.pdb,model.000.26.pdb,model.000.27.pdb,model.000.28.pdb,model.000.29.pdb
model.000.00.pdb,0.061,0.186,0.130,0.033,0.110,0.677,0.587,0.023,0.024,0.062,0.646,0.318,0.064,0.053,0.233,0.130,0.324,0.122,0.200,0.613,0.176,0.362,0.011,0.093,0.059,0.090,0.311,0.021,0.078,0.095
model.000.01.pdb,0.288,0.000,0.226,0.217,0.061,0.043,0.102,0.339,0.298,0.156,0.079,0.000,0.187,0.327,0.317,0.000,0.000,0.052,0.197,0.035,0.030,0.203,0.209,0.076,0.837,0.276,0.024,0.133,0.043,0.014
model.000.02.pdb,0.176,0.000,0.159,0.173,0.028,0.052,0.131,0.221,0.219,0.083,0.136,0.000,0.120,0.521,0.258,0.000,0.000,0.012,0.169,0.011,0.014,0.299,0.149,0.042,0.660,0.200,0.034,0.127,0.013,0.000
model.000.03.pdb,0.105,0.255,0.000,0.268,0.036,0.104,0.118,0.082,0.052,0.130,0.092,0.340,0.267,0.000,0.000,0.340,0.194,0.478,0.000,0.188,0.000,0.000,0.133,0.036,0.000,0.000,0.106,0.241,0.255,0.267
model.000.04.pdb,0.046,0.115,0.034,0.042,0.000,0.592,0.708,0.022,0.023,0.047,0.542,0.213,0.072,0.167,0.146,0.247,0.378,0.129,0.056,0.444,0.037,0.463,0.011,0.024,0.080,0.023,0.384,0.042,0.048,0.062
model.000.05.pdb,0.472,0.057,0.258,0.410,0.143,0.042,0.038,0.588,0.520,0.267,0.065,0.000,0.338,0.164,0.286,0.000,0.000,0.153,0.227,0.034,0.044,0.104,0.407,0.159,0.558,0.333,0.048,0.261,0.156,0.091
model.000.06.pdb,0.129,0.103,0.234,0.000,0.197,0.403,0.370,0.025,0.000,0.055,0.478,0.215,0.011,0.075,0.367,0.013,0.111,0.037,0.367,0.296,0.286,0.365,0.012,0.138,0.093,0.203,0.171,0.000,0.042,0.058
model.000.07.pdb,0.032,0.253,0.065,0.071,0.070,0.622,0.585,0.020,0.032,0.091,0.457,0.361,0.133,0.058,0.052,0.307,0.703,0.212,0.041,0.586,0.123,0.221,0.030,0.094,0.031,0.021,0.440,0.092,0.133,0.136
model.000.08.pdb,0.026,0.480,0.147,0.103,0.161,0.316,0.358,0.013,0.000,0.152,0.210,0.696,0.110,0.000,0.038,0.238,0.391,0.407,0.095,0.468,0.291,0.037,0.064,0.197,0.000,0.070,0.128,0.087,0.233,0.286
model.000.09.pdb,0.756,0.153,0.600,0.270,0.404,0.044,0.061,0.471,0.250,0.591,0.070,0.059,0.214,0.000,0.389,0.000,0.000,0.242,0.500,0.049,0.226,0.026,0.400,0.426,0.293,0.667,0.012,0.141,0.333,0.269
