 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb,model.000.25.pdb,model.000.26.pdb,model.000.27.pdb,model.000.28.pdb,model.000.29.pdb
model.000.00.pdb,0.342,0.349,0.075,0.279,0.241,0.027,0.478,0.229,0.024,0.614,0.365,0.011,0.013,0.266,0.037,0.074,0.120,0.153,0.227,0.047,0.645,0.409,0.143,0.046,0.114,0.054,0.012,0.590,0.086,0.468
model.000.01.pdb,0.083,0.088,0.648,0.196,0.024,0.031,0.096,0.172,0.056,0.025,0.087,0.120,0.367,0.000,0.286,0.000,0.608,0.381,0.077,0.013,0.071,0.171,0.305,0.127,0.540,0.192,0.246,0.036,0.000,0.000
model.000.02.pdb,0.118,0.099,0.722,0.203,0.011,0.014,0.159,0.162,0.013,0.049,0.113,0.073,0.543,0.000,0.206,0.039,0.458,0.282,0.156,0.000,0.118,0.178,0.246,0.077,0.473,0.152,0.379,0.071,0.000,0.000
model.000.03.pdb,0.164,0.000,0.000,0.000,0.213,0.082,0.068,0.000,0.432,0.115,0.000,0.315,0.000,0.357,0.073,0.167,0.000,0.000,0.000,0.413,0.068,0.000,0.000,0.241,0.000,0.276,0.000,0.074,0.733,0.155
model.000.04.pdb,0.631,0.141,0.118,0.242,0.397,0.013,0.656,0.125,0.058,0.315,0.216,0.031,0.108,0.308,0.012,0.167,0.128,0.052,0.371,0.045,0.493,0.540,0.045,0.056,0.082,0.062,0.096,0.403,0.127,0.267
model.000.05.pdb,0.045,0.086,0.468,0.078,0.023,0.115,0.057,0.167,0.164,0.012,0.041,0.265,0.211,0.000,0.396,0.026,0.448,0.391,0.000,0.111,0.045,0.091,0.317,0.323,0.411,0.391,0.238,0.035,0.000,0.000
model.000.06.pdb,0.160,0.571,0.150,0.489,0.059,0.078,0.324,0.444,0.000,0.448,0.696,0.000,0.029,0.106,0.087,0.013,0.181,0.250,0.217,0.013,0.621,0.393,0.270,0.012,0.212,0.011,0.026,0.561,0.030,0.317
model.000.07.pdb,0.527,0.116,0.028,0.072,0.473,0.060,0.412,0.032,0.114,0.355,0.128,0.128,0.035,0.353,0.011,0.256,0.040,0.038,0.227,0.111,0.378,0.253,0.021,0.062,0.010,0.101,0.065,0.333,0.176,0.437
model.000.08.pdb,0.208,0.134,0.000,0.030,0.236,0.172,0.163,0.085,0.238,0.482,0.149,0.117,0.000,0.358,0.057,0.099,0.012,0.072,0.059,0.311,0.208,0.037,0.068,0.079,0.000,0.113,0.000,0.257,0.396,0.577
model.000.09.pdb,0.036,0.207,0.269,0.105,0.012,0.378,0.036,0.392,0.220,0.069,0.145,0.176,0.068,0.000,0.700,0.000,0.345,0.537,0.015,0.233,0.074,0.040,0.622,0.226,0.377,0.239,0.014,0.065,0.034,0.056
model.000.10.pdb,0.065,0.066,0.333,0.014,0.068,0.159,0.065,0.139,0.297,0.011,0.012,0.400,0.175,0.000,0.411,0.051,0.309,0.362,0.000,0.197,0.021,0.085,0.254,0.554,0.312,0.593,0.239,0.000,0.059,0.012
model.000.11.pdb,0.033,0.100,0.614,0.148,0.011,0.095,0.068,0.219,0.113,0.024,0.083,0.208,0.250,0.000,0.364,0.026,0.574,0.475,0.000,0.080,0.056,0.090,0.404,0.258,0.538,0.324,0.254,0.035,0.000,0.000
model.000.12.pdb,0.115,0.094,0.012,0.000,0.137,0.319,0.074,0.076,0.286,0.328,0.092,0.127,0.000,0.320,0.153,0.091,0.013,0.107,0.000,0.451,0.130,0.000,0.090,0.101,0.014,0.137,0.000,0.155,0.386,0.382
model.000.13.pdb,0.481,0.347,0.098,0.286,0.310,0.035,0.562,0.241,0.031,0.507,0.400,0.029,0.047,0.257,0.044,0.138,0.141,0.170,0.292,0.031,0.727,0.419,0.149,0.040,0.124,0.058,0.053,0.603,0.086,0.431
model.000.14.pdb,0.000,0.216,0.149,0.038,0.000,0.688,0.000,0.340,0.280,0.095,0.125,0.161,0.019,0.018,0.538,0.000,0.186,0.415,0.000,0.320,0.039,0.000,0.444,0.172,0.204,0.190,0.000,0.057,0.060,0.097
model.000.15.pdb,0.000,0.224,0.154,0.039,0.000,0.576,0.000,0.326,0.240,0.063,0.130,0.148,0.019,0.000,0.568,0.000,0.172,0.431,0.000,0.280,0.041,0.000,0.432,0.200,0.189,0.177,0.000,0.059,0.020,0.065
model.000.16.pdb,0.191,0.049,0.411,0.213,0.000,0.000,0.227,0.048,0.000,0.044,0.121,0.042,0.500,0.000,0.033,0.065,0.180,0.069,0.364,0.000,0.157,0.241,0.031,0.061,0.218,0.085,0.467,0.101,0.000,0.000
model.000.17.pdb,0.068,0.222,0.643,0.346,0.000,0.095,0.146,0.345,0.053,0.091,0.200,0.061,0.296,0.000,0.316,0.000,0.667,0.406,0.090,0.038,0.133,0.214,0.455,0.078,0.702,0.139,0.179,0.127,0.000,0.012
model.000.18.pdb,0.023,0.014,0.208,0.000,0.062,0.085,0.023,0.058,0.396,0.000,0.000,0.577,0.121,0.015,0.228,0.138,0.159,0.181,0.015,0.246,0.000,0.026,0.119,0.660,0.136,0.635,0.298,0.000,0.125,0.000
model.000.19.pdb,0.021,0.302,0.516,0.293,0.000,0.233,0.088,0.509,0.077,0.127,0.258,0.095,0.230,0.000,0.455,0.000,0.607,0.696,0.013,0.089,0.165,0.125,0.635,0.114,0.700,0.173,0.120,0.146,0.000,0.060
model.000.20.pdb,0.729,0.104,0.111,0.130,0.400,0.013,0.594,0.062,0.048,0.260,0.132,0.067,0.114,0.306,0.025,0.225,0.057,0.043,0.421,0.023,0.417,0.409,0.023,0.058,0.023,0.077,0.145,0.347,0.086,0.282
model.000.21.pdb,0.627,0.108,0.070,0.118,0.615,0.012,0.493,0.069,0.056,0.193,0.107,0.121,0.104,0.313,0.023,0.306,0.087,0.050,0.294,0.043,0.346,0.316,0.033,0.077,0.044,0.094,0.119,0.284,0.153,0.225
model.000.22.pdb,0.507,0.024,0.053,0.041,0.516,0.000,0.347,0.000,0.049,0.096,0.049,0.106,0.085,0.231,0.000,0.536,0.000,0.000,0.270,0.023,0.232,0.211,0.000,0.084,0.000,0.078,0.147,0.200,0.119,0.125
