 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb,model.000.25.pdb,model.000.26.pdb,model.000.27.pdb,model.000.28.pdb,model.000.29.pdb
model.000.00.pdb,0.404,0.500,0.207,0.000,0.232,0.000,0.127,0.000,0.333,0.486,0.000,0.102,0.259,0.028,0.022,0.235,0.154,0.039,0.341,0.382,0.154,0.180,0.137,0.029,0.101,0.350,0.260,0.200,0.255,0.000
model.000.01.pdb,0.037,0.136,0.000,0.037,0.000,0.114,0.157,0.081,0.000,0.145,0.000,0.167,0.000,0.257,0.404,0.000,0.179,0.000,0.444,0.294,0.113,0.000,0.085,0.290,0.105,0.090,0.000,0.081,0.418,0.044
model.000.02.pdb,0.242,0.000,0.350,0.262,0.311,0.127,0.159,0.164,0.224,0.000,0.650,0.101,0.317,0.037,0.000,0.321,0.076,0.488,0.000,0.000,0.145,0.431,0.169,0.000,0.145,0.048,0.321,0.157,0.000,0.235
model.000.03.pdb,0.044,0.086,0.101,0.382,0.078,0.565,0.011,0.500,0.011,0.096,0.012,0.022,0.055,0.645,0.119,0.034,0.011,0.025,0.061,0.071,0.023,0.075,0.024,0.581,0.040,0.155,0.046,0.000,0.024,0.290
model.000.04.pdb,0.138,0.157,0.226,0.394,0.172,0.569,0.000,0.507,0.120,0.164,0.048,0.000,0.148,0.507,0.081,0.129,0.000,0.103,0.057,0.053,0.011,0.180,0.011,0.392,0.038,0.279,0.129,0.000,0.011,0.328
model.000.05.pdb,0.032,0.000,0.124,0.500,0.076,0.571,0.034,0.576,0.011,0.000,0.104,0.056,0.065,0.425,0.149,0.022,0.047,0.037,0.035,0.013,0.034,0.097,0.035,0.429,0.071,0.050,0.045,0.000,0.060,0.414
model.000.06.pdb,0.274,0.000,0.383,0.197,0.390,0.065,0.190,0.115,0.281,0.000,0.619,0.130,0.421,0.012,0.000,0.382,0.106,0.571,0.000,0.000,0.177,0.466,0.203,0.000,0.187,0.015,0.357,0.196,0.000,0.140
model.000.07.pdb,0.380,0.214,0.259,0.015,0.309,0.014,0.250,0.013,0.370,0.222,0.000,0.214,0.315,0.000,0.020,0.294,0.260,0.077,0.378,0.389,0.260,0.250,0.220,0.000,0.197,0.188,0.347,0.342,0.378,0.000
model.000.08.pdb,0.034,0.000,0.080,0.492,0.044,0.541,0.024,0.623,0.024,0.013,0.081,0.047,0.022,0.456,0.143,0.035,0.024,0.013,0.012,0.000,0.049,0.066,0.051,0.439,0.086,0.053,0.035,0.000,0.037,0.305
model.000.09.pdb,0.346,0.625,0.194,0.029,0.217,0.074,0.015,0.054,0.280,0.647,0.000,0.000,0.200,0.164,0.000,0.218,0.032,0.075,0.212,0.186,0.032,0.169,0.016,0.138,0.000,0.706,0.218,0.040,0.105,0.000
model.000.10.pdb,0.014,0.000,0.027,0.014,0.014,0.087,0.259,0.081,0.015,0.018,0.000,0.340,0.028,0.127,0.432,0.015,0.294,0.000,0.327,0.152,0.222,0.013,0.185,0.134,0.224,0.000,0.015,0.149,0.477,0.018
model.000.11.pdb,0.556,0.100,0.796,0.151,0.642,0.145,0.176,0.108,0.560,0.148,0.281,0.137,0.654,0.070,0.000,0.723,0.147,0.578,0.041,0.066,0.182,0.731,0.188,0.000,0.146,0.200,0.653,0.245,0.055,0.167
model.000.12.pdb,0.446,0.068,0.441,0.025,0.527,0.024,0.426,0.047,0.531,0.081,0.228,0.356,0.537,0.000,0.000,0.560,0.364,0.360,0.088,0.088,0.442,0.500,0.460,0.012,0.379,0.062,0.472,0.432,0.104,0.000
model.000.13.pdb,0.646,0.419,0.456,0.068,0.464,0.108,0.136,0.087,0.553,0.477,0.030,0.114,0.500,0.087,0.000,0.490,0.123,0.245,0.200,0.200,0.159,0.417,0.145,0.037,0.127,0.457,0.520,0.196,0.161,0.048
model.000.14.pdb,0.270,0.016,0.235,0.013,0.297,0.025,0.689,0.060,0.321,0.031,0.190,0.519,0.302,0.011,0.000,0.351,0.542,0.241,0.177,0.151,0.762,0.284,0.714,0.012,0.579,0.015,0.262,0.590,0.197,0.000
model.000.15.pdb,0.027,0.075,0.013,0.027,0.000,0.083,0.203,0.064,0.000,0.070,0.000,0.213,0.013,0.107,0.556,0.000,0.232,0.000,0.447,0.302,0.150,0.000,0.098,0.145,0.133,0.033,0.000,0.096,0.545,0.034
model.000.16.pdb,0.111,0.000,0.233,0.373,0.141,0.177,0.100,0.200,0.067,0.000,0.553,0.045,0.143,0.068,0.000,0.155,0.049,0.267,0.000,0.000,0.085,0.267,0.107,0.028,0.081,0.036,0.155,0.083,0.000,0.366
model.000.17.pdb,0.446,0.145,0.349,0.025,0.500,0.050,0.426,0.023,0.531,0.175,0.129,0.356,0.456,0.000,0.000,0.500,0.389,0.259,0.233,0.216,0.442,0.403,0.431,0.000,0.358,0.150,0.472,0.575,0.233,0.000
model.000.18.pdb,0.082,0.000,0.169,0.234,0.123,0.065,0.210,0.101,0.090,0.000,0.659,0.200,0.141,0.036,0.000,0.152,0.159,0.222,0.000,0.000,0.197,0.214,0.246,0.064,0.219,0.000,0.134,0.109,0.000,0.140
model.000.19.pdb,0.081,0.192,0.024,0.026,0.025,0.092,0.086,0.060,0.042,0.222,0.000,0.068,0.038,0.205,0.386,0.013,0.088,0.000,0.404,0.419,0.072,0.012,0.059,0.254,0.059,0.133,0.027,0.088,0.327,0.031
model.000.20.pdb,0.270,0.550,0.167,0.096,0.186,0.153,0.013,0.128,0.194,0.610,0.000,0.000,0.155,0.333,0.034,0.149,0.014,0.081,0.197,0.173,0.014,0.147,0.014,0.235,0.000,0.700,0.167,0.016,0.090,0.100
model.000.21.pdb,0.714,0.347,0.467,0.037,0.500,0.074,0.143,0.070,0.592,0.400,0.074,0.122,0.536,0.070,0.000,0.558,0.130,0.291,0.242,0.250,0.164,0.452,0.152,0.048,0.146,0.358,0.558,0.200,0.167,0.029
model.000.22.pdb,0.094,0.130,0.160,0.400,0.113,0.612,0.010,0.592,0.065,0.152,0.044,0.010,0.092,0.662,0.103,0.085,0.010,0.070,0.043,0.049,0.021,0.121,0.021,0.535,0.055,0.240,0.085,0.000,0.021,0.300
model.000.23.pdb,0.000,0.000,0.000,0.092,0.000,0.175,0.047,0.197,0.000,0.000,0.017,0.077,0.000,0.274,0.576,0.000,0.048,0.000,0.085,0.040,0.000,0.000,0.000,0.339,0.066,0.000,0.000,0.000,0.185,0.096
model.000.24.pdb,0.000,0.000,0.000,0.000,0.000,0.041,0.207,0.025,0.000,0.000,0.000,0.304,0.000,0.051,0.375,0.000,0.259,0.000,0.241,0.058,0.153,0.000,0.119,0.054,0.292,0.000,0.000,0.077,0.367,0.017
model.000.25.pdb,0.322,0.538,0.224,0.147,0.227,0.209,0.014,0.178,0.220,0.561,0.000,0.000,0.194,0.303,0.000,0.190,0.014,0.102,0.164,0.135,0.014,0.183,0.014,0.188,0.000,0.784,0.210,0.017,0.092,0.143
model.000.26.pdb,0.423,0.037,0.560,0.121,0.571,0.132,0.111,0.123,0.388,0.053,0.312,0.090,0.551,0.051,0.000,0.449,0.062,0.743,0.000,0.000,0.097,0.569,0.119,0.000,0.105,0.127,0.511,0.143,0.000,0.176
model.000.27.pdb,0.538,0.069,0.647,0.096,0.660,0.078,0.169,0.073,0.574,0.082,0.302,0.162,0.783,0.011,0.000,0.674,0.156,0.595,0.028,0.052,0.194,0.686,0.180,0.000,0.184,0.097,0.638,0.240,0.043,0.119
model.000.28.pdb,0.059,0.000,0.169,0.674,0.087,0.389,0.000,0.379,0.015,0.000,0.245,0.000,0.104,0.194,0.000,0.062,0.000,0.135,0.000,0.000,0.000,0.182,0.016,0.152,0.038,0.034,0.095,0.000,0.000,0.568
model.000.29.pdb,0.340,0.472,0.154,0.000,0.194,0.000,0.117,0.000,0.275,0.500,0.000,0.094,0.197,0.068,0.020,0.172,0.140,0.018,0.422,0.444,0.140,0.149,0.125,0.056,0.095,0.311,0.214,0.178,0.306,0.000
