 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb,model.000.25.pdb,model.000.26.pdb,model.000.27.pdb,model.000.28.pdb,model.000.29.pdb
model.000.00.pdb,0.419,0.067,0.059,0.047,0.146,0.034,0.121,0.600,0.049,0.275,0.117,0.339,0.434,0.510,0.364,0.077,0.000,0.617,0.000,0.103,0.190,0.519,0.087,0.000,0.062,0.217,0.169,0.339,0.000,0.375
model.000.01.pdb,0.267,0.551,0.000,0.197,0.125,0.087,0.000,0.200,0.079,0.173,0.260,0.027,0.043,0.148,0.076,0.467,0.000,0.108,0.000,0.651,0.224,0.190,0.157,0.240,0.121,0.131,0.000,0.029,0.000,0.348
model.000.02.pdb,0.605,0.127,0.043,0.085,0.175,0.011,0.072,0.455,0.024,0.477,0.031,0.317,0.267,0.682,0.154,0.077,0.000,0.357,0.000,0.210,0.415,0.717,0.136,0.000,0.000,0.404,0.150,0.316,0.015,0.535
model.000.03.pdb,0.131,0.189,0.127,0.032,0.030,0.053,0.188,0.309,0.068,0.014,0.293,0.176,0.424,0.171,0.694,0.238,0.074,0.377,0.155,0.092,0.000,0.176,0.038,0.057,0.222,0.000,0.149,0.203,0.014,0.121
model.000.04.pdb,0.667,0.194,0.000,0.107,0.128,0.000,0.000,0.381,0.000,0.595,0.052,0.141,0.129,0.447,0.113,0.123,0.000,0.250,0.000,0.278,0.468,0.460,0.119,0.000,0.000,0.457,0.016,0.113,0.000,0.667
model.000.05.pdb,0.051,0.244,0.044,0.762,0.611,0.527,0.043,0.012,0.543,0.160,0.085,0.063,0.032,0.091,0.032,0.108,0.074,0.032,0.055,0.198,0.276,0.086,0.794,0.239,0.046,0.250,0.034,0.021,0.219,0.060
model.000.06.pdb,0.045,0.302,0.130,0.681,0.518,0.618,0.093,0.055,0.494,0.128,0.125,0.121,0.038,0.093,0.039,0.186,0.169,0.038,0.082,0.244,0.230,0.099,0.650,0.210,0.074,0.235,0.110,0.092,0.303,0.077
model.000.07.pdb,0.306,0.051,0.136,0.022,0.043,0.022,0.203,0.489,0.047,0.153,0.129,0.323,0.612,0.351,0.660,0.058,0.062,0.756,0.149,0.068,0.099,0.367,0.030,0.000,0.075,0.118,0.180,0.345,0.000,0.302
model.000.08.pdb,0.180,0.013,0.167,0.024,0.022,0.035,0.220,0.240,0.063,0.068,0.102,0.283,0.574,0.241,0.659,0.046,0.105,0.451,0.241,0.028,0.028,0.222,0.032,0.000,0.063,0.044,0.136,0.281,0.016,0.143
model.000.09.pdb,0.513,0.238,0.000,0.048,0.082,0.035,0.043,0.771,0.037,0.235,0.140,0.222,0.254,0.412,0.259,0.259,0.000,0.510,0.000,0.259,0.177,0.426,0.043,0.016,0.081,0.183,0.063,0.217,0.000,0.524
