 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb,model.000.25.pdb,model.000.26.pdb,model.000.27.pdb,model.000.28.pdb,model.000.29.pdb
model.000.00.pdb,0.167,0.000,0.390,0.053,0.026,0.000,0.167,0.000,0.030,0.000,0.000,0.100,0.538,0.033,0.048,0.150,0.154,0.053,0.260,0.000,0.077,0.172,0.029,0.123,0.148,0.194,0.683,0.039,0.000,0.000
model.000.01.pdb,0.023,0.217,0.600,0.294,0.000,0.140,0.098,0.370,0.056,0.067,0.156,0.078,0.245,0.000,0.449,0.000,0.653,0.483,0.030,0.055,0.098,0.141,0.551,0.113,0.810,0.147,0.136,0.090,0.000,0.000
model.000.02.pdb,0.690,0.125,0.157,0.233,0.343,0.014,0.661,0.093,0.025,0.257,0.171,0.034,0.194,0.283,0.000,0.203,0.085,0.022,0.604,0.012,0.463,0.483,0.024,0.024,0.077,0.044,0.169,0.388,0.091,0.261
model.000.03.pdb,0.079,0.000,0.133,0.000,0.165,0.029,0.055,0.000,0.446,0.024,0.000,0.589,0.108,0.119,0.116,0.141,0.087,0.095,0.000,0.297,0.011,0.036,0.038,0.491,0.065,0.508,0.227,0.011,0.296,0.037
model.000.04.pdb,0.022,0.276,0.413,0.175,0.000,0.347,0.058,0.471,0.101,0.095,0.230,0.063,0.098,0.000,0.532,0.000,0.464,0.706,0.000,0.147,0.123,0.093,0.750,0.081,0.481,0.130,0.056,0.117,0.000,0.053
model.000.05.pdb,0.051,0.245,0.473,0.372,0.000,0.137,0.137,0.426,0.046,0.090,0.196,0.041,0.135,0.000,0.333,0.000,0.574,0.362,0.069,0.045,0.122,0.213,0.500,0.075,0.643,0.082,0.062,0.114,0.000,0.000
model.000.06.pdb,0.055,0.000,0.133,0.000,0.108,0.076,0.032,0.013,0.446,0.012,0.000,0.618,0.108,0.056,0.167,0.141,0.087,0.108,0.000,0.317,0.000,0.036,0.051,0.518,0.093,0.533,0.227,0.000,0.207,0.024
model.000.07.pdb,0.136,0.018,0.000,0.000,0.224,0.087,0.071,0.000,0.333,0.182,0.000,0.193,0.000,0.421,0.000,0.176,0.000,0.000,0.000,0.348,0.087,0.000,0.000,0.123,0.000,0.164,0.000,0.094,0.815,0.208
model.000.08.pdb,0.087,0.000,0.000,0.000,0.186,0.088,0.036,0.000,0.532,0.069,0.000,0.455,0.000,0.179,0.062,0.180,0.013,0.012,0.000,0.451,0.036,0.013,0.000,0.333,0.000,0.361,0.075,0.038,0.419,0.086
model.000.09.pdb,0.000,0.333,0.103,0.039,0.000,0.677,0.000,0.356,0.148,0.136,0.220,0.061,0.000,0.000,0.415,0.000,0.115,0.377,0.000,0.280,0.100,0.015,0.432,0.119,0.145,0.090,0.000,0.125,0.020,0.138
model.000.10.pdb,0.400,0.098,0.000,0.091,0.481,0.017,0.312,0.079,0.095,0.276,0.115,0.085,0.000,0.537,0.000,0.302,0.000,0.000,0.189,0.060,0.273,0.172,0.000,0.028,0.000,0.026,0.030,0.317,0.234,0.377
model.000.11.pdb,0.536,0.085,0.040,0.108,0.569,0.013,0.413,0.047,0.058,0.231,0.111,0.100,0.038,0.371,0.012,0.492,0.021,0.020,0.288,0.057,0.309,0.244,0.011,0.067,0.011,0.041,0.096,0.278,0.143,0.267
model.000.12.pdb,0.034,0.000,0.189,0.000,0.062,0.066,0.034,0.028,0.471,0.000,0.000,0.660,0.138,0.015,0.203,0.119,0.125,0.147,0.000,0.262,0.000,0.038,0.086,0.646,0.118,0.623,0.293,0.000,0.164,0.000
model.000.13.pdb,0.033,0.200,0.603,0.291,0.011,0.148,0.092,0.362,0.096,0.062,0.162,0.143,0.224,0.000,0.434,0.000,0.686,0.596,0.028,0.079,0.105,0.117,0.500,0.167,0.761,0.230,0.143,0.084,0.000,0.000
model.000.14.pdb,0.000,0.415,0.237,0.378,0.000,0.250,0.119,0.639,0.017,0.161,0.372,0.015,0.020,0.000,0.273,0.000,0.347,0.392,0.038,0.069,0.210,0.158,0.452,0.049,0.452,0.044,0.000,0.186,0.000,0.049
model.000.15.pdb,0.032,0.125,0.524,0.156,0.011,0.141,0.054,0.242,0.203,0.011,0.093,0.264,0.213,0.000,0.436,0.025,0.534,0.492,0.000,0.133,0.054,0.072,0.377,0.299,0.556,0.362,0.221,0.045,0.029,0.000
model.000.16.pdb,0.047,0.014,0.205,0.000,0.062,0.083,0.047,0.057,0.389,0.000,0.000,0.566,0.119,0.030,0.224,0.103,0.157,0.178,0.015,0.262,0.011,0.052,0.118,0.646,0.134,0.654,0.271,0.000,0.143,0.000
model.000.17.pdb,0.033,0.222,0.533,0.296,0.011,0.190,0.106,0.393,0.113,0.077,0.164,0.115,0.207,0.000,0.500,0.000,0.604,0.525,0.028,0.110,0.106,0.149,0.538,0.153,0.739,0.200,0.113,0.099,0.000,0.000
model.000.18.pdb,0.068,0.107,0.540,0.279,0.000,0.019,0.145,0.145,0.000,0.062,0.145,0.029,0.447,0.000,0.132,0.016,0.400,0.190,0.115,0.000,0.113,0.148,0.204,0.030,0.413,0.071,0.333,0.072,0.000,0.000
model.000.19.pdb,0.024,0.150,0.680,0.265,0.000,0.052,0.089,0.228,0.029,0.056,0.148,0.082,0.378,0.000,0.264,0.000,0.571,0.344,0.048,0.000,0.075,0.132,0.333,0.071,0.600,0.123,0.246,0.066,0.000,0.000
model.000.20.pdb,0.012,0.000,0.181,0.000,0.037,0.088,0.012,0.029,0.469,0.013,0.000,0.633,0.125,0.048,0.214,0.108,0.130,0.153,0.000,0.276,0.000,0.013,0.090,0.652,0.106,0.627,0.286,0.000,0.173,0.027
model.000.21.pdb,0.485,0.312,0.138,0.351,0.260,0.027,0.603,0.232,0.024,0.422,0.371,0.011,0.116,0.231,0.038,0.147,0.136,0.115,0.379,0.011,0.683,0.508,0.145,0.023,0.130,0.032,0.089,0.574,0.087,0.324
