 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb,model.000.25.pdb,model.000.26.pdb,model.000.27.pdb,model.000.28.pdb,model.000.29.pdb
model.000.00.pdb,0.014,0.000,0.000,0.164,0.000,0.034,0.085,0.159,0.259,0.000,0.084,0.000,0.137,0.575,0.043,0.000,0.025,0.000,0.000,0.000,0.000,0.242,0.190,0.000,0.352,0.030,0.111,0.234,0.000,0.000
model.000.01.pdb,0.447,0.164,0.789,0.118,0.476,0.047,0.087,0.291,0.179,0.435,0.086,0.046,0.080,0.034,0.543,0.000,0.000,0.123,0.690,0.052,0.326,0.056,0.217,0.465,0.268,0.784,0.013,0.041,0.231,0.240
model.000.02.pdb,0.012,0.107,0.000,0.022,0.000,0.473,0.545,0.011,0.012,0.012,0.486,0.176,0.087,0.231,0.071,0.279,0.380,0.122,0.047,0.351,0.013,0.469,0.000,0.012,0.059,0.012,0.492,0.055,0.037,0.052
model.000.03.pdb,0.155,0.083,0.051,0.552,0.041,0.030,0.046,0.349,0.404,0.143,0.010,0.093,0.610,0.056,0.024,0.206,0.120,0.279,0.037,0.056,0.000,0.000,0.426,0.041,0.133,0.067,0.095,0.655,0.200,0.152
model.000.04.pdb,0.255,0.154,0.455,0.014,0.568,0.147,0.116,0.136,0.051,0.240,0.200,0.103,0.013,0.000,0.367,0.000,0.027,0.062,0.634,0.100,0.541,0.092,0.150,0.372,0.063,0.476,0.014,0.000,0.200,0.208
model.000.05.pdb,0.169,0.053,0.051,0.542,0.041,0.029,0.036,0.323,0.421,0.110,0.040,0.051,0.627,0.070,0.024,0.153,0.106,0.222,0.036,0.055,0.000,0.034,0.397,0.040,0.132,0.080,0.148,0.673,0.145,0.116
model.000.06.pdb,0.023,0.104,0.023,0.032,0.000,0.480,0.458,0.011,0.000,0.048,0.416,0.203,0.097,0.051,0.070,0.413,0.449,0.133,0.011,0.417,0.025,0.247,0.000,0.012,0.011,0.012,0.597,0.054,0.049,0.064
model.000.07.pdb,0.367,0.040,0.344,0.250,0.152,0.030,0.096,0.441,0.356,0.250,0.085,0.000,0.188,0.230,0.441,0.000,0.000,0.101,0.349,0.022,0.071,0.187,0.279,0.167,0.700,0.404,0.011,0.138,0.114,0.070
model.000.08.pdb,0.086,0.000,0.105,0.109,0.036,0.012,0.080,0.179,0.173,0.034,0.051,0.000,0.086,0.366,0.200,0.000,0.000,0.015,0.138,0.000,0.018,0.167,0.133,0.036,0.571,0.151,0.000,0.091,0.000,0.018
model.000.09.pdb,0.027,0.092,0.027,0.012,0.000,0.448,0.486,0.000,0.014,0.043,0.462,0.154,0.035,0.214,0.130,0.136,0.229,0.096,0.040,0.333,0.030,0.519,0.000,0.014,0.068,0.014,0.371,0.037,0.029,0.045
model.000.10.pdb,0.393,0.042,0.345,0.229,0.143,0.053,0.089,0.397,0.333,0.246,0.101,0.000,0.167,0.203,0.473,0.000,0.000,0.092,0.350,0.022,0.060,0.181,0.239,0.159,0.688,0.434,0.023,0.115,0.088,0.075
model.000.11.pdb,0.022,0.169,0.068,0.020,0.114,0.731,0.615,0.010,0.011,0.022,0.701,0.288,0.081,0.145,0.128,0.205,0.382,0.112,0.128,0.574,0.176,0.403,0.010,0.072,0.010,0.022,0.444,0.051,0.071,0.073
model.000.12.pdb,0.333,0.302,0.500,0.079,0.800,0.065,0.070,0.235,0.115,0.415,0.067,0.132,0.058,0.000,0.235,0.000,0.014,0.161,0.465,0.074,0.514,0.000,0.226,0.667,0.068,0.450,0.000,0.030,0.333,0.385
model.000.13.pdb,0.538,0.056,0.356,0.294,0.194,0.052,0.067,0.482,0.322,0.322,0.099,0.013,0.240,0.123,0.482,0.000,0.000,0.164,0.361,0.022,0.090,0.145,0.328,0.190,0.537,0.418,0.011,0.171,0.188,0.104
model.000.14.pdb,0.024,0.081,0.012,0.022,0.000,0.472,0.450,0.012,0.000,0.025,0.444,0.151,0.102,0.055,0.074,0.424,0.418,0.099,0.012,0.386,0.013,0.282,0.000,0.000,0.012,0.012,0.621,0.057,0.026,0.026
model.000.15.pdb,0.418,0.057,0.418,0.194,0.200,0.042,0.078,0.421,0.310,0.310,0.089,0.000,0.138,0.183,0.528,0.000,0.000,0.092,0.397,0.022,0.109,0.164,0.277,0.217,0.620,0.490,0.011,0.087,0.138,0.108
model.000.16.pdb,0.255,0.066,0.078,0.453,0.086,0.011,0.020,0.412,0.426,0.196,0.000,0.045,0.519,0.033,0.043,0.030,0.067,0.276,0.059,0.000,0.000,0.000,0.510,0.085,0.180,0.117,0.082,0.560,0.226,0.167
model.000.17.pdb,0.039,0.118,0.081,0.011,0.088,0.569,0.514,0.012,0.000,0.000,0.695,0.231,0.045,0.090,0.203,0.159,0.230,0.104,0.203,0.431,0.123,0.403,0.000,0.042,0.025,0.068,0.364,0.000,0.041,0.057
model.000.18.pdb,0.362,0.042,0.317,0.261,0.141,0.010,0.067,0.439,0.375,0.222,0.053,0.000,0.195,0.286,0.367,0.000,0.000,0.105,0.302,0.011,0.059,0.147,0.273,0.156,0.783,0.375,0.000,0.158,0.103,0.074
