 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb
model.000.00.pdb,0.149,0.025,0.700,0.066,0.000,0.089,0.576,0.054,0.040,0.552,0.033,0.557,0.000,0.033,0.571,0.022,0.024,0.397,0.044,0.057,0.472,0.269,0.052,0.026,0.000
model.000.01.pdb,0.000,0.294,0.104,0.000,0.550,0.000,0.087,0.176,0.089,0.141,0.169,0.260,0.318,0.182,0.108,0.188,0.000,0.368,0.116,0.169,0.219,0.000,0.000,0.148,0.373
model.000.02.pdb,0.407,0.286,0.136,0.131,0.132,0.129,0.030,0.696,0.551,0.128,0.685,0.081,0.106,0.550,0.021,0.625,0.155,0.081,0.769,0.685,0.030,0.000,0.082,0.540,0.308
model.000.03.pdb,0.070,0.180,0.182,0.000,0.222,0.000,0.111,0.259,0.256,0.245,0.278,0.197,0.041,0.224,0.136,0.255,0.000,0.340,0.186,0.302,0.123,0.000,0.000,0.310,0.235
model.000.04.pdb,0.025,0.000,0.420,0.134,0.000,0.119,0.613,0.011,0.000,0.246,0.000,0.329,0.000,0.011,0.583,0.000,0.053,0.264,0.011,0.000,0.397,0.620,0.100,0.000,0.000
model.000.05.pdb,0.000,0.415,0.013,0.059,0.385,0.028,0.013,0.125,0.019,0.016,0.115,0.024,0.667,0.148,0.000,0.172,0.073,0.029,0.113,0.062,0.052,0.000,0.000,0.059,0.319
model.000.06.pdb,0.133,0.051,0.594,0.054,0.053,0.065,0.444,0.102,0.099,0.636,0.107,0.557,0.000,0.067,0.478,0.081,0.012,0.532,0.056,0.120,0.377,0.181,0.025,0.082,0.036
model.000.07.pdb,0.000,0.523,0.075,0.013,0.537,0.012,0.048,0.306,0.148,0.104,0.305,0.163,0.372,0.317,0.064,0.351,0.030,0.274,0.238,0.262,0.111,0.000,0.000,0.212,0.578
model.000.08.pdb,0.045,0.115,0.036,0.464,0.067,0.383,0.060,0.079,0.016,0.014,0.068,0.022,0.154,0.143,0.037,0.083,0.438,0.026,0.082,0.040,0.071,0.045,0.179,0.016,0.091
model.000.09.pdb,0.000,0.090,0.227,0.012,0.255,0.000,0.237,0.061,0.046,0.270,0.064,0.456,0.121,0.049,0.219,0.051,0.000,0.491,0.024,0.078,0.412,0.087,0.000,0.045,0.116
model.000.10.pdb,0.000,0.241,0.147,0.000,0.432,0.000,0.114,0.141,0.127,0.213,0.149,0.310,0.204,0.145,0.122,0.132,0.000,0.436,0.099,0.167,0.268,0.000,0.000,0.145,0.315
model.000.11.pdb,0.114,0.056,0.044,0.667,0.014,0.596,0.090,0.139,0.060,0.012,0.117,0.030,0.062,0.189,0.082,0.089,0.571,0.011,0.145,0.089,0.100,0.083,0.254,0.043,0.067
model.000.12.pdb,0.525,0.017,0.164,0.090,0.000,0.121,0.039,0.304,0.385,0.158,0.278,0.090,0.000,0.203,0.042,0.232,0.091,0.060,0.346,0.327,0.025,0.000,0.036,0.279,0.086
model.000.13.pdb,0.016,0.000,0.328,0.101,0.000,0.041,0.383,0.000,0.000,0.302,0.000,0.275,0.000,0.000,0.345,0.000,0.000,0.233,0.000,0.000,0.349,0.362,0.053,0.000,0.000
model.000.14.pdb,0.048,0.561,0.000,0.130,0.304,0.145,0.012,0.393,0.157,0.014,0.396,0.000,0.436,0.490,0.013,0.480,0.204,0.027,0.364,0.321,0.000,0.000,0.016,0.333,0.417
model.000.15.pdb,0.167,0.000,0.261,0.139,0.000,0.186,0.435,0.000,0.000,0.172,0.000,0.175,0.000,0.000,0.400,0.000,0.113,0.111,0.000,0.000,0.282,0.522,0.294,0.000,0.000
model.000.16.pdb,0.169,0.370,0.081,0.086,0.186,0.099,0.022,0.692,0.408,0.080,0.680,0.053,0.119,0.654,0.023,0.615,0.119,0.103,0.667,0.680,0.000,0.000,0.000,0.522,0.393
