 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb
model.000.00.pdb,0.000,0.600,0.000,0.014,0.625,0.014,0.000,0.207,0.085,0.000,0.200,0.065,0.548,0.236,0.000,0.269,0.036,0.097,0.196,0.158,0.039,0.000,0.000,0.130,0.579
model.000.01.pdb,0.206,0.042,0.011,0.796,0.000,0.745,0.056,0.173,0.131,0.000,0.151,0.010,0.015,0.194,0.059,0.135,0.667,0.000,0.181,0.135,0.054,0.070,0.440,0.111,0.054
model.000.02.pdb,0.013,0.013,0.441,0.094,0.042,0.044,0.562,0.000,0.000,0.344,0.000,0.522,0.029,0.000,0.508,0.000,0.026,0.379,0.000,0.011,0.672,0.397,0.027,0.000,0.037
model.000.03.pdb,0.138,0.440,0.022,0.178,0.172,0.160,0.033,0.623,0.288,0.026,0.608,0.021,0.231,0.615,0.035,0.640,0.237,0.050,0.627,0.519,0.000,0.000,0.061,0.447,0.382
model.000.04.pdb,0.250,0.377,0.070,0.115,0.169,0.114,0.000,0.776,0.545,0.067,0.804,0.031,0.140,0.700,0.000,0.729,0.156,0.062,0.826,0.766,0.000,0.000,0.029,0.605,0.426
model.000.05.pdb,0.013,0.056,0.357,0.011,0.220,0.011,0.347,0.047,0.029,0.361,0.049,0.594,0.079,0.048,0.333,0.036,0.000,0.630,0.012,0.062,0.571,0.182,0.014,0.029,0.127
model.000.06.pdb,0.000,0.265,0.038,0.101,0.234,0.085,0.037,0.101,0.018,0.045,0.091,0.073,0.385,0.156,0.013,0.143,0.145,0.042,0.090,0.043,0.090,0.016,0.000,0.018,0.222
model.000.07.pdb,0.206,0.370,0.057,0.143,0.129,0.127,0.011,0.833,0.468,0.066,0.867,0.042,0.119,0.755,0.023,0.826,0.190,0.075,0.809,0.787,0.010,0.000,0.043,0.628,0.368
model.000.08.pdb,0.000,0.200,0.083,0.147,0.214,0.087,0.107,0.062,0.000,0.068,0.051,0.126,0.306,0.091,0.060,0.093,0.106,0.077,0.051,0.012,0.159,0.057,0.014,0.000,0.169
model.000.09.pdb,0.114,0.013,0.727,0.011,0.043,0.022,0.448,0.084,0.060,0.566,0.075,0.500,0.000,0.048,0.508,0.049,0.000,0.517,0.048,0.103,0.435,0.279,0.014,0.029,0.026
model.000.10.pdb,0.000,0.133,0.115,0.139,0.143,0.092,0.141,0.012,0.000,0.087,0.013,0.133,0.224,0.039,0.105,0.040,0.095,0.096,0.013,0.000,0.182,0.094,0.031,0.000,0.091
model.000.11.pdb,0.000,0.250,0.113,0.000,0.474,0.000,0.080,0.175,0.146,0.155,0.186,0.246,0.209,0.180,0.101,0.167,0.000,0.385,0.127,0.207,0.186,0.000,0.000,0.191,0.333
model.000.12.pdb,0.000,0.476,0.052,0.013,0.706,0.000,0.012,0.226,0.140,0.062,0.220,0.143,0.459,0.233,0.013,0.263,0.016,0.213,0.159,0.180,0.090,0.000,0.000,0.184,0.500
model.000.13.pdb,0.254,0.043,0.022,0.654,0.000,0.740,0.045,0.194,0.155,0.000,0.171,0.021,0.016,0.200,0.048,0.155,0.622,0.000,0.203,0.155,0.056,0.057,0.489,0.133,0.056
model.000.14.pdb,0.784,0.016,0.153,0.164,0.000,0.197,0.037,0.258,0.405,0.127,0.213,0.084,0.000,0.134,0.026,0.194,0.161,0.041,0.293,0.254,0.036,0.000,0.216,0.224,0.062
model.000.15.pdb,0.455,0.148,0.066,0.101,0.018,0.085,0.012,0.490,0.541,0.078,0.469,0.011,0.019,0.345,0.013,0.440,0.105,0.014,0.553,0.532,0.000,0.000,0.091,0.487,0.158
model.000.16.pdb,0.000,0.048,0.181,0.039,0.148,0.025,0.208,0.000,0.000,0.177,0.000,0.353,0.115,0.000,0.171,0.000,0.000,0.300,0.000,0.000,0.435,0.115,0.000,0.000,0.094
model.000.17.pdb,0.099,0.000,0.727,0.023,0.014,0.034,0.565,0.059,0.076,0.509,0.049,0.500,0.000,0.023,0.614,0.036,0.000,0.467,0.036,0.075,0.547,0.368,0.028,0.029,0.013
model.000.18.pdb,0.065,0.000,0.478,0.106,0.000,0.118,0.683,0.000,0.000,0.318,0.000,0.395,0.000,0.000,0.655,0.000,0.052,0.333,0.000,0.011,0.561,0.577,0.147,0.000,0.000
model.000.19.pdb,0.000,0.000,0.375,0.078,0.032,0.024,0.429,0.000,0.000,0.267,0.000,0.418,0.017,0.000,0.393,0.000,0.000,0.306,0.000,0.000,0.533,0.365,0.015,0.000,0.028
model.000.20.pdb,0.046,0.100,0.062,0.429,0.033,0.373,0.087,0.111,0.017,0.043,0.101,0.045,0.115,0.182,0.065,0.101,0.426,0.054,0.116,0.056,0.085,0.079,0.164,0.016,0.111
model.000.21.pdb,0.194,0.412,0.034,0.103,0.193,0.115,0.000,0.755,0.457,0.026,0.783,0.032,0.164,0.750,0.000,0.783,0.141,0.063,0.804,0.708,0.000,0.000,0.014,0.581,0.462
model.000.22.pdb,0.188,0.370,0.081,0.086,0.167,0.099,0.022,0.760,0.438,0.080,0.787,0.064,0.119,0.720,0.034,0.750,0.119,0.103,0.735,0.750,0.000,0.000,0.014,0.591,0.393
model.000.23.pdb,0.181,0.012,0.789,0.021,0.000,0.054,0.507,0.066,0.083,0.667,0.045,0.627,0.000,0.033,0.500,0.045,0.000,0.462,0.056,0.081,0.452,0.232,0.038,0.026,0.024
model.000.24.pdb,0.108,0.143,0.356,0.000,0.267,0.011,0.232,0.133,0.119,0.475,0.139,0.514,0.108,0.122,0.231,0.111,0.000,0.559,0.083,0.154,0.355,0.038,0.013,0.118,0.183
model.000.25.pdb,0.127,0.054,0.470,0.000,0.138,0.000,0.303,0.095,0.090,0.604,0.086,0.576,0.061,0.047,0.324,0.060,0.000,0.579,0.047,0.114,0.464,0.096,0.013,0.057,0.108
model.000.26.pdb,0.074,0.024,0.529,0.031,0.095,0.042,0.472,0.010,0.000,0.508,0.011,0.790,0.055,0.010,0.464,0.011,0.000,0.590,0.000,0.022,0.662,0.208,0.025,0.000,0.060
model.000.27.pdb,0.000,0.000,0.115,0.189,0.000,0.085,0.167,0.000,0.000,0.057,0.000,0.056,0.000,0.000,0.161,0.000,0.020,0.070,0.000,0.000,0.125,0.244,0.068,0.000,0.000
model.000.28.pdb,0.200,0.373,0.047,0.077,0.179,0.104,0.011,0.714,0.477,0.055,0.702,0.043,0.127,0.708,0.024,0.702,0.109,0.079,0.688,0.702,0.000,0.000,0.030,0.610,0.396
model.000.29.pdb,0.232,0.063,0.024,0.653,0.016,0.640,0.011,0.191,0.127,0.000,0.167,0.022,0.054,0.234,0.012,0.149,0.619,0.000,0.200,0.132,0.023,0.015,0.383,0.105,0.076
