 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb,model.000.25.pdb,model.000.26.pdb,model.000.27.pdb,model.000.28.pdb,model.000.29.pdb
model.000.00.pdb,0.000,0.056,0.090,0.535,0.041,0.233,0.164,0.132,0.172,0.194,0.000,0.509,0.000,0.270,0.045,0.014,0.000,0.057,0.013,0.000,0.000,0.000,0.136,0.123,0.015,0.242,0.000,0.587,0.034,0.000
model.000.01.pdb,0.167,0.510,0.145,0.067,0.667,0.385,0.113,0.050,0.158,0.200,0.110,0.182,0.500,0.026,0.034,0.076,0.588,0.674,0.721,0.154,0.000,0.848,0.354,0.011,0.031,0.389,0.300,0.014,0.143,0.283
model.000.02.pdb,0.127,0.011,0.023,0.107,0.068,0.083,0.313,0.609,0.000,0.032,0.333,0.169,0.000,0.066,0.528,0.084,0.000,0.046,0.069,0.133,0.129,0.000,0.024,0.543,0.149,0.044,0.000,0.324,0.408,0.036
model.000.03.pdb,0.077,0.189,0.417,0.130,0.023,0.075,0.000,0.021,0.429,0.438,0.000,0.122,0.044,0.643,0.040,0.371,0.079,0.049,0.023,0.141,0.175,0.027,0.145,0.084,0.379,0.203,0.000,0.118,0.010,0.079
model.000.04.pdb,0.179,0.296,0.098,0.000,0.543,0.172,0.140,0.067,0.016,0.042,0.242,0.072,0.514,0.000,0.061,0.063,0.429,0.417,0.556,0.145,0.000,0.500,0.130,0.000,0.016,0.183,0.412,0.000,0.254,0.255
model.000.05.pdb,0.049,0.187,0.387,0.113,0.023,0.087,0.000,0.031,0.446,0.409,0.000,0.134,0.029,0.722,0.029,0.229,0.078,0.048,0.023,0.125,0.087,0.027,0.143,0.143,0.266,0.184,0.000,0.178,0.010,0.064
model.000.06.pdb,0.138,0.011,0.034,0.037,0.011,0.011,0.184,0.438,0.000,0.042,0.308,0.031,0.000,0.088,0.474,0.136,0.000,0.011,0.033,0.143,0.174,0.012,0.036,0.719,0.176,0.011,0.000,0.136,0.380,0.060
model.000.07.pdb,0.037,0.443,0.181,0.444,0.413,0.755,0.239,0.089,0.311,0.373,0.092,0.586,0.145,0.136,0.082,0.037,0.214,0.483,0.397,0.060,0.000,0.316,0.580,0.020,0.026,0.679,0.031,0.149,0.109,0.079
model.000.08.pdb,0.000,0.169,0.082,0.475,0.186,0.523,0.255,0.082,0.130,0.159,0.070,0.553,0.020,0.106,0.062,0.000,0.043,0.196,0.150,0.014,0.000,0.098,0.250,0.000,0.000,0.429,0.000,0.222,0.092,0.016
model.000.09.pdb,0.116,0.013,0.026,0.109,0.065,0.097,0.434,0.655,0.000,0.024,0.397,0.149,0.000,0.049,0.485,0.068,0.000,0.039,0.080,0.108,0.081,0.015,0.029,0.412,0.074,0.038,0.000,0.322,0.439,0.056
model.000.10.pdb,0.039,0.474,0.174,0.423,0.441,0.745,0.234,0.080,0.310,0.375,0.096,0.571,0.136,0.114,0.098,0.025,0.208,0.519,0.400,0.062,0.000,0.315,0.562,0.021,0.027,0.700,0.016,0.110,0.114,0.068
model.000.11.pdb,0.200,0.020,0.021,0.047,0.122,0.032,0.284,0.642,0.000,0.030,0.597,0.106,0.078,0.061,0.581,0.078,0.013,0.065,0.124,0.174,0.132,0.036,0.022,0.474,0.108,0.020,0.099,0.228,0.606,0.119
model.000.12.pdb,0.292,0.347,0.167,0.000,0.367,0.143,0.017,0.027,0.074,0.111,0.074,0.029,0.885,0.014,0.012,0.145,0.704,0.362,0.435,0.218,0.061,0.514,0.188,0.000,0.094,0.136,0.517,0.000,0.111,0.429
model.000.13.pdb,0.065,0.623,0.258,0.310,0.403,0.647,0.174,0.055,0.418,0.452,0.094,0.452,0.169,0.169,0.073,0.092,0.245,0.527,0.410,0.115,0.014,0.352,0.674,0.020,0.083,0.642,0.032,0.064,0.111,0.111
model.000.14.pdb,0.103,0.011,0.000,0.026,0.022,0.011,0.214,0.429,0.000,0.044,0.293,0.044,0.000,0.068,0.446,0.101,0.000,0.023,0.047,0.110,0.169,0.013,0.038,0.721,0.155,0.011,0.000,0.145,0.368,0.024
model.000.15.pdb,0.067,0.500,0.174,0.370,0.491,0.708,0.215,0.068,0.267,0.333,0.083,0.517,0.196,0.100,0.074,0.025,0.280,0.547,0.448,0.076,0.000,0.392,0.562,0.021,0.027,0.667,0.069,0.095,0.101,0.114
model.000.16.pdb,0.076,0.271,0.440,0.140,0.041,0.106,0.000,0.000,0.523,0.463,0.000,0.113,0.055,0.549,0.022,0.263,0.122,0.074,0.042,0.134,0.052,0.051,0.200,0.059,0.288,0.226,0.000,0.108,0.000,0.095
model.000.17.pdb,0.139,0.062,0.012,0.027,0.192,0.063,0.397,0.574,0.000,0.047,0.661,0.098,0.062,0.000,0.471,0.064,0.015,0.135,0.194,0.130,0.091,0.074,0.041,0.347,0.099,0.061,0.067,0.137,0.695,0.039
model.000.18.pdb,0.038,0.441,0.188,0.531,0.344,0.729,0.194,0.056,0.351,0.391,0.045,0.618,0.133,0.141,0.052,0.038,0.204,0.431,0.308,0.062,0.000,0.286,0.583,0.000,0.027,0.686,0.016,0.171,0.065,0.068
model.000.19.pdb,0.013,0.377,0.125,0.480,0.393,0.745,0.295,0.106,0.288,0.313,0.110,0.630,0.081,0.114,0.110,0.000,0.143,0.439,0.377,0.024,0.000,0.268,0.531,0.031,0.000,0.604,0.000,0.141,0.126,0.026
model.000.20.pdb,0.240,0.010,0.033,0.024,0.054,0.000,0.195,0.466,0.011,0.020,0.465,0.020,0.067,0.074,0.500,0.119,0.013,0.033,0.078,0.225,0.203,0.024,0.000,0.514,0.171,0.000,0.119,0.146,0.521,0.138
model.000.21.pdb,0.091,0.000,0.014,0.000,0.000,0.000,0.000,0.162,0.015,0.026,0.092,0.000,0.000,0.067,0.208,0.141,0.000,0.000,0.000,0.100,0.216,0.000,0.000,0.422,0.236,0.000,0.000,0.058,0.139,0.014
model.000.22.pdb,0.000,0.043,0.113,0.088,0.000,0.014,0.000,0.012,0.208,0.188,0.000,0.101,0.000,0.520,0.011,0.131,0.000,0.000,0.000,0.028,0.074,0.000,0.033,0.160,0.123,0.123,0.000,0.232,0.000,0.000
model.000.23.pdb,0.000,0.321,0.081,0.395,0.315,0.619,0.182,0.067,0.192,0.233,0.085,0.510,0.082,0.088,0.048,0.000,0.111,0.333,0.273,0.000,0.000,0.239,0.419,0.012,0.000,0.578,0.000,0.098,0.105,0.000
model.000.24.pdb,0.138,0.500,0.136,0.115,0.646,0.382,0.141,0.073,0.148,0.171,0.149,0.206,0.419,0.038,0.044,0.042,0.487,0.689,0.625,0.129,0.000,0.625,0.327,0.000,0.029,0.411,0.244,0.042,0.179,0.220
