 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb
model.000.00.pdb,0.000,0.167,0.127,0.077,0.179,0.049,0.138,0.037,0.000,0.116,0.039,0.200,0.292,0.065,0.103,0.067,0.076,0.139,0.038,0.013,0.240,0.091,0.000,0.000,0.138
model.000.01.pdb,0.056,0.510,0.011,0.189,0.296,0.187,0.011,0.443,0.169,0.013,0.474,0.020,0.347,0.623,0.011,0.500,0.271,0.062,0.441,0.377,0.010,0.000,0.043,0.321,0.500
model.000.02.pdb,0.090,0.145,0.023,0.417,0.098,0.387,0.034,0.181,0.082,0.026,0.174,0.021,0.167,0.258,0.000,0.174,0.440,0.012,0.188,0.125,0.033,0.014,0.113,0.081,0.136
model.000.03.pdb,0.535,0.067,0.107,0.130,0.000,0.113,0.037,0.444,0.475,0.109,0.423,0.047,0.000,0.310,0.026,0.370,0.140,0.027,0.531,0.480,0.024,0.000,0.088,0.395,0.115
model.000.04.pdb,0.041,0.667,0.068,0.023,0.543,0.023,0.011,0.413,0.186,0.065,0.441,0.122,0.367,0.403,0.022,0.491,0.041,0.192,0.344,0.393,0.054,0.000,0.000,0.315,0.646
model.000.05.pdb,0.233,0.385,0.083,0.075,0.172,0.087,0.011,0.755,0.523,0.097,0.745,0.032,0.143,0.647,0.011,0.708,0.106,0.063,0.729,0.745,0.000,0.000,0.014,0.619,0.382
model.000.06.pdb,0.164,0.113,0.313,0.000,0.140,0.000,0.184,0.239,0.255,0.434,0.234,0.284,0.017,0.174,0.214,0.215,0.000,0.397,0.194,0.295,0.195,0.000,0.000,0.182,0.141
model.000.07.pdb,0.132,0.050,0.609,0.021,0.067,0.031,0.438,0.089,0.082,0.655,0.080,0.642,0.027,0.055,0.429,0.068,0.000,0.574,0.056,0.106,0.466,0.162,0.012,0.067,0.073
model.000.08.pdb,0.172,0.158,0.000,0.429,0.016,0.446,0.000,0.311,0.130,0.000,0.310,0.000,0.074,0.418,0.000,0.267,0.523,0.000,0.351,0.288,0.011,0.015,0.208,0.192,0.148
model.000.09.pdb,0.194,0.200,0.032,0.438,0.042,0.409,0.042,0.373,0.159,0.024,0.375,0.030,0.111,0.452,0.044,0.333,0.463,0.047,0.391,0.313,0.020,0.026,0.188,0.233,0.171
model.000.10.pdb,0.000,0.110,0.333,0.000,0.242,0.000,0.308,0.092,0.070,0.397,0.096,0.597,0.074,0.094,0.293,0.083,0.000,0.661,0.045,0.110,0.465,0.092,0.000,0.085,0.149
model.000.11.pdb,0.509,0.182,0.169,0.122,0.072,0.134,0.031,0.586,0.553,0.149,0.571,0.106,0.029,0.452,0.044,0.517,0.113,0.098,0.618,0.630,0.020,0.000,0.101,0.510,0.206
model.000.12.pdb,0.000,0.500,0.000,0.044,0.514,0.029,0.000,0.145,0.020,0.000,0.136,0.078,0.885,0.169,0.000,0.196,0.055,0.062,0.133,0.081,0.067,0.000,0.000,0.082,0.419
model.000.13.pdb,0.270,0.026,0.066,0.643,0.000,0.722,0.088,0.136,0.106,0.049,0.114,0.061,0.014,0.169,0.068,0.100,0.549,0.000,0.141,0.114,0.074,0.067,0.520,0.088,0.038
model.000.14.pdb,0.045,0.034,0.528,0.040,0.061,0.029,0.474,0.082,0.062,0.485,0.098,0.581,0.012,0.073,0.446,0.074,0.022,0.471,0.052,0.110,0.500,0.208,0.011,0.048,0.044
