 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb,model.000.25.pdb,model.000.26.pdb,model.000.27.pdb,model.000.28.pdb,model.000.29.pdb
model.000.00.pdb,1.000,0.184,0.259,0.203,0.106,0.000,0.129,0.560,0.553,0.000,0.097,0.219,0.183,0.000,0.190,0.585,0.066,0.105,0.070,0.400,0.054,0.000,0.048,0.076,0.291,0.288,0.042,0.127,0.028,0.097
model.000.01.pdb,0.184,1.000,0.000,0.038,0.012,0.012,0.011,0.173,0.107,0.176,0.023,0.011,0.038,0.173,0.013,0.190,0.014,0.382,0.012,0.119,0.301,0.012,0.013,0.011,0.306,0.116,0.288,0.000,0.012,0.000
model.000.02.pdb,0.259,0.000,1.000,0.362,0.200,0.193,0.565,0.315,0.347,0.000,0.412,0.651,0.208,0.000,0.292,0.222,0.094,0.000,0.353,0.185,0.000,0.190,0.093,0.444,0.049,0.176,0.000,0.404,0.320,0.412
model.000.03.pdb,0.203,0.038,0.362,1.000,0.085,0.158,0.321,0.150,0.185,0.015,0.273,0.380,0.051,0.015,0.071,0.103,0.018,0.027,0.241,0.316,0.047,0.218,0.000,0.288,0.016,0.055,0.000,0.203,0.208,0.228
model.000.04.pdb,0.106,0.012,0.200,0.085,1.000,0.030,0.309,0.164,0.222,0.014,0.440,0.291,0.561,0.029,0.590,0.203,0.657,0.041,0.327,0.041,0.152,0.000,0.595,0.279,0.016,0.304,0.000,0.521,0.222,0.469
model.000.05.pdb,0.000,0.012,0.193,0.158,0.030,1.000,0.298,0.014,0.015,0.286,0.254,0.177,0.000,0.259,0.000,0.000,0.017,0.097,0.291,0.053,0.120,0.732,0.017,0.404,0.000,0.000,0.186,0.250,0.360,0.233
model.000.06.pdb,0.129,0.011,0.565,0.321,0.309,0.298,1.000,0.167,0.200,0.027,0.592,0.604,0.207,0.069,0.259,0.122,0.185,0.037,0.562,0.107,0.078,0.271,0.182,0.714,0.000,0.138,0.014,0.612,0.565,0.696
model.000.07.pdb,0.560,0.173,0.315,0.150,0.164,0.014,0.167,1.000,0.732,0.000,0.149,0.267,0.255,0.000,0.241,0.640,0.105,0.025,0.104,0.344,0.011,0.014,0.067,0.107,0.353,0.383,0.014,0.164,0.044,0.149
model.000.08.pdb,0.553,0.107,0.347,0.185,0.222,0.015,0.200,0.732,1.000,0.000,0.180,0.315,0.333,0.000,0.319,0.604,0.160,0.027,0.131,0.242,0.011,0.015,0.113,0.130,0.208,0.500,0.015,0.217,0.048,0.200
model.000.09.pdb,0.000,0.176,0.000,0.015,0.014,0.286,0.027,0.000,0.000,1.000,0.070,0.000,0.000,0.667,0.000,0.013,0.033,0.446,0.090,0.000,0.439,0.237,0.016,0.108,0.000,0.000,0.532,0.041,0.129,0.027
model.000.10.pdb,0.097,0.023,0.412,0.273,0.440,0.254,0.592,0.149,0.180,0.070,1.000,0.540,0.321,0.069,0.360,0.137,0.306,0.051,0.705,0.078,0.090,0.154,0.300,0.615,0.000,0.158,0.014,0.646,0.500,0.696
model.000.11.pdb,0.219,0.011,0.651,0.380,0.291,0.177,0.604,0.267,0.315,0.000,0.540,1.000,0.255,0.013,0.340,0.206,0.189,0.012,0.510,0.155,0.043,0.194,0.185,0.509,0.045,0.161,0.000,0.472,0.420,0.481
model.000.12.pdb,0.183,0.038,0.208,0.051,0.561,0.000,0.207,0.255,0.333,0.000,0.321,0.255,1.000,0.000,0.667,0.339,0.474,0.000,0.196,0.027,0.047,0.000,0.500,0.169,0.127,0.526,0.000,0.392,0.123,0.321
model.000.13.pdb,0.000,0.173,0.000,0.015,0.029,0.259,0.069,0.000,0.000,0.667,0.069,0.013,0.000,1.000,0.000,0.012,0.016,0.519,0.156,0.000,0.455,0.213,0.000,0.169,0.000,0.000,0.460,0.054,0.145,0.041
model.000.14.pdb,0.190,0.013,0.292,0.071,0.590,0.000,0.259,0.241,0.319,0.000,0.360,0.340,0.667,0.000,1.000,0.304,0.543,0.000,0.226,0.058,0.061,0.000,0.486,0.194,0.071,0.400,0.000,0.408,0.148,0.417
