 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb,model.000.25.pdb,model.000.26.pdb,model.000.27.pdb,model.000.28.pdb,model.000.29.pdb
model.000.00.pdb,0.226,0.024,0.605,0.288,0.353,0.092,0.500,0.276,0.327,0.000,0.531,0.682,0.314,0.057,0.413,0.212,0.220,0.026,0.469,0.143,0.044,0.108,0.216,0.446,0.047,0.167,0.000,0.407,0.302,0.471
model.000.01.pdb,0.333,0.206,0.121,0.033,0.250,0.000,0.076,0.373,0.383,0.000,0.109,0.094,0.432,0.000,0.298,0.520,0.188,0.070,0.030,0.056,0.111,0.000,0.184,0.041,0.340,0.639,0.081,0.200,0.016,0.127
model.000.02.pdb,0.118,0.024,0.302,0.196,0.643,0.092,0.471,0.175,0.232,0.000,0.596,0.423,0.457,0.028,0.548,0.231,0.419,0.026,0.440,0.053,0.106,0.059,0.378,0.373,0.031,0.286,0.000,0.652,0.327,0.630
model.000.03.pdb,0.474,0.080,0.426,0.471,0.085,0.145,0.258,0.367,0.375,0.013,0.186,0.302,0.119,0.000,0.123,0.313,0.015,0.023,0.143,0.517,0.041,0.176,0.000,0.203,0.172,0.127,0.013,0.183,0.132,0.186
model.000.04.pdb,0.148,0.013,0.235,0.070,0.658,0.000,0.232,0.193,0.260,0.000,0.353,0.283,0.694,0.000,0.788,0.276,0.618,0.000,0.222,0.028,0.086,0.000,0.556,0.190,0.052,0.425,0.000,0.400,0.145,0.380
model.000.05.pdb,0.101,0.479,0.000,0.035,0.138,0.033,0.021,0.055,0.058,0.301,0.066,0.021,0.099,0.315,0.074,0.121,0.137,0.522,0.056,0.030,0.634,0.033,0.135,0.051,0.127,0.104,0.292,0.054,0.046,0.043
model.000.06.pdb,0.149,0.422,0.010,0.053,0.098,0.108,0.059,0.104,0.098,0.364,0.081,0.019,0.088,0.413,0.078,0.167,0.094,0.493,0.083,0.057,0.636,0.095,0.093,0.097,0.151,0.118,0.355,0.080,0.086,0.081
model.000.07.pdb,0.274,0.023,0.636,0.556,0.220,0.156,0.472,0.242,0.309,0.013,0.393,0.604,0.207,0.000,0.283,0.186,0.123,0.012,0.316,0.277,0.032,0.172,0.121,0.400,0.045,0.138,0.000,0.339,0.241,0.345
model.000.08.pdb,0.233,0.024,0.396,0.711,0.136,0.150,0.327,0.180,0.218,0.014,0.237,0.358,0.102,0.000,0.125,0.130,0.035,0.013,0.207,0.345,0.034,0.207,0.034,0.274,0.016,0.089,0.030,0.213,0.175,0.217
model.000.09.pdb,0.321,0.077,0.457,0.182,0.367,0.030,0.352,0.412,0.523,0.000,0.352,0.469,0.413,0.029,0.465,0.418,0.229,0.013,0.296,0.114,0.022,0.029,0.200,0.274,0.102,0.386,0.000,0.396,0.218,0.352
model.000.10.pdb,0.067,0.325,0.000,0.024,0.171,0.110,0.067,0.022,0.023,0.388,0.105,0.056,0.074,0.403,0.076,0.053,0.174,0.515,0.122,0.010,0.727,0.095,0.155,0.098,0.074,0.037,0.319,0.079,0.099,0.092
model.000.11.pdb,0.267,0.303,0.045,0.000,0.150,0.000,0.014,0.298,0.255,0.043,0.014,0.028,0.196,0.042,0.161,0.404,0.151,0.127,0.000,0.096,0.221,0.000,0.127,0.000,0.396,0.286,0.145,0.056,0.000,0.042
model.000.12.pdb,0.483,0.138,0.323,0.404,0.065,0.091,0.189,0.338,0.323,0.036,0.143,0.261,0.096,0.012,0.099,0.292,0.014,0.081,0.104,0.550,0.070,0.118,0.000,0.146,0.176,0.118,0.024,0.141,0.079,0.128
model.000.13.pdb,0.000,0.026,0.069,0.053,0.000,0.600,0.133,0.000,0.000,0.375,0.079,0.031,0.000,0.340,0.000,0.000,0.000,0.123,0.102,0.043,0.145,0.625,0.000,0.213,0.000,0.000,0.255,0.078,0.192,0.097
