 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb,model.000.25.pdb,model.000.26.pdb,model.000.27.pdb,model.000.28.pdb,model.000.29.pdb
model.000.00.pdb,0.300,0.206,0.612,0.014,0.078,0.067,0.000,0.095,0.298,0.303,0.047,0.012,0.121,0.323,0.125,0.549,0.170,0.111,0.079,0.431,0.236,0.095,0.106,0.115,0.480,0.107,0.053,0.053,0.067,0.288
model.000.01.pdb,0.205,0.011,0.099,0.000,0.011,0.011,0.087,0.360,0.012,0.067,0.253,0.011,0.014,0.079,0.434,0.219,0.000,0.011,0.011,0.224,0.300,0.013,0.037,0.507,0.273,0.011,0.029,0.099,0.293,0.132
model.000.02.pdb,0.127,0.596,0.412,0.250,0.246,0.431,0.000,0.012,0.489,0.491,0.000,0.254,0.208,0.197,0.000,0.161,0.310,0.327,0.250,0.206,0.034,0.292,0.571,0.000,0.136,0.434,0.039,0.043,0.023,0.169
model.000.03.pdb,0.030,0.327,0.346,0.235,0.156,0.268,0.015,0.051,0.625,0.674,0.026,0.242,0.057,0.375,0.047,0.094,0.128,0.164,0.159,0.057,0.000,0.200,0.422,0.035,0.083,0.451,0.000,0.094,0.024,0.047
model.000.04.pdb,0.268,0.389,0.161,0.000,0.583,0.197,0.094,0.062,0.098,0.113,0.206,0.068,0.568,0.026,0.057,0.091,0.528,0.490,0.596,0.226,0.034,0.590,0.200,0.000,0.047,0.226,0.395,0.000,0.219,0.353
model.000.05.pdb,0.000,0.149,0.057,0.675,0.164,0.471,0.263,0.160,0.150,0.174,0.050,0.761,0.000,0.125,0.068,0.000,0.000,0.190,0.132,0.000,0.000,0.085,0.214,0.070,0.000,0.368,0.000,0.396,0.083,0.000
model.000.06.pdb,0.085,0.558,0.238,0.315,0.439,0.681,0.134,0.034,0.327,0.371,0.060,0.417,0.231,0.104,0.054,0.054,0.326,0.549,0.446,0.093,0.000,0.447,0.674,0.011,0.028,0.608,0.093,0.083,0.080,0.136
model.000.07.pdb,0.333,0.270,0.571,0.029,0.110,0.083,0.000,0.034,0.241,0.235,0.061,0.024,0.167,0.254,0.078,0.674,0.224,0.130,0.111,0.473,0.347,0.136,0.145,0.044,0.440,0.125,0.094,0.000,0.044,0.370
model.000.08.pdb,0.392,0.316,0.636,0.032,0.134,0.090,0.000,0.037,0.264,0.274,0.065,0.026,0.234,0.234,0.082,0.500,0.310,0.159,0.154,0.490,0.196,0.192,0.158,0.034,0.314,0.152,0.152,0.014,0.047,0.468
model.000.09.pdb,0.014,0.000,0.000,0.190,0.096,0.149,0.542,0.561,0.000,0.025,0.323,0.258,0.000,0.051,0.333,0.000,0.000,0.069,0.082,0.013,0.000,0.000,0.045,0.324,0.000,0.053,0.000,0.434,0.329,0.000
model.000.10.pdb,0.116,0.620,0.182,0.183,0.608,0.549,0.134,0.058,0.237,0.288,0.128,0.308,0.333,0.062,0.054,0.040,0.452,0.612,0.588,0.108,0.000,0.619,0.469,0.021,0.028,0.491,0.180,0.040,0.159,0.210
model.000.11.pdb,0.118,0.778,0.328,0.207,0.373,0.418,0.071,0.023,0.412,0.474,0.048,0.273,0.235,0.200,0.032,0.132,0.333,0.444,0.404,0.174,0.031,0.457,0.543,0.011,0.125,0.528,0.074,0.000,0.068,0.175
model.000.12.pdb,0.438,0.327,0.207,0.000,0.345,0.127,0.000,0.025,0.083,0.100,0.127,0.013,0.647,0.027,0.059,0.207,0.559,0.315,0.377,0.370,0.157,0.429,0.164,0.000,0.102,0.121,0.500,0.000,0.145,0.595
model.000.13.pdb,0.013,0.039,0.000,0.186,0.157,0.182,0.630,0.500,0.014,0.037,0.359,0.254,0.000,0.050,0.386,0.000,0.000,0.130,0.127,0.013,0.000,0.015,0.060,0.301,0.000,0.110,0.000,0.400,0.362,0.014
model.000.14.pdb,0.314,0.420,0.214,0.000,0.385,0.169,0.031,0.025,0.125,0.172,0.099,0.042,0.800,0.056,0.023,0.193,0.645,0.380,0.449,0.286,0.096,0.526,0.216,0.000,0.125,0.161,0.485,0.000,0.133,0.477
model.000.15.pdb,0.547,0.211,0.482,0.013,0.130,0.063,0.013,0.079,0.182,0.184,0.120,0.011,0.232,0.216,0.144,0.660,0.245,0.120,0.132,0.673,0.358,0.159,0.085,0.086,0.472,0.074,0.185,0.000,0.111,0.481
model.000.16.pdb,0.212,0.264,0.085,0.000,0.388,0.121,0.088,0.069,0.000,0.044,0.194,0.044,0.613,0.000,0.037,0.085,0.424,0.327,0.489,0.153,0.039,0.500,0.115,0.012,0.035,0.115,0.552,0.000,0.227,0.298
