 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb,model.000.25.pdb,model.000.26.pdb,model.000.27.pdb,model.000.28.pdb,model.000.29.pdb
model.000.00.pdb,1.000,0.057,0.072,0.456,0.292,0.024,0.125,0.230,0.087,0.750,0.011,0.025,0.076,0.656,0.084,0.429,0.667,0.024,0.012,0.119,0.036,0.014,0.458,0.069,0.421,0.492,0.034,0.034,0.024,0.197
model.000.01.pdb,0.057,1.000,0.792,0.055,0.000,0.653,0.368,0.091,0.108,0.056,0.182,0.592,0.133,0.101,0.554,0.103,0.085,0.242,0.328,0.358,0.647,0.250,0.000,0.765,0.071,0.071,0.712,0.271,0.254,0.000
model.000.02.pdb,0.072,0.792,1.000,0.057,0.000,0.638,0.370,0.097,0.079,0.071,0.145,0.609,0.123,0.106,0.537,0.084,0.077,0.200,0.283,0.360,0.702,0.222,0.013,0.720,0.074,0.087,0.667,0.232,0.212,0.000
model.000.03.pdb,0.456,0.055,0.057,1.000,0.412,0.012,0.037,0.054,0.000,0.485,0.078,0.037,0.000,0.444,0.033,0.638,0.459,0.073,0.036,0.068,0.047,0.041,0.271,0.043,0.682,0.644,0.044,0.131,0.084,0.367
model.000.04.pdb,0.292,0.000,0.000,0.412,1.000,0.000,0.013,0.043,0.043,0.301,0.123,0.000,0.000,0.273,0.000,0.408,0.259,0.025,0.000,0.014,0.000,0.000,0.339,0.000,0.400,0.319,0.000,0.035,0.063,0.617
model.000.05.pdb,0.024,0.653,0.638,0.012,0.000,1.000,0.327,0.105,0.145,0.036,0.206,0.605,0.180,0.023,0.500,0.021,0.011,0.259,0.385,0.235,0.562,0.220,0.000,0.653,0.032,0.051,0.600,0.270,0.293,0.000
model.000.06.pdb,0.125,0.368,0.370,0.037,0.013,0.327,1.000,0.429,0.250,0.078,0.013,0.222,0.400,0.147,0.630,0.044,0.111,0.029,0.113,0.500,0.333,0.018,0.076,0.472,0.011,0.053,0.400,0.055,0.059,0.000
model.000.07.pdb,0.230,0.091,0.097,0.054,0.043,0.105,0.429,1.000,0.350,0.167,0.000,0.034,0.562,0.159,0.327,0.047,0.151,0.000,0.033,0.227,0.082,0.000,0.182,0.161,0.048,0.074,0.127,0.000,0.031,0.000
model.000.08.pdb,0.087,0.108,0.079,0.000,0.043,0.145,0.250,0.350,1.000,0.055,0.074,0.053,0.613,0.039,0.255,0.023,0.050,0.049,0.125,0.059,0.048,0.000,0.121,0.143,0.024,0.014,0.092,0.060,0.119,0.036
model.000.09.pdb,0.750,0.056,0.071,0.485,0.301,0.036,0.078,0.167,0.055,1.000,0.032,0.037,0.028,0.661,0.045,0.455,0.726,0.024,0.024,0.069,0.035,0.014,0.467,0.056,0.486,0.574,0.044,0.080,0.023,0.191
model.000.10.pdb,0.011,0.182,0.145,0.078,0.123,0.206,0.013,0.000,0.074,0.032,1.000,0.162,0.045,0.021,0.143,0.038,0.040,0.627,0.491,0.000,0.133,0.127,0.024,0.123,0.071,0.034,0.125,0.607,0.604,0.132
model.000.11.pdb,0.025,0.592,0.609,0.037,0.000,0.605,0.222,0.034,0.053,0.037,0.162,1.000,0.057,0.012,0.364,0.067,0.011,0.207,0.327,0.176,0.636,0.381,0.000,0.472,0.069,0.068,0.638,0.222,0.241,0.000
