 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb,model.000.25.pdb,model.000.26.pdb,model.000.27.pdb,model.000.28.pdb,model.000.29.pdb
model.000.00.pdb,0.077,0.373,0.375,0.048,0.000,0.469,0.408,0.260,0.260,0.062,0.188,0.278,0.372,0.072,0.560,0.054,0.033,0.237,0.358,0.260,0.293,0.034,0.028,0.473,0.043,0.079,0.379,0.250,0.271,0.000
model.000.01.pdb,0.194,0.041,0.028,0.078,0.185,0.062,0.102,0.157,0.475,0.171,0.099,0.032,0.310,0.181,0.121,0.080,0.171,0.030,0.079,0.000,0.014,0.000,0.296,0.055,0.095,0.083,0.041,0.041,0.076,0.189
model.000.02.pdb,0.135,0.328,0.305,0.024,0.013,0.333,0.605,0.400,0.340,0.089,0.051,0.211,0.475,0.127,0.592,0.032,0.107,0.074,0.161,0.312,0.271,0.000,0.104,0.421,0.021,0.025,0.333,0.096,0.103,0.000
model.000.03.pdb,0.011,0.254,0.232,0.067,0.060,0.290,0.085,0.014,0.127,0.056,0.579,0.242,0.081,0.021,0.229,0.039,0.041,0.528,0.633,0.029,0.221,0.113,0.038,0.219,0.061,0.059,0.189,0.600,0.566,0.071
model.000.04.pdb,0.147,0.136,0.127,0.000,0.000,0.200,0.432,0.583,0.500,0.096,0.041,0.086,0.710,0.107,0.358,0.000,0.101,0.047,0.119,0.163,0.095,0.000,0.153,0.210,0.000,0.013,0.156,0.057,0.113,0.000
model.000.05.pdb,0.683,0.062,0.065,0.557,0.355,0.011,0.096,0.181,0.062,0.742,0.030,0.011,0.052,0.682,0.064,0.538,0.742,0.022,0.022,0.104,0.021,0.012,0.477,0.051,0.532,0.507,0.052,0.062,0.032,0.254
model.000.06.pdb,0.547,0.108,0.090,0.469,0.299,0.020,0.098,0.118,0.080,0.573,0.046,0.063,0.046,0.613,0.078,0.585,0.736,0.029,0.030,0.105,0.092,0.069,0.395,0.097,0.561,0.407,0.098,0.067,0.049,0.237
model.000.07.pdb,0.024,0.448,0.379,0.034,0.000,0.531,0.241,0.138,0.200,0.023,0.393,0.358,0.216,0.022,0.421,0.031,0.021,0.490,0.667,0.100,0.368,0.123,0.000,0.424,0.021,0.049,0.339,0.509,0.500,0.000
model.000.08.pdb,0.012,0.362,0.316,0.049,0.026,0.373,0.136,0.052,0.089,0.024,0.429,0.340,0.096,0.012,0.288,0.032,0.022,0.578,0.667,0.052,0.281,0.180,0.000,0.274,0.022,0.039,0.300,0.560,0.587,0.000
model.000.09.pdb,0.079,0.234,0.210,0.037,0.026,0.321,0.340,0.220,0.488,0.077,0.143,0.175,0.390,0.048,0.357,0.043,0.058,0.145,0.273,0.130,0.177,0.000,0.075,0.295,0.033,0.039,0.238,0.164,0.197,0.016
