 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb,model.000.25.pdb,model.000.26.pdb,model.000.27.pdb,model.000.28.pdb,model.000.29.pdb
model.000.00.pdb,0.394,0.067,0.057,0.700,0.333,0.024,0.024,0.026,0.013,0.464,0.066,0.063,0.000,0.405,0.033,0.662,0.440,0.060,0.048,0.026,0.071,0.118,0.254,0.043,0.734,0.617,0.067,0.118,0.059,0.323
model.000.01.pdb,0.323,0.145,0.136,0.133,0.082,0.111,0.367,0.525,0.173,0.254,0.000,0.031,0.295,0.338,0.288,0.129,0.319,0.000,0.014,0.356,0.141,0.000,0.241,0.215,0.106,0.143,0.164,0.000,0.014,0.000
model.000.02.pdb,0.043,0.649,0.607,0.042,0.000,0.545,0.302,0.086,0.070,0.053,0.159,0.640,0.108,0.062,0.422,0.133,0.071,0.211,0.250,0.310,0.660,0.423,0.000,0.567,0.124,0.105,0.722,0.208,0.222,0.000
model.000.03.pdb,0.172,0.220,0.214,0.164,0.059,0.105,0.250,0.174,0.019,0.149,0.000,0.071,0.087,0.290,0.211,0.219,0.273,0.000,0.000,0.500,0.222,0.083,0.102,0.263,0.160,0.159,0.268,0.000,0.000,0.000
model.000.04.pdb,0.250,0.034,0.035,0.508,0.559,0.012,0.000,0.014,0.014,0.276,0.120,0.000,0.000,0.266,0.011,0.453,0.268,0.063,0.037,0.000,0.024,0.000,0.250,0.022,0.427,0.348,0.000,0.110,0.089,0.529
model.000.05.pdb,0.072,0.109,0.081,0.000,0.029,0.170,0.311,0.395,0.828,0.027,0.059,0.054,0.690,0.039,0.308,0.011,0.025,0.033,0.107,0.104,0.066,0.000,0.123,0.183,0.012,0.014,0.111,0.045,0.102,0.036
model.000.06.pdb,0.414,0.116,0.082,0.569,0.263,0.012,0.063,0.054,0.000,0.464,0.054,0.050,0.000,0.552,0.069,0.662,0.588,0.048,0.048,0.130,0.098,0.101,0.254,0.103,0.586,0.540,0.118,0.092,0.059,0.206
model.000.07.pdb,0.203,0.270,0.267,0.089,0.053,0.224,0.659,0.476,0.216,0.133,0.013,0.133,0.349,0.257,0.481,0.102,0.211,0.014,0.076,0.442,0.254,0.000,0.159,0.379,0.067,0.095,0.295,0.039,0.057,0.000
model.000.08.pdb,0.024,0.080,0.069,0.074,0.125,0.125,0.062,0.050,0.235,0.049,0.491,0.062,0.157,0.035,0.114,0.032,0.057,0.327,0.333,0.000,0.056,0.000,0.072,0.095,0.067,0.025,0.067,0.356,0.389,0.136
model.000.09.pdb,0.534,0.049,0.038,0.243,0.246,0.013,0.138,0.236,0.153,0.468,0.024,0.000,0.085,0.567,0.092,0.272,0.556,0.000,0.000,0.133,0.053,0.000,0.549,0.062,0.232,0.261,0.049,0.000,0.013,0.143
model.000.10.pdb,0.361,0.111,0.118,0.147,0.067,0.060,0.308,0.442,0.127,0.269,0.000,0.015,0.208,0.375,0.242,0.183,0.373,0.000,0.000,0.348,0.138,0.000,0.237,0.159,0.145,0.157,0.145,0.000,0.000,0.000
model.000.11.pdb,0.011,0.141,0.118,0.092,0.141,0.159,0.027,0.000,0.127,0.033,0.698,0.116,0.063,0.021,0.132,0.060,0.041,0.528,0.429,0.000,0.107,0.045,0.038,0.113,0.095,0.034,0.086,0.517,0.537,0.154
model.000.12.pdb,0.027,0.286,0.283,0.068,0.000,0.235,0.034,0.000,0.000,0.041,0.123,0.463,0.000,0.039,0.150,0.113,0.050,0.143,0.145,0.102,0.375,0.677,0.000,0.241,0.145,0.106,0.340,0.145,0.138,0.000
model.000.13.pdb,0.258,0.000,0.000,0.306,0.596,0.000,0.000,0.056,0.056,0.290,0.101,0.000,0.000,0.277,0.000,0.333,0.243,0.000,0.000,0.000,0.000,0.000,0.360,0.000,0.324,0.310,0.000,0.000,0.015,0.488
model.000.14.pdb,0.039,0.375,0.352,0.025,0.000,0.478,0.444,0.283,0.372,0.025,0.147,0.275,0.447,0.024,0.574,0.022,0.023,0.190,0.333,0.204,0.315,0.075,0.000,0.453,0.011,0.026,0.382,0.206,0.246,0.000
model.000.15.pdb,0.105,0.000,0.000,0.279,0.397,0.000,0.000,0.000,0.000,0.103,0.123,0.000,0.000,0.113,0.000,0.256,0.094,0.141,0.059,0.000,0.000,0.070,0.104,0.000,0.263,0.206,0.000,0.127,0.087,0.340
model.000.16.pdb,0.034,0.706,0.694,0.045,0.000,0.529,0.415,0.113,0.078,0.057,0.114,0.500,0.140,0.131,0.556,0.130,0.100,0.145,0.238,0.438,0.653,0.218,0.026,0.706,0.085,0.060,0.686,0.194,0.157,0.000
model.000.17.pdb,0.131,0.533,0.517,0.043,0.011,0.456,0.633,0.370,0.254,0.102,0.134,0.333,0.373,0.163,0.816,0.058,0.118,0.167,0.239,0.345,0.458,0.075,0.076,0.614,0.039,0.081,0.468,0.197,0.178,0.000
model.000.18.pdb,0.258,0.042,0.014,0.350,0.172,0.000,0.000,0.036,0.000,0.270,0.000,0.068,0.000,0.277,0.000,0.415,0.279,0.031,0.000,0.036,0.045,0.222,0.115,0.027,0.429,0.407,0.072,0.028,0.000,0.070
model.000.19.pdb,0.049,0.064,0.053,0.035,0.137,0.104,0.109,0.140,0.413,0.060,0.333,0.044,0.271,0.058,0.143,0.031,0.067,0.154,0.213,0.000,0.027,0.000,0.101,0.092,0.065,0.012,0.051,0.188,0.242,0.131
model.000.20.pdb,0.623,0.103,0.108,0.417,0.247,0.012,0.183,0.238,0.054,0.578,0.010,0.024,0.088,0.677,0.134,0.449,0.714,0.011,0.000,0.219,0.111,0.041,0.348,0.116,0.423,0.448,0.105,0.033,0.011,0.139
model.000.21.pdb,0.343,0.145,0.122,0.388,0.160,0.040,0.103,0.078,0.000,0.373,0.035,0.087,0.000,0.397,0.077,0.444,0.456,0.053,0.040,0.190,0.125,0.098,0.159,0.145,0.417,0.443,0.147,0.089,0.052,0.090
model.000.22.pdb,0.118,0.439,0.393,0.023,0.000,0.404,0.795,0.362,0.255,0.074,0.064,0.273,0.364,0.139,0.681,0.053,0.119,0.088,0.177,0.422,0.407,0.033,0.056,0.577,0.010,0.037,0.446,0.110,0.118,0.000
model.000.23.pdb,0.035,0.197,0.174,0.096,0.049,0.188,0.058,0.031,0.136,0.047,0.564,0.141,0.105,0.045,0.155,0.052,0.066,0.571,0.551,0.000,0.129,0.066,0.013,0.149,0.064,0.062,0.120,0.615,0.646,0.092
model.000.24.pdb,0.037,0.673,0.660,0.035,0.000,0.553,0.458,0.143,0.103,0.024,0.092,0.458,0.176,0.111,0.580,0.088,0.093,0.121,0.217,0.524,0.617,0.216,0.014,0.745,0.043,0.037,0.653,0.141,0.152,0.000
model.000.25.pdb,0.033,0.243,0.222,0.089,0.082,0.258,0.067,0.028,0.156,0.078,0.603,0.212,0.094,0.042,0.203,0.069,0.061,0.615,0.596,0.014,0.178,0.125,0.049,0.179,0.092,0.094,0.167,0.655,0.593,0.083
model.000.26.pdb,0.024,0.191,0.167,0.101,0.052,0.161,0.015,0.000,0.000,0.036,0.262,0.302,0.000,0.023,0.068,0.126,0.033,0.352,0.241,0.033,0.230,0.525,0.000,0.110,0.143,0.123,0.231,0.290,0.271,0.031
model.000.27.pdb,0.649,0.046,0.061,0.347,0.264,0.025,0.162,0.259,0.074,0.548,0.011,0.000,0.113,0.597,0.114,0.350,0.609,0.000,0.000,0.197,0.062,0.014,0.448,0.096,0.342,0.394,0.071,0.000,0.024,0.185
model.000.28.pdb,0.090,0.000,0.000,0.134,0.296,0.000,0.000,0.000,0.083,0.119,0.268,0.000,0.021,0.099,0.000,0.101,0.108,0.088,0.070,0.000,0.000,0.000,0.189,0.000,0.149,0.109,0.000,0.113,0.103,0.366
model.000.29.pdb,0.517,0.000,0.000,0.247,0.328,0.000,0.090,0.218,0.196,0.452,0.036,0.000,0.086,0.431,0.038,0.244,0.426,0.000,0.000,0.047,0.000,0.000,0.660,0.000,0.235,0.246,0.000,0.000,0.013,0.224
