 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb,model.000.25.pdb,model.000.26.pdb,model.000.27.pdb,model.000.28.pdb,model.000.29.pdb
model.000.00.pdb,0.108,0.000,0.484,0.048,0.011,0.643,0.099,0.047,0.173,0.394,0.167,0.288,0.182,0.000,0.026,0.026,0.414,0.373,0.315,0.417,0.038,0.023,0.059,0.414,0.477,0.567,0.656,0.048,0.036,0.000
model.000.01.pdb,0.190,0.176,0.000,0.700,0.755,0.035,0.103,0.851,0.062,0.060,0.013,0.141,0.190,0.197,0.242,0.500,0.000,0.047,0.000,0.000,0.113,0.735,0.740,0.079,0.120,0.083,0.032,0.000,0.729,0.194
model.000.02.pdb,0.204,0.137,0.000,0.620,0.708,0.037,0.076,0.804,0.038,0.049,0.000,0.150,0.183,0.157,0.197,0.449,0.000,0.024,0.000,0.000,0.103,0.761,0.804,0.070,0.113,0.061,0.033,0.000,0.756,0.152
model.000.03.pdb,0.014,0.069,0.508,0.058,0.011,0.357,0.013,0.033,0.058,0.557,0.101,0.129,0.038,0.071,0.051,0.038,0.181,0.532,0.547,0.375,0.090,0.011,0.045,0.594,0.269,0.366,0.552,0.115,0.035,0.049
model.000.04.pdb,0.015,0.074,0.586,0.000,0.000,0.328,0.071,0.000,0.197,0.348,0.209,0.058,0.027,0.049,0.013,0.000,0.339,0.435,0.632,0.640,0.129,0.000,0.000,0.352,0.134,0.213,0.361,0.319,0.000,0.013
model.000.05.pdb,0.224,0.182,0.000,0.689,0.638,0.013,0.158,0.696,0.086,0.026,0.029,0.085,0.138,0.206,0.172,0.404,0.000,0.000,0.000,0.000,0.167,0.689,0.625,0.012,0.037,0.000,0.000,0.000,0.574,0.224
model.000.06.pdb,0.629,0.014,0.026,0.377,0.396,0.116,0.189,0.364,0.141,0.027,0.078,0.356,0.575,0.014,0.032,0.167,0.081,0.013,0.000,0.014,0.063,0.431,0.415,0.024,0.209,0.097,0.049,0.000,0.449,0.030
model.000.07.pdb,0.545,0.000,0.104,0.155,0.115,0.224,0.213,0.078,0.218,0.014,0.125,0.447,0.583,0.000,0.000,0.018,0.196,0.029,0.027,0.103,0.034,0.136,0.113,0.040,0.271,0.177,0.143,0.000,0.140,0.000
model.000.08.pdb,0.342,0.030,0.042,0.175,0.097,0.076,0.676,0.095,0.523,0.014,0.432,0.100,0.295,0.031,0.000,0.000,0.173,0.014,0.014,0.067,0.196,0.117,0.078,0.026,0.056,0.043,0.067,0.048,0.083,0.069
model.000.09.pdb,0.057,0.022,0.492,0.071,0.022,0.593,0.081,0.045,0.169,0.403,0.147,0.219,0.111,0.011,0.025,0.039,0.400,0.324,0.307,0.359,0.063,0.034,0.057,0.443,0.441,0.574,0.689,0.063,0.035,0.000
