 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb,model.000.25.pdb,model.000.26.pdb,model.000.27.pdb,model.000.28.pdb,model.000.29.pdb
model.000.00.pdb,0.108,0.190,0.204,0.014,0.015,0.224,0.629,0.545,0.342,0.057,0.014,0.118,0.567,0.100,0.467,0.000,0.066,0.017,0.091,0.275,0.167,0.000,0.088,0.278,0.000,0.014,0.214,0.046,0.068,0.000
model.000.01.pdb,0.000,0.176,0.137,0.069,0.074,0.182,0.014,0.000,0.030,0.022,0.796,0.154,0.016,0.011,0.135,0.030,0.031,0.646,0.500,0.000,0.141,0.136,0.000,0.115,0.052,0.011,0.132,0.593,0.620,0.074
model.000.02.pdb,0.484,0.000,0.000,0.508,0.586,0.000,0.026,0.104,0.042,0.492,0.081,0.000,0.014,0.449,0.000,0.473,0.486,0.012,0.012,0.028,0.000,0.000,0.441,0.000,0.486,0.409,0.000,0.022,0.049,0.472
model.000.03.pdb,0.048,0.700,0.620,0.058,0.000,0.689,0.377,0.155,0.175,0.071,0.211,0.490,0.235,0.069,0.608,0.062,0.054,0.283,0.407,0.218,0.519,0.140,0.013,0.635,0.064,0.075,0.527,0.333,0.295,0.000
model.000.04.pdb,0.011,0.755,0.708,0.011,0.000,0.638,0.396,0.115,0.097,0.022,0.145,0.644,0.164,0.056,0.566,0.073,0.043,0.182,0.283,0.388,0.702,0.294,0.013,0.686,0.052,0.036,0.848,0.197,0.212,0.000
model.000.05.pdb,0.643,0.035,0.037,0.357,0.328,0.013,0.116,0.224,0.076,0.593,0.011,0.000,0.063,0.702,0.075,0.377,0.656,0.000,0.000,0.145,0.037,0.000,0.608,0.060,0.351,0.385,0.048,0.011,0.025,0.230
model.000.06.pdb,0.099,0.103,0.076,0.013,0.071,0.158,0.189,0.213,0.676,0.081,0.101,0.086,0.395,0.092,0.220,0.034,0.087,0.098,0.179,0.000,0.045,0.000,0.193,0.136,0.034,0.027,0.088,0.104,0.169,0.052
model.000.07.pdb,0.047,0.851,0.804,0.033,0.000,0.696,0.364,0.078,0.095,0.045,0.173,0.596,0.121,0.080,0.556,0.083,0.076,0.215,0.322,0.380,0.653,0.241,0.000,0.776,0.062,0.060,0.720,0.229,0.246,0.000
model.000.08.pdb,0.173,0.062,0.038,0.058,0.197,0.086,0.141,0.218,0.523,0.169,0.162,0.043,0.312,0.148,0.155,0.074,0.155,0.055,0.118,0.015,0.013,0.000,0.279,0.090,0.099,0.049,0.050,0.077,0.129,0.183
model.000.09.pdb,0.394,0.060,0.049,0.557,0.348,0.026,0.027,0.014,0.014,0.403,0.011,0.069,0.000,0.426,0.036,0.582,0.443,0.013,0.000,0.076,0.078,0.095,0.242,0.060,0.651,0.525,0.086,0.035,0.025,0.339
model.000.10.pdb,0.167,0.013,0.000,0.101,0.209,0.029,0.078,0.125,0.432,0.147,0.155,0.000,0.229,0.156,0.099,0.089,0.148,0.058,0.075,0.016,0.000,0.000,0.298,0.038,0.129,0.079,0.013,0.067,0.071,0.218
model.000.11.pdb,0.288,0.141,0.150,0.129,0.058,0.085,0.356,0.447,0.100,0.219,0.000,0.017,0.214,0.328,0.250,0.139,0.308,0.000,0.000,0.447,0.175,0.000,0.200,0.197,0.100,0.138,0.180,0.000,0.000,0.000
model.000.12.pdb,0.182,0.190,0.183,0.038,0.027,0.138,0.575,0.583,0.295,0.111,0.013,0.050,0.472,0.221,0.440,0.070,0.192,0.000,0.031,0.425,0.169,0.000,0.115,0.293,0.034,0.041,0.213,0.014,0.030,0.000
