 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb,model.000.25.pdb,model.000.26.pdb,model.000.27.pdb,model.000.28.pdb,model.000.29.pdb
model.000.00.pdb,0.022,0.000,0.079,0.508,0.044,0.484,0.035,0.538,0.024,0.000,0.141,0.058,0.044,0.389,0.141,0.023,0.049,0.026,0.037,0.014,0.049,0.089,0.037,0.391,0.085,0.013,0.035,0.014,0.062,0.322
model.000.01.pdb,0.250,0.425,0.215,0.172,0.200,0.219,0.014,0.203,0.211,0.452,0.000,0.000,0.167,0.361,0.037,0.180,0.015,0.088,0.079,0.037,0.015,0.174,0.015,0.215,0.000,0.703,0.180,0.018,0.030,0.173
model.000.02.pdb,0.475,0.075,0.649,0.169,0.603,0.107,0.211,0.126,0.500,0.101,0.463,0.156,0.643,0.021,0.000,0.611,0.167,0.571,0.037,0.060,0.217,0.745,0.224,0.000,0.176,0.114,0.582,0.263,0.051,0.169
model.000.03.pdb,0.193,0.111,0.333,0.333,0.246,0.392,0.000,0.310,0.148,0.149,0.075,0.000,0.250,0.206,0.000,0.250,0.000,0.250,0.000,0.000,0.000,0.276,0.000,0.091,0.000,0.302,0.250,0.000,0.000,0.350
model.000.04.pdb,0.000,0.000,0.000,0.189,0.022,0.300,0.037,0.315,0.000,0.000,0.013,0.074,0.011,0.315,0.211,0.000,0.051,0.000,0.013,0.015,0.051,0.011,0.039,0.373,0.153,0.000,0.012,0.014,0.080,0.121
model.000.05.pdb,0.288,0.441,0.109,0.000,0.148,0.014,0.105,0.000,0.220,0.472,0.000,0.082,0.150,0.056,0.067,0.123,0.109,0.019,0.463,0.500,0.109,0.106,0.073,0.029,0.055,0.310,0.164,0.140,0.364,0.000
model.000.06.pdb,0.057,0.000,0.143,0.586,0.092,0.727,0.035,0.695,0.036,0.013,0.110,0.046,0.068,0.449,0.074,0.060,0.024,0.082,0.000,0.000,0.049,0.140,0.050,0.315,0.074,0.096,0.085,0.000,0.012,0.472
model.000.07.pdb,0.434,0.381,0.333,0.134,0.362,0.197,0.043,0.167,0.373,0.442,0.000,0.027,0.322,0.217,0.000,0.327,0.061,0.145,0.150,0.163,0.061,0.302,0.046,0.127,0.036,0.600,0.352,0.074,0.113,0.127
model.000.08.pdb,0.085,0.073,0.066,0.000,0.081,0.026,0.460,0.024,0.076,0.086,0.015,0.520,0.097,0.037,0.261,0.057,0.543,0.016,0.458,0.289,0.392,0.064,0.327,0.038,0.338,0.032,0.072,0.255,0.628,0.000
model.000.09.pdb,0.079,0.185,0.089,0.188,0.062,0.393,0.013,0.304,0.027,0.214,0.000,0.013,0.037,0.552,0.189,0.039,0.000,0.045,0.154,0.189,0.000,0.060,0.000,0.433,0.000,0.321,0.053,0.000,0.103,0.193
