 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb,model.000.25.pdb,model.000.26.pdb,model.000.27.pdb,model.000.28.pdb,model.000.29.pdb
model.000.00.pdb,0.113,0.566,0.212,0.259,0.556,0.620,0.114,0.045,0.250,0.299,0.098,0.381,0.320,0.087,0.042,0.039,0.432,0.620,0.566,0.105,0.000,0.591,0.542,0.021,0.014,0.556,0.196,0.067,0.128,0.203
model.000.01.pdb,0.196,0.250,0.069,0.000,0.375,0.105,0.053,0.042,0.018,0.030,0.161,0.030,0.714,0.000,0.025,0.088,0.452,0.312,0.444,0.138,0.062,0.486,0.120,0.000,0.018,0.100,0.654,0.000,0.197,0.311
model.000.02.pdb,0.037,0.426,0.151,0.375,0.443,0.667,0.323,0.128,0.234,0.282,0.146,0.517,0.129,0.071,0.143,0.024,0.196,0.518,0.450,0.060,0.000,0.321,0.472,0.041,0.026,0.600,0.016,0.151,0.188,0.066
model.000.03.pdb,0.039,0.025,0.000,0.141,0.120,0.125,0.500,0.576,0.000,0.036,0.343,0.208,0.000,0.087,0.389,0.026,0.000,0.080,0.107,0.037,0.030,0.014,0.042,0.400,0.027,0.063,0.000,0.429,0.366,0.000
model.000.04.pdb,0.051,0.509,0.186,0.357,0.475,0.714,0.209,0.079,0.300,0.364,0.107,0.500,0.169,0.111,0.096,0.025,0.245,0.556,0.458,0.061,0.000,0.377,0.674,0.031,0.013,0.673,0.067,0.092,0.124,0.096
model.000.05.pdb,0.123,0.049,0.012,0.041,0.160,0.105,0.473,0.627,0.000,0.047,0.550,0.111,0.000,0.023,0.585,0.064,0.000,0.135,0.162,0.115,0.091,0.043,0.041,0.443,0.099,0.101,0.000,0.186,0.587,0.053
model.000.06.pdb,0.087,0.295,0.583,0.190,0.053,0.149,0.000,0.011,0.578,0.596,0.000,0.169,0.069,0.566,0.032,0.288,0.135,0.085,0.053,0.194,0.083,0.065,0.228,0.011,0.291,0.311,0.018,0.118,0.000,0.123
model.000.07.pdb,0.087,0.046,0.023,0.080,0.122,0.085,0.410,0.603,0.025,0.080,0.420,0.159,0.000,0.056,0.521,0.048,0.000,0.113,0.152,0.082,0.069,0.026,0.038,0.472,0.092,0.070,0.000,0.239,0.458,0.024
model.000.08.pdb,0.074,0.604,0.194,0.288,0.444,0.630,0.075,0.024,0.302,0.350,0.050,0.373,0.250,0.110,0.022,0.014,0.357,0.531,0.453,0.068,0.000,0.524,0.659,0.011,0.015,0.592,0.122,0.057,0.083,0.145
model.000.09.pdb,0.250,0.302,0.082,0.000,0.429,0.136,0.085,0.053,0.017,0.043,0.206,0.043,0.625,0.000,0.049,0.100,0.441,0.367,0.500,0.186,0.058,0.514,0.132,0.000,0.034,0.148,0.567,0.000,0.221,0.340
