 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb,model.000.25.pdb,model.000.26.pdb,model.000.27.pdb,model.000.28.pdb,model.000.29.pdb
model.000.00.pdb,1.000,0.097,0.440,0.311,0.347,0.068,0.040,0.531,0.273,0.522,0.082,0.029,0.250,0.032,0.415,0.000,0.000,0.222,0.415,0.037,0.182,0.068,0.375,0.340,0.293,0.522,0.025,0.174,0.308,0.200
model.000.01.pdb,0.097,1.000,0.236,0.134,0.319,0.184,0.220,0.076,0.048,0.294,0.114,0.511,0.125,0.000,0.044,0.153,0.274,0.490,0.145,0.286,0.271,0.000,0.177,0.432,0.014,0.179,0.068,0.069,0.488,0.550
model.000.02.pdb,0.440,0.236,1.000,0.127,0.535,0.093,0.118,0.293,0.186,0.489,0.108,0.125,0.090,0.000,0.471,0.000,0.064,0.167,0.596,0.118,0.444,0.039,0.242,0.523,0.250,0.795,0.012,0.052,0.308,0.269
model.000.03.pdb,0.311,0.134,0.127,1.000,0.088,0.041,0.047,0.482,0.529,0.279,0.020,0.111,0.691,0.090,0.092,0.096,0.071,0.349,0.107,0.081,0.000,0.012,0.518,0.119,0.221,0.147,0.034,0.561,0.267,0.233
model.000.04.pdb,0.347,0.319,0.535,0.088,1.000,0.128,0.114,0.232,0.123,0.422,0.103,0.179,0.068,0.000,0.255,0.000,0.055,0.183,0.533,0.129,0.595,0.014,0.246,0.694,0.078,0.455,0.000,0.042,0.348,0.395
model.000.05.pdb,0.068,0.184,0.093,0.041,0.128,1.000,0.636,0.021,0.022,0.057,0.676,0.324,0.081,0.048,0.155,0.205,0.458,0.138,0.141,0.646,0.192,0.329,0.021,0.099,0.021,0.057,0.425,0.051,0.084,0.100
model.000.06.pdb,0.040,0.220,0.118,0.047,0.114,0.636,1.000,0.029,0.030,0.097,0.531,0.333,0.083,0.141,0.151,0.209,0.402,0.185,0.138,0.500,0.141,0.370,0.058,0.125,0.070,0.074,0.326,0.037,0.111,0.140
model.000.07.pdb,0.531,0.076,0.293,0.482,0.232,0.021,0.029,1.000,0.587,0.404,0.011,0.014,0.397,0.062,0.238,0.014,0.012,0.194,0.258,0.035,0.115,0.000,0.600,0.250,0.345,0.352,0.012,0.333,0.268,0.169
model.000.08.pdb,0.273,0.048,0.186,0.529,0.123,0.022,0.030,0.587,1.000,0.193,0.011,0.000,0.431,0.086,0.141,0.014,0.025,0.172,0.159,0.037,0.033,0.013,0.596,0.140,0.304,0.236,0.039,0.411,0.138,0.103
model.000.09.pdb,0.522,0.294,0.489,0.279,0.422,0.057,0.097,0.404,0.193,1.000,0.023,0.167,0.203,0.000,0.281,0.014,0.066,0.364,0.327,0.092,0.235,0.013,0.415,0.512,0.177,0.478,0.013,0.145,0.535,0.488
