 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb,model.000.25.pdb,model.000.26.pdb,model.000.27.pdb,model.000.28.pdb,model.000.29.pdb
model.000.00.pdb,0.048,0.207,0.269,0.105,0.025,0.292,0.036,0.340,0.220,0.027,0.109,0.212,0.086,0.000,0.581,0.000,0.393,0.509,0.015,0.213,0.074,0.040,0.460,0.246,0.377,0.277,0.014,0.079,0.034,0.027
model.000.01.pdb,0.092,0.082,0.025,0.000,0.097,0.415,0.064,0.098,0.283,0.352,0.081,0.134,0.000,0.240,0.185,0.079,0.028,0.145,0.000,0.429,0.122,0.000,0.113,0.125,0.030,0.145,0.000,0.164,0.267,0.385
model.000.02.pdb,0.024,0.273,0.250,0.125,0.000,0.409,0.048,0.479,0.143,0.167,0.246,0.067,0.033,0.015,0.545,0.000,0.322,0.627,0.000,0.194,0.130,0.040,0.659,0.101,0.352,0.107,0.000,0.108,0.017,0.134
model.000.03.pdb,0.080,0.000,0.208,0.000,0.058,0.111,0.056,0.053,0.481,0.024,0.000,0.630,0.164,0.057,0.246,0.067,0.211,0.213,0.014,0.323,0.011,0.062,0.141,0.647,0.191,0.784,0.212,0.000,0.190,0.037
model.000.04.pdb,0.000,0.362,0.113,0.056,0.000,0.556,0.000,0.383,0.158,0.183,0.250,0.072,0.000,0.000,0.409,0.000,0.143,0.426,0.000,0.259,0.125,0.014,0.426,0.111,0.175,0.100,0.000,0.152,0.019,0.186
model.000.05.pdb,0.493,0.296,0.029,0.181,0.364,0.037,0.493,0.177,0.044,0.500,0.310,0.052,0.024,0.294,0.011,0.160,0.064,0.117,0.257,0.055,0.603,0.370,0.080,0.054,0.044,0.061,0.033,0.576,0.107,0.508
model.000.06.pdb,0.526,0.229,0.114,0.203,0.322,0.056,0.566,0.157,0.083,0.473,0.272,0.057,0.092,0.273,0.042,0.143,0.134,0.117,0.289,0.104,0.526,0.410,0.117,0.059,0.094,0.065,0.061,0.462,0.134,0.403
model.000.07.pdb,0.047,0.106,0.333,0.031,0.036,0.204,0.047,0.194,0.271,0.000,0.028,0.339,0.158,0.000,0.479,0.027,0.328,0.410,0.000,0.185,0.011,0.052,0.310,0.411,0.333,0.458,0.190,0.012,0.032,0.000
model.000.08.pdb,0.049,0.046,0.297,0.000,0.052,0.091,0.049,0.113,0.228,0.000,0.000,0.345,0.151,0.016,0.269,0.077,0.246,0.266,0.032,0.125,0.012,0.056,0.203,0.451,0.246,0.558,0.321,0.000,0.035,0.000
model.000.09.pdb,0.049,0.115,0.169,0.052,0.013,0.463,0.024,0.232,0.321,0.119,0.045,0.200,0.034,0.032,0.571,0.000,0.226,0.373,0.016,0.385,0.012,0.013,0.392,0.213,0.246,0.246,0.000,0.013,0.093,0.104
model.000.10.pdb,0.486,0.343,0.105,0.258,0.287,0.038,0.529,0.247,0.022,0.448,0.400,0.020,0.064,0.265,0.035,0.150,0.101,0.144,0.323,0.011,0.726,0.420,0.134,0.043,0.094,0.051,0.070,0.619,0.080,0.371
model.000.11.pdb,0.176,0.167,0.000,0.033,0.186,0.148,0.130,0.092,0.241,0.510,0.145,0.127,0.000,0.375,0.046,0.091,0.000,0.064,0.048,0.298,0.243,0.054,0.074,0.086,0.000,0.122,0.000,0.262,0.386,0.551
model.000.12.pdb,0.136,0.000,0.140,0.000,0.143,0.103,0.087,0.037,0.491,0.047,0.000,0.722,0.101,0.097,0.209,0.133,0.152,0.171,0.013,0.299,0.031,0.083,0.103,0.618,0.132,0.714,0.214,0.022,0.194,0.085
model.000.13.pdb,0.176,0.000,0.444,0.143,0.027,0.000,0.176,0.016,0.000,0.000,0.032,0.043,0.556,0.000,0.000,0.066,0.224,0.056,0.255,0.000,0.111,0.183,0.048,0.062,0.179,0.086,0.444,0.027,0.000,0.000
model.000.14.pdb,0.059,0.431,0.333,0.435,0.012,0.182,0.169,0.644,0.056,0.194,0.370,0.037,0.048,0.045,0.340,0.000,0.473,0.483,0.078,0.069,0.250,0.191,0.551,0.068,0.520,0.075,0.027,0.214,0.000,0.097
model.000.15.pdb,0.299,0.000,0.000,0.000,0.509,0.016,0.192,0.000,0.161,0.100,0.000,0.127,0.000,0.435,0.000,0.358,0.000,0.000,0.065,0.156,0.101,0.099,0.000,0.101,0.000,0.092,0.014,0.139,0.356,0.169
model.000.16.pdb,0.380,0.066,0.000,0.014,0.492,0.058,0.273,0.025,0.122,0.294,0.051,0.167,0.000,0.426,0.000,0.339,0.011,0.011,0.116,0.118,0.225,0.141,0.012,0.074,0.000,0.080,0.064,0.274,0.220,0.403
model.000.17.pdb,0.136,0.042,0.071,0.000,0.158,0.264,0.082,0.070,0.540,0.242,0.013,0.349,0.015,0.246,0.197,0.069,0.092,0.128,0.014,0.612,0.095,0.012,0.130,0.350,0.068,0.375,0.000,0.115,0.435,0.266
model.000.18.pdb,0.023,0.521,0.257,0.245,0.012,0.327,0.084,0.682,0.087,0.231,0.451,0.051,0.015,0.015,0.420,0.000,0.350,0.623,0.015,0.132,0.250,0.125,0.727,0.082,0.382,0.089,0.000,0.250,0.000,0.145
model.000.19.pdb,0.429,0.221,0.010,0.101,0.371,0.056,0.351,0.120,0.104,0.525,0.200,0.069,0.000,0.411,0.025,0.149,0.034,0.091,0.179,0.115,0.429,0.264,0.075,0.085,0.024,0.103,0.024,0.418,0.213,0.618
model.000.20.pdb,0.013,0.400,0.054,0.098,0.013,0.447,0.026,0.362,0.066,0.273,0.362,0.000,0.000,0.035,0.220,0.000,0.076,0.333,0.017,0.155,0.176,0.044,0.294,0.015,0.100,0.013,0.000,0.230,0.019,0.327
model.000.21.pdb,0.382,0.222,0.243,0.373,0.125,0.000,0.516,0.200,0.000,0.200,0.258,0.000,0.250,0.159,0.027,0.097,0.214,0.098,0.553,0.000,0.446,0.635,0.096,0.012,0.176,0.034,0.179,0.348,0.000,0.107
model.000.22.pdb,0.022,0.056,0.216,0.000,0.035,0.264,0.022,0.152,0.375,0.051,0.013,0.417,0.115,0.000,0.404,0.055,0.186,0.313,0.000,0.317,0.000,0.025,0.238,0.528,0.182,0.544,0.203,0.000,0.065,0.038
model.000.23.pdb,0.000,0.275,0.111,0.036,0.000,0.629,0.000,0.347,0.175,0.180,0.179,0.087,0.000,0.034,0.432,0.000,0.141,0.345,0.000,0.353,0.093,0.000,0.388,0.127,0.172,0.114,0.000,0.116,0.037,0.183
model.000.24.pdb,0.071,0.074,0.692,0.158,0.000,0.048,0.071,0.138,0.056,0.013,0.057,0.122,0.435,0.000,0.315,0.000,0.558,0.365,0.078,0.013,0.047,0.125,0.310,0.113,0.490,0.178,0.293,0.024,0.000,0.000
model.000.25.pdb,0.024,0.283,0.297,0.151,0.000,0.395,0.049,0.468,0.129,0.103,0.211,0.068,0.070,0.000,0.650,0.000,0.357,0.688,0.000,0.161,0.104,0.056,0.690,0.104,0.420,0.141,0.029,0.096,0.000,0.057
model.000.26.pdb,0.492,0.111,0.033,0.141,0.453,0.000,0.448,0.066,0.051,0.208,0.125,0.125,0.043,0.246,0.013,0.439,0.011,0.011,0.333,0.012,0.311,0.294,0.012,0.089,0.012,0.069,0.139,0.333,0.092,0.229
model.000.27.pdb,0.103,0.000,0.146,0.000,0.070,0.044,0.055,0.013,0.446,0.012,0.000,0.618,0.108,0.071,0.100,0.174,0.087,0.095,0.087,0.258,0.021,0.061,0.051,0.545,0.051,0.614,0.328,0.011,0.207,0.024
model.000.28.pdb,0.064,0.082,0.066,0.000,0.053,0.450,0.025,0.117,0.447,0.177,0.031,0.267,0.017,0.107,0.333,0.015,0.088,0.234,0.000,0.591,0.051,0.000,0.190,0.263,0.078,0.295,0.000,0.054,0.213,0.180
model.000.29.pdb,0.052,0.085,0.053,0.000,0.041,0.474,0.025,0.140,0.404,0.203,0.066,0.233,0.000,0.111,0.292,0.015,0.059,0.203,0.000,0.545,0.066,0.000,0.175,0.228,0.063,0.262,0.000,0.070,0.250,0.207
