 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb,model.000.25.pdb,model.000.26.pdb,model.000.27.pdb,model.000.28.pdb,model.000.29.pdb
model.000.00.pdb,0.048,0.092,0.024,0.080,0.000,0.493,0.526,0.047,0.049,0.049,0.486,0.176,0.136,0.176,0.059,0.299,0.380,0.136,0.023,0.429,0.013,0.382,0.022,0.000,0.071,0.024,0.492,0.103,0.064,0.052
model.000.01.pdb,0.207,0.082,0.273,0.000,0.362,0.296,0.229,0.106,0.046,0.115,0.343,0.167,0.000,0.000,0.431,0.000,0.066,0.042,0.521,0.221,0.400,0.222,0.056,0.275,0.074,0.283,0.111,0.000,0.082,0.085
model.000.02.pdb,0.269,0.025,0.250,0.208,0.113,0.029,0.114,0.333,0.297,0.169,0.105,0.000,0.140,0.444,0.333,0.000,0.000,0.071,0.257,0.010,0.054,0.243,0.216,0.111,0.692,0.297,0.033,0.146,0.066,0.053
model.000.03.pdb,0.105,0.000,0.125,0.000,0.056,0.181,0.203,0.031,0.000,0.052,0.258,0.033,0.000,0.143,0.435,0.000,0.014,0.000,0.245,0.101,0.098,0.373,0.000,0.036,0.158,0.151,0.141,0.000,0.000,0.000
model.000.04.pdb,0.025,0.097,0.000,0.058,0.000,0.364,0.322,0.036,0.052,0.013,0.287,0.186,0.143,0.027,0.012,0.509,0.492,0.158,0.012,0.371,0.013,0.125,0.035,0.000,0.000,0.000,0.453,0.070,0.053,0.041
model.000.05.pdb,0.292,0.415,0.409,0.111,0.556,0.037,0.056,0.204,0.091,0.463,0.038,0.148,0.103,0.000,0.182,0.016,0.058,0.264,0.327,0.056,0.447,0.000,0.264,0.629,0.048,0.395,0.000,0.044,0.450,0.474
model.000.06.pdb,0.036,0.064,0.048,0.056,0.000,0.493,0.566,0.047,0.049,0.024,0.529,0.130,0.087,0.176,0.169,0.192,0.273,0.082,0.084,0.351,0.026,0.516,0.022,0.000,0.071,0.049,0.448,0.055,0.025,0.025
model.000.07.pdb,0.340,0.098,0.479,0.053,0.383,0.177,0.157,0.194,0.113,0.232,0.247,0.092,0.037,0.016,0.644,0.000,0.025,0.070,0.682,0.120,0.362,0.200,0.152,0.347,0.138,0.468,0.066,0.013,0.117,0.140
model.000.08.pdb,0.220,0.283,0.143,0.481,0.158,0.044,0.083,0.271,0.228,0.321,0.022,0.241,0.491,0.000,0.056,0.161,0.122,0.540,0.087,0.104,0.066,0.000,0.375,0.175,0.056,0.129,0.051,0.446,0.447,0.404
model.000.09.pdb,0.027,0.352,0.167,0.024,0.183,0.500,0.473,0.000,0.000,0.119,0.448,0.510,0.047,0.000,0.194,0.100,0.294,0.242,0.231,0.525,0.273,0.200,0.051,0.180,0.013,0.103,0.208,0.012,0.177,0.203
model.000.10.pdb,0.109,0.081,0.246,0.000,0.250,0.310,0.272,0.028,0.000,0.045,0.400,0.145,0.000,0.032,0.370,0.000,0.051,0.013,0.451,0.200,0.362,0.258,0.013,0.179,0.057,0.211,0.125,0.000,0.031,0.066
model.000.11.pdb,0.212,0.134,0.067,0.630,0.072,0.052,0.057,0.339,0.345,0.200,0.020,0.127,0.722,0.043,0.037,0.127,0.167,0.349,0.051,0.069,0.000,0.000,0.417,0.087,0.122,0.068,0.125,0.618,0.267,0.233
model.000.12.pdb,0.086,0.000,0.033,0.164,0.000,0.024,0.092,0.158,0.151,0.034,0.064,0.000,0.101,0.556,0.048,0.000,0.000,0.015,0.015,0.000,0.000,0.250,0.115,0.000,0.435,0.070,0.043,0.108,0.017,0.000
model.000.13.pdb,0.000,0.240,0.015,0.057,0.000,0.294,0.273,0.000,0.016,0.032,0.265,0.375,0.097,0.000,0.045,0.435,0.426,0.246,0.015,0.411,0.035,0.159,0.000,0.034,0.000,0.000,0.246,0.071,0.107,0.111
model.000.14.pdb,0.581,0.185,0.545,0.246,0.409,0.011,0.042,0.479,0.269,0.571,0.035,0.046,0.209,0.000,0.340,0.000,0.000,0.197,0.420,0.025,0.220,0.027,0.404,0.432,0.315,0.650,0.013,0.100,0.333,0.292
model.000.15.pdb,0.000,0.079,0.000,0.067,0.000,0.160,0.143,0.027,0.077,0.000,0.150,0.091,0.133,0.066,0.000,0.358,0.339,0.069,0.000,0.149,0.000,0.097,0.055,0.000,0.000,0.000,0.439,0.174,0.015,0.015
model.000.16.pdb,0.393,0.028,0.322,0.211,0.143,0.064,0.134,0.328,0.246,0.226,0.101,0.000,0.152,0.224,0.473,0.000,0.011,0.092,0.350,0.034,0.076,0.214,0.186,0.141,0.558,0.357,0.011,0.087,0.088,0.059
model.000.17.pdb,0.509,0.145,0.627,0.213,0.426,0.117,0.117,0.410,0.266,0.373,0.144,0.064,0.171,0.056,0.483,0.000,0.011,0.128,0.623,0.091,0.333,0.098,0.313,0.345,0.365,0.688,0.011,0.095,0.234,0.203
model.000.18.pdb,0.015,0.000,0.000,0.014,0.000,0.257,0.289,0.000,0.032,0.016,0.323,0.048,0.013,0.255,0.078,0.065,0.116,0.014,0.015,0.179,0.017,0.553,0.000,0.000,0.078,0.000,0.333,0.087,0.000,0.000
model.000.19.pdb,0.213,0.429,0.194,0.323,0.259,0.055,0.104,0.185,0.125,0.385,0.011,0.298,0.299,0.000,0.069,0.156,0.118,0.612,0.132,0.115,0.155,0.000,0.317,0.353,0.013,0.161,0.012,0.258,0.591,0.545
model.000.20.pdb,0.074,0.122,0.130,0.011,0.125,0.603,0.526,0.011,0.012,0.012,0.726,0.243,0.031,0.111,0.250,0.101,0.225,0.095,0.250,0.429,0.176,0.446,0.000,0.093,0.047,0.104,0.311,0.021,0.051,0.066
model.000.21.pdb,0.040,0.000,0.040,0.062,0.014,0.370,0.410,0.052,0.056,0.013,0.420,0.054,0.083,0.183,0.191,0.099,0.141,0.012,0.125,0.264,0.044,0.635,0.025,0.000,0.125,0.056,0.294,0.061,0.000,0.000
