 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb,model.000.25.pdb,model.000.26.pdb,model.000.27.pdb,model.000.28.pdb,model.000.29.pdb
model.000.00.pdb,0.364,0.167,0.579,0.062,0.588,0.079,0.070,0.235,0.137,0.349,0.096,0.071,0.043,0.000,0.400,0.000,0.014,0.102,0.575,0.058,0.472,0.031,0.226,0.486,0.125,0.568,0.000,0.015,0.217,0.256
model.000.01.pdb,0.164,0.042,0.054,0.536,0.029,0.020,0.038,0.373,0.462,0.118,0.000,0.068,0.596,0.060,0.025,0.130,0.099,0.239,0.038,0.034,0.000,0.000,0.456,0.028,0.174,0.086,0.086,0.673,0.156,0.125
model.000.02.pdb,0.012,0.179,0.037,0.034,0.041,0.591,0.513,0.012,0.013,0.038,0.431,0.361,0.079,0.000,0.089,0.383,0.567,0.173,0.062,0.574,0.118,0.184,0.011,0.068,0.000,0.000,0.431,0.045,0.068,0.085
model.000.03.pdb,0.520,0.075,0.407,0.292,0.228,0.054,0.059,0.612,0.396,0.345,0.067,0.000,0.236,0.131,0.386,0.000,0.012,0.125,0.339,0.047,0.113,0.051,0.373,0.246,0.549,0.480,0.024,0.164,0.180,0.129
model.000.04.pdb,0.375,0.043,0.328,0.232,0.164,0.031,0.090,0.379,0.316,0.230,0.066,0.000,0.169,0.250,0.429,0.000,0.000,0.093,0.356,0.011,0.077,0.183,0.224,0.161,0.702,0.389,0.000,0.103,0.090,0.076
model.000.05.pdb,0.039,0.206,0.096,0.011,0.138,0.645,0.493,0.000,0.000,0.026,0.613,0.356,0.033,0.000,0.203,0.176,0.358,0.133,0.203,0.550,0.237,0.279,0.012,0.103,0.012,0.068,0.343,0.011,0.070,0.104
model.000.06.pdb,0.245,0.550,0.347,0.175,0.429,0.086,0.114,0.211,0.103,0.524,0.036,0.269,0.162,0.000,0.113,0.031,0.132,0.449,0.211,0.129,0.311,0.000,0.340,0.525,0.045,0.306,0.013,0.103,0.676,0.622
model.000.07.pdb,0.368,0.042,0.322,0.246,0.125,0.042,0.089,0.397,0.357,0.226,0.089,0.000,0.182,0.224,0.421,0.000,0.000,0.107,0.306,0.022,0.044,0.164,0.258,0.141,0.688,0.382,0.011,0.130,0.104,0.075
model.000.08.pdb,0.188,0.600,0.267,0.183,0.346,0.167,0.187,0.145,0.057,0.396,0.067,0.490,0.156,0.000,0.097,0.134,0.261,0.558,0.179,0.236,0.327,0.000,0.246,0.420,0.013,0.213,0.049,0.118,0.600,0.591
model.000.09.pdb,0.026,0.101,0.013,0.023,0.000,0.437,0.514,0.000,0.013,0.000,0.515,0.159,0.081,0.159,0.092,0.270,0.338,0.118,0.051,0.329,0.000,0.475,0.000,0.000,0.078,0.026,0.406,0.023,0.041,0.042
model.000.10.pdb,0.125,0.659,0.180,0.159,0.245,0.175,0.195,0.087,0.014,0.321,0.070,0.500,0.149,0.000,0.027,0.180,0.277,0.540,0.103,0.232,0.250,0.000,0.185,0.314,0.014,0.148,0.079,0.125,0.511,0.500
model.000.11.pdb,0.143,0.034,0.208,0.000,0.261,0.265,0.200,0.047,0.016,0.051,0.355,0.123,0.000,0.018,0.426,0.000,0.027,0.000,0.489,0.185,0.295,0.246,0.015,0.157,0.081,0.216,0.104,0.000,0.000,0.036
model.000.12.pdb,0.245,0.148,0.467,0.014,0.429,0.158,0.140,0.131,0.049,0.185,0.229,0.119,0.013,0.017,0.468,0.000,0.027,0.060,0.643,0.097,0.513,0.123,0.127,0.356,0.078,0.422,0.013,0.000,0.148,0.176
model.000.13.pdb,0.169,0.029,0.056,0.500,0.029,0.010,0.029,0.386,0.480,0.104,0.011,0.041,0.561,0.095,0.026,0.101,0.061,0.209,0.039,0.023,0.000,0.012,0.473,0.029,0.197,0.088,0.103,0.635,0.125,0.094
model.000.14.pdb,0.015,0.000,0.000,0.169,0.000,0.011,0.075,0.164,0.269,0.000,0.060,0.000,0.125,0.605,0.044,0.000,0.000,0.000,0.000,0.000,0.000,0.210,0.177,0.000,0.365,0.031,0.083,0.222,0.000,0.000
model.000.15.pdb,0.200,0.000,0.119,0.175,0.017,0.023,0.077,0.232,0.231,0.085,0.049,0.000,0.113,0.439,0.190,0.000,0.000,0.000,0.095,0.026,0.000,0.177,0.145,0.034,0.725,0.164,0.013,0.103,0.000,0.000
model.000.16.pdb,0.014,0.404,0.129,0.040,0.185,0.394,0.325,0.000,0.000,0.062,0.268,0.667,0.051,0.000,0.074,0.167,0.397,0.293,0.141,0.596,0.340,0.069,0.014,0.161,0.000,0.046,0.143,0.039,0.158,0.208
