 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb,model.000.25.pdb,model.000.26.pdb,model.000.27.pdb,model.000.28.pdb,model.000.29.pdb
model.000.00.pdb,0.138,0.750,0.254,0.123,0.333,0.231,0.247,0.100,0.043,0.309,0.133,0.542,0.115,0.000,0.069,0.121,0.328,0.491,0.167,0.318,0.340,0.013,0.197,0.438,0.013,0.180,0.091,0.064,0.489,0.511
model.000.01.pdb,0.814,0.121,0.500,0.303,0.358,0.064,0.048,0.558,0.310,0.462,0.089,0.040,0.264,0.029,0.421,0.000,0.000,0.221,0.473,0.034,0.203,0.062,0.431,0.352,0.373,0.617,0.023,0.176,0.298,0.220
model.000.02.pdb,0.293,0.291,0.172,0.537,0.190,0.066,0.103,0.418,0.377,0.404,0.011,0.210,0.492,0.000,0.083,0.071,0.103,0.509,0.130,0.086,0.079,0.000,0.633,0.228,0.130,0.217,0.024,0.377,0.479,0.468
model.000.03.pdb,0.133,0.000,0.062,0.188,0.000,0.023,0.075,0.224,0.222,0.048,0.060,0.000,0.125,0.525,0.109,0.000,0.000,0.014,0.044,0.013,0.000,0.230,0.159,0.000,0.651,0.100,0.026,0.132,0.016,0.000
model.000.04.pdb,0.411,0.136,0.612,0.087,0.404,0.148,0.168,0.224,0.132,0.328,0.193,0.082,0.057,0.091,0.640,0.000,0.023,0.091,0.708,0.095,0.358,0.194,0.183,0.345,0.262,0.604,0.023,0.023,0.172,0.177
model.000.05.pdb,0.357,0.029,0.333,0.200,0.148,0.032,0.113,0.339,0.254,0.233,0.067,0.000,0.141,0.278,0.436,0.000,0.000,0.066,0.317,0.023,0.078,0.203,0.191,0.164,0.646,0.396,0.012,0.062,0.075,0.061
model.000.06.pdb,0.074,0.000,0.090,0.000,0.015,0.250,0.346,0.000,0.000,0.029,0.388,0.058,0.012,0.294,0.310,0.000,0.024,0.013,0.169,0.147,0.048,0.600,0.000,0.000,0.226,0.092,0.186,0.000,0.000,0.000
model.000.07.pdb,0.035,0.091,0.060,0.043,0.038,0.594,0.622,0.034,0.036,0.049,0.565,0.205,0.086,0.191,0.152,0.158,0.303,0.094,0.096,0.464,0.095,0.484,0.011,0.037,0.083,0.024,0.361,0.032,0.037,0.051
model.000.08.pdb,0.400,0.048,0.167,0.592,0.085,0.022,0.030,0.587,0.581,0.236,0.011,0.014,0.509,0.068,0.141,0.014,0.013,0.230,0.141,0.025,0.016,0.027,0.596,0.102,0.327,0.214,0.026,0.436,0.179,0.123
model.000.09.pdb,0.439,0.068,0.206,0.607,0.118,0.072,0.086,0.604,0.600,0.270,0.062,0.025,0.508,0.119,0.181,0.025,0.033,0.225,0.164,0.067,0.014,0.047,0.582,0.132,0.349,0.250,0.057,0.400,0.200,0.152
model.000.10.pdb,0.062,0.191,0.149,0.000,0.145,0.597,0.560,0.011,0.000,0.064,0.567,0.308,0.032,0.054,0.239,0.090,0.247,0.125,0.239,0.508,0.238,0.353,0.023,0.111,0.035,0.107,0.267,0.000,0.095,0.113
model.000.11.pdb,0.171,0.000,0.155,0.184,0.027,0.051,0.129,0.232,0.231,0.081,0.146,0.000,0.131,0.531,0.250,0.000,0.000,0.012,0.164,0.011,0.014,0.309,0.160,0.041,0.667,0.194,0.045,0.152,0.013,0.000
model.000.12.pdb,0.298,0.295,0.525,0.062,0.833,0.092,0.094,0.231,0.113,0.372,0.080,0.130,0.042,0.000,0.231,0.000,0.029,0.158,0.488,0.104,0.543,0.000,0.200,0.647,0.067,0.439,0.000,0.029,0.326,0.341
model.000.13.pdb,0.139,0.040,0.038,0.475,0.027,0.051,0.046,0.328,0.404,0.111,0.041,0.065,0.508,0.103,0.024,0.123,0.107,0.225,0.024,0.056,0.000,0.047,0.403,0.027,0.133,0.053,0.165,0.784,0.147,0.118
model.000.14.pdb,0.044,0.182,0.067,0.051,0.047,0.648,0.764,0.021,0.022,0.069,0.533,0.301,0.091,0.100,0.153,0.218,0.432,0.163,0.089,0.500,0.100,0.360,0.042,0.084,0.065,0.045,0.364,0.040,0.096,0.113
model.000.15.pdb,0.136,0.449,0.103,0.317,0.150,0.102,0.151,0.130,0.106,0.281,0.056,0.389,0.313,0.000,0.013,0.250,0.178,0.667,0.054,0.173,0.079,0.000,0.250,0.228,0.013,0.074,0.062,0.273,0.479,0.438
model.000.16.pdb,0.415,0.227,0.568,0.119,0.625,0.026,0.047,0.326,0.191,0.474,0.026,0.036,0.092,0.000,0.271,0.000,0.000,0.189,0.452,0.014,0.378,0.000,0.286,0.606,0.130,0.600,0.000,0.081,0.350,0.333
model.000.17.pdb,0.520,0.108,0.551,0.135,0.373,0.101,0.113,0.295,0.156,0.345,0.157,0.041,0.099,0.113,0.717,0.000,0.000,0.110,0.646,0.060,0.255,0.169,0.191,0.340,0.339,0.574,0.024,0.062,0.161,0.167
model.000.18.pdb,0.393,0.138,0.592,0.089,0.440,0.149,0.146,0.227,0.134,0.333,0.225,0.083,0.058,0.029,0.688,0.000,0.000,0.092,0.800,0.110,0.392,0.181,0.169,0.377,0.227,0.617,0.048,0.024,0.175,0.200
model.000.19.pdb,0.179,0.667,0.234,0.208,0.281,0.188,0.233,0.155,0.085,0.351,0.112,0.549,0.195,0.000,0.079,0.162,0.324,0.647,0.139,0.314,0.263,0.012,0.254,0.370,0.025,0.167,0.085,0.143,0.531,0.521
model.000.20.pdb,0.032,0.429,0.032,0.125,0.074,0.132,0.171,0.015,0.000,0.088,0.091,0.488,0.149,0.000,0.000,0.391,0.271,0.380,0.015,0.262,0.096,0.000,0.045,0.113,0.000,0.000,0.072,0.106,0.224,0.234
model.000.21.pdb,0.477,0.151,0.757,0.106,0.513,0.061,0.066,0.283,0.167,0.432,0.090,0.048,0.068,0.000,0.511,0.000,0.000,0.111,0.659,0.054,0.381,0.043,0.207,0.463,0.236,0.750,0.014,0.028,0.220,0.229
model.000.22.pdb,0.500,0.048,0.327,0.262,0.189,0.046,0.052,0.500,0.340,0.314,0.060,0.000,0.224,0.127,0.358,0.000,0.000,0.121,0.263,0.051,0.088,0.086,0.298,0.208,0.500,0.396,0.026,0.130,0.140,0.086
model.000.23.pdb,0.022,0.085,0.011,0.041,0.000,0.438,0.389,0.021,0.034,0.022,0.449,0.148,0.116,0.075,0.067,0.348,0.444,0.101,0.011,0.359,0.012,0.299,0.010,0.000,0.021,0.011,0.689,0.121,0.035,0.036
model.000.24.pdb,0.129,0.294,0.045,0.300,0.085,0.108,0.133,0.123,0.097,0.172,0.098,0.321,0.339,0.000,0.014,0.346,0.246,0.500,0.028,0.203,0.016,0.000,0.172,0.083,0.014,0.030,0.143,0.274,0.294,0.306
model.000.25.pdb,0.411,0.027,0.339,0.279,0.141,0.041,0.067,0.464,0.453,0.242,0.076,0.000,0.211,0.200,0.464,0.000,0.000,0.105,0.344,0.022,0.075,0.117,0.355,0.156,0.547,0.426,0.035,0.189,0.119,0.058
model.000.26.pdb,0.120,0.268,0.333,0.000,0.515,0.114,0.100,0.073,0.019,0.174,0.086,0.167,0.000,0.000,0.113,0.000,0.063,0.109,0.311,0.131,0.633,0.000,0.109,0.378,0.000,0.256,0.000,0.000,0.238,0.250
model.000.27.pdb,0.014,0.000,0.000,0.153,0.000,0.115,0.176,0.083,0.159,0.000,0.159,0.000,0.128,0.545,0.026,0.042,0.089,0.000,0.013,0.048,0.000,0.390,0.096,0.000,0.200,0.000,0.214,0.254,0.000,0.000
model.000.28.pdb,0.095,0.189,0.165,0.010,0.162,0.629,0.590,0.033,0.000,0.059,0.623,0.314,0.040,0.076,0.250,0.136,0.272,0.128,0.267,0.522,0.232,0.356,0.000,0.145,0.056,0.125,0.308,0.000,0.073,0.089
model.000.29.pdb,0.241,0.581,0.358,0.143,0.467,0.160,0.169,0.154,0.077,0.429,0.082,0.333,0.133,0.000,0.136,0.043,0.186,0.375,0.250,0.197,0.413,0.000,0.262,0.558,0.027,0.296,0.012,0.080,0.545,0.610
