 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb,model.000.25.pdb,model.000.26.pdb,model.000.27.pdb,model.000.28.pdb,model.000.29.pdb
model.000.00.pdb,0.000,0.057,0.463,0.071,0.045,0.301,0.025,0.045,0.083,0.583,0.130,0.068,0.000,0.058,0.137,0.080,0.164,0.583,0.456,0.354,0.118,0.011,0.057,0.729,0.286,0.366,0.552,0.115,0.023,0.062
model.000.01.pdb,0.381,0.000,0.174,0.138,0.154,0.418,0.103,0.134,0.121,0.130,0.077,0.722,0.524,0.000,0.000,0.032,0.259,0.130,0.093,0.145,0.015,0.175,0.169,0.104,0.491,0.333,0.243,0.000,0.200,0.000
model.000.02.pdb,0.159,0.152,0.000,0.483,0.731,0.022,0.068,0.685,0.035,0.120,0.000,0.132,0.162,0.187,0.446,0.549,0.000,0.107,0.021,0.000,0.078,0.679,0.625,0.136,0.183,0.118,0.052,0.000,0.611,0.183
model.000.03.pdb,0.133,0.000,0.104,0.117,0.236,0.224,0.000,0.255,0.000,0.183,0.000,0.528,0.295,0.000,0.093,0.118,0.070,0.203,0.103,0.067,0.000,0.241,0.302,0.182,0.415,0.304,0.143,0.000,0.275,0.000
model.000.04.pdb,0.000,0.085,0.492,0.048,0.000,0.230,0.027,0.011,0.087,0.358,0.122,0.027,0.000,0.074,0.000,0.000,0.174,0.422,0.638,0.448,0.110,0.000,0.023,0.380,0.092,0.148,0.351,0.231,0.000,0.038
model.000.05.pdb,0.429,0.015,0.014,0.200,0.117,0.061,0.600,0.097,0.467,0.014,0.378,0.125,0.333,0.015,0.000,0.000,0.132,0.014,0.014,0.033,0.176,0.138,0.097,0.013,0.057,0.014,0.039,0.049,0.103,0.052
model.000.06.pdb,0.000,0.045,0.361,0.058,0.082,0.397,0.013,0.094,0.058,0.583,0.074,0.197,0.110,0.034,0.137,0.066,0.149,0.484,0.338,0.257,0.062,0.058,0.120,0.645,0.435,0.516,0.552,0.046,0.072,0.036
model.000.07.pdb,0.553,0.013,0.093,0.271,0.288,0.254,0.161,0.262,0.119,0.097,0.060,0.575,0.667,0.014,0.000,0.066,0.150,0.082,0.051,0.075,0.062,0.316,0.305,0.075,0.339,0.209,0.128,0.000,0.327,0.029
model.000.08.pdb,0.071,0.418,0.078,0.118,0.069,0.026,0.294,0.083,0.357,0.039,0.358,0.000,0.048,0.382,0.030,0.000,0.111,0.039,0.077,0.090,0.750,0.070,0.068,0.036,0.000,0.000,0.035,0.205,0.028,0.420
model.000.09.pdb,0.121,0.000,0.375,0.013,0.038,0.635,0.203,0.051,0.266,0.250,0.283,0.380,0.268,0.000,0.000,0.000,0.562,0.250,0.203,0.368,0.087,0.038,0.051,0.243,0.391,0.450,0.446,0.094,0.053,0.000
model.000.10.pdb,0.255,0.000,0.188,0.071,0.134,0.436,0.066,0.132,0.087,0.162,0.060,0.750,0.548,0.000,0.015,0.016,0.255,0.162,0.107,0.125,0.000,0.136,0.149,0.162,0.566,0.397,0.294,0.000,0.159,0.000
model.000.11.pdb,0.030,0.654,0.083,0.167,0.118,0.011,0.175,0.132,0.183,0.023,0.176,0.000,0.014,0.556,0.101,0.072,0.054,0.060,0.108,0.066,0.560,0.120,0.103,0.033,0.000,0.000,0.032,0.130,0.093,0.549
model.000.12.pdb,0.000,0.113,0.000,0.175,0.360,0.000,0.018,0.278,0.000,0.127,0.000,0.000,0.000,0.136,0.513,0.500,0.000,0.109,0.014,0.000,0.017,0.314,0.302,0.182,0.119,0.141,0.067,0.000,0.300,0.127
model.000.13.pdb,0.000,0.043,0.481,0.000,0.000,0.321,0.091,0.000,0.207,0.321,0.245,0.055,0.017,0.014,0.000,0.000,0.333,0.321,0.393,0.634,0.143,0.000,0.000,0.328,0.147,0.226,0.297,0.424,0.000,0.016
model.000.14.pdb,0.436,0.138,0.000,0.532,0.377,0.013,0.378,0.370,0.241,0.013,0.172,0.091,0.265,0.143,0.032,0.216,0.000,0.000,0.000,0.000,0.179,0.412,0.370,0.000,0.067,0.013,0.000,0.000,0.400,0.175
model.000.15.pdb,0.000,0.130,0.258,0.000,0.000,0.111,0.015,0.000,0.041,0.212,0.091,0.000,0.000,0.152,0.115,0.000,0.094,0.290,0.500,0.237,0.094,0.000,0.000,0.208,0.077,0.108,0.156,0.178,0.000,0.092
model.000.16.pdb,0.222,0.105,0.000,0.547,0.766,0.049,0.075,0.680,0.038,0.075,0.000,0.186,0.220,0.108,0.175,0.412,0.000,0.062,0.000,0.000,0.101,0.708,0.826,0.094,0.169,0.100,0.022,0.000,0.667,0.116
