 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb,model.000.25.pdb,model.000.26.pdb,model.000.27.pdb,model.000.28.pdb,model.000.29.pdb
model.000.00.pdb,0.113,0.125,0.024,0.000,0.118,0.422,0.099,0.106,0.254,0.386,0.123,0.123,0.000,0.236,0.207,0.072,0.026,0.149,0.015,0.407,0.171,0.013,0.136,0.114,0.027,0.133,0.000,0.200,0.235,0.472
model.000.01.pdb,0.033,0.226,0.338,0.131,0.011,0.308,0.033,0.400,0.200,0.051,0.167,0.211,0.113,0.000,0.644,0.000,0.424,0.618,0.000,0.212,0.094,0.050,0.519,0.242,0.436,0.309,0.054,0.086,0.031,0.025
model.000.02.pdb,0.059,0.014,0.143,0.000,0.062,0.250,0.034,0.088,0.562,0.096,0.014,0.509,0.100,0.078,0.315,0.027,0.174,0.246,0.000,0.481,0.011,0.025,0.169,0.519,0.134,0.593,0.103,0.012,0.185,0.097
model.000.03.pdb,0.107,0.000,0.653,0.073,0.000,0.000,0.092,0.015,0.015,0.000,0.000,0.101,0.686,0.000,0.143,0.030,0.345,0.179,0.148,0.000,0.037,0.121,0.113,0.091,0.302,0.162,0.447,0.026,0.000,0.000
model.000.04.pdb,0.022,0.400,0.314,0.346,0.000,0.278,0.119,0.660,0.068,0.200,0.368,0.036,0.061,0.000,0.389,0.000,0.466,0.636,0.043,0.110,0.237,0.181,0.667,0.064,0.509,0.071,0.000,0.203,0.000,0.107
model.000.05.pdb,0.058,0.156,0.679,0.264,0.000,0.119,0.110,0.293,0.041,0.038,0.119,0.091,0.396,0.000,0.412,0.000,0.783,0.500,0.077,0.040,0.083,0.155,0.453,0.111,0.791,0.160,0.188,0.049,0.000,0.000
model.000.06.pdb,0.257,0.291,0.284,0.561,0.063,0.000,0.443,0.263,0.000,0.258,0.385,0.000,0.208,0.063,0.045,0.014,0.254,0.135,0.426,0.000,0.419,0.519,0.156,0.013,0.213,0.012,0.141,0.317,0.000,0.132
model.000.07.pdb,0.609,0.178,0.135,0.234,0.303,0.013,0.661,0.145,0.035,0.348,0.261,0.021,0.145,0.262,0.024,0.128,0.119,0.088,0.439,0.023,0.585,0.541,0.085,0.045,0.085,0.065,0.114,0.441,0.069,0.333
model.000.08.pdb,0.037,0.015,0.258,0.000,0.038,0.071,0.024,0.078,0.321,0.000,0.000,0.418,0.151,0.000,0.320,0.061,0.267,0.286,0.000,0.180,0.000,0.041,0.183,0.480,0.224,0.558,0.186,0.000,0.093,0.000
model.000.09.pdb,0.090,0.039,0.319,0.028,0.081,0.091,0.090,0.110,0.281,0.000,0.013,0.406,0.159,0.000,0.368,0.051,0.354,0.348,0.000,0.183,0.043,0.100,0.221,0.564,0.277,0.603,0.224,0.011,0.060,0.000
model.000.10.pdb,0.282,0.407,0.065,0.357,0.185,0.056,0.429,0.292,0.024,0.636,0.527,0.011,0.013,0.234,0.052,0.062,0.123,0.171,0.254,0.061,0.695,0.379,0.162,0.023,0.132,0.021,0.012,0.610,0.072,0.459
model.000.11.pdb,0.128,0.096,0.759,0.197,0.011,0.014,0.155,0.157,0.012,0.048,0.110,0.084,0.553,0.000,0.200,0.051,0.467,0.292,0.169,0.000,0.115,0.173,0.239,0.089,0.456,0.163,0.414,0.070,0.000,0.000
model.000.12.pdb,0.000,0.341,0.104,0.040,0.000,0.594,0.000,0.364,0.130,0.158,0.224,0.045,0.000,0.000,0.390,0.000,0.117,0.385,0.000,0.260,0.101,0.015,0.409,0.083,0.148,0.075,0.000,0.127,0.020,0.161
model.000.13.pdb,0.115,0.000,0.159,0.000,0.081,0.014,0.066,0.013,0.390,0.000,0.000,0.552,0.123,0.041,0.114,0.206,0.086,0.094,0.086,0.217,0.021,0.060,0.037,0.564,0.064,0.550,0.344,0.022,0.183,0.012
model.000.14.pdb,0.507,0.192,0.091,0.229,0.325,0.024,0.594,0.133,0.067,0.429,0.253,0.062,0.049,0.309,0.011,0.145,0.122,0.071,0.290,0.078,0.486,0.464,0.067,0.065,0.079,0.071,0.044,0.458,0.135,0.394
model.000.15.pdb,0.111,0.014,0.011,0.000,0.162,0.226,0.047,0.028,0.596,0.194,0.014,0.361,0.000,0.278,0.145,0.103,0.025,0.075,0.000,0.750,0.071,0.000,0.056,0.295,0.013,0.323,0.014,0.076,0.561,0.197
model.000.16.pdb,0.000,0.244,0.164,0.043,0.000,0.600,0.000,0.357,0.184,0.050,0.140,0.100,0.021,0.000,0.500,0.000,0.185,0.438,0.000,0.224,0.043,0.000,0.475,0.148,0.204,0.131,0.000,0.062,0.000,0.051
model.000.17.pdb,0.022,0.345,0.348,0.314,0.000,0.294,0.083,0.562,0.101,0.125,0.271,0.077,0.081,0.000,0.412,0.000,0.491,0.582,0.014,0.114,0.182,0.123,0.638,0.096,0.540,0.115,0.027,0.162,0.000,0.067
model.000.18.pdb,0.045,0.490,0.282,0.327,0.011,0.308,0.120,0.674,0.083,0.221,0.426,0.036,0.015,0.014,0.423,0.000,0.377,0.618,0.043,0.127,0.257,0.183,0.681,0.065,0.436,0.072,0.000,0.257,0.000,0.123
model.000.19.pdb,0.119,0.085,0.045,0.000,0.125,0.353,0.093,0.099,0.362,0.333,0.083,0.208,0.000,0.259,0.230,0.082,0.049,0.139,0.014,0.500,0.133,0.012,0.127,0.221,0.053,0.233,0.000,0.156,0.308,0.383
