 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb,model.000.25.pdb,model.000.26.pdb,model.000.27.pdb,model.000.28.pdb,model.000.29.pdb
model.000.00.pdb,1.000,0.015,0.029,0.280,0.226,0.115,0.286,0.179,0.208,0.000,0.132,0.268,0.543,0.016,0.000,0.059,0.094,0.000,0.000,0.017,0.074,0.255,0.222,0.000,0.143,0.045,0.055,0.000,0.240,0.035
model.000.01.pdb,0.015,1.000,0.047,0.188,0.137,0.000,0.075,0.167,0.093,0.000,0.099,0.000,0.000,0.822,0.194,0.125,0.027,0.012,0.059,0.026,0.407,0.123,0.105,0.011,0.000,0.000,0.022,0.113,0.111,0.674
model.000.02.pdb,0.029,0.047,1.000,0.000,0.000,0.517,0.055,0.000,0.176,0.400,0.186,0.136,0.069,0.024,0.000,0.000,0.373,0.492,0.583,0.714,0.095,0.000,0.000,0.441,0.267,0.368,0.562,0.208,0.000,0.012
model.000.03.pdb,0.280,0.188,0.000,1.000,0.558,0.012,0.167,0.608,0.111,0.024,0.056,0.097,0.186,0.212,0.143,0.373,0.000,0.000,0.000,0.000,0.138,0.569,0.547,0.034,0.073,0.024,0.033,0.000,0.560,0.230
model.000.04.pdb,0.226,0.137,0.000,0.558,1.000,0.037,0.092,0.766,0.052,0.062,0.013,0.169,0.203,0.157,0.259,0.511,0.000,0.062,0.000,0.000,0.103,0.841,0.766,0.070,0.127,0.074,0.000,0.000,0.717,0.152
model.000.05.pdb,0.115,0.000,0.517,0.012,0.037,1.000,0.104,0.036,0.167,0.397,0.176,0.385,0.233,0.000,0.000,0.000,0.472,0.375,0.333,0.446,0.054,0.037,0.049,0.377,0.484,0.552,0.644,0.070,0.051,0.000
model.000.06.pdb,0.286,0.075,0.055,0.167,0.092,0.104,1.000,0.091,0.591,0.028,0.500,0.018,0.176,0.077,0.000,0.000,0.208,0.028,0.026,0.081,0.255,0.111,0.075,0.038,0.040,0.056,0.092,0.044,0.079,0.121
model.000.07.pdb,0.179,0.167,0.000,0.608,0.766,0.036,0.091,1.000,0.051,0.062,0.013,0.148,0.180,0.188,0.233,0.469,0.000,0.049,0.000,0.000,0.118,0.783,0.787,0.057,0.111,0.073,0.022,0.000,0.702,0.185
model.000.08.pdb,0.208,0.093,0.176,0.111,0.052,0.167,0.591,0.051,1.000,0.077,0.767,0.030,0.167,0.067,0.000,0.000,0.370,0.077,0.086,0.222,0.321,0.067,0.038,0.083,0.060,0.103,0.148,0.188,0.040,0.087
model.000.09.pdb,0.000,0.000,0.400,0.024,0.062,0.397,0.028,0.062,0.077,1.000,0.111,0.125,0.057,0.000,0.101,0.072,0.182,0.660,0.438,0.328,0.068,0.037,0.075,0.638,0.333,0.475,0.470,0.130,0.038,0.000
model.000.10.pdb,0.132,0.099,0.186,0.056,0.013,0.176,0.500,0.013,0.767,0.111,1.000,0.016,0.100,0.070,0.000,0.000,0.373,0.111,0.120,0.237,0.296,0.013,0.000,0.101,0.037,0.093,0.156,0.233,0.000,0.092
model.000.11.pdb,0.268,0.000,0.136,0.097,0.169,0.385,0.018,0.148,0.030,0.125,0.016,1.000,0.526,0.000,0.000,0.018,0.216,0.125,0.086,0.102,0.000,0.172,0.186,0.113,0.490,0.321,0.209,0.000,0.200,0.000
model.000.12.pdb,0.543,0.000,0.069,0.186,0.203,0.233,0.176,0.180,0.167,0.057,0.100,0.526,1.000,0.000,0.000,0.017,0.143,0.028,0.000,0.063,0.032,0.228,0.220,0.038,0.322,0.188,0.107,0.000,0.236,0.016
model.000.13.pdb,0.016,0.822,0.024,0.212,0.157,0.000,0.077,0.188,0.067,0.000,0.070,0.000,0.000,1.000,0.220,0.148,0.014,0.024,0.073,0.013,0.370,0.143,0.123,0.022,0.011,0.000,0.022,0.056,0.130,0.705
model.000.14.pdb,0.000,0.194,0.000,0.143,0.259,0.000,0.000,0.233,0.000,0.101,0.000,0.000,0.000,0.220,1.000,0.442,0.000,0.118,0.039,0.000,0.031,0.200,0.175,0.169,0.111,0.114,0.062,0.000,0.207,0.241
model.000.15.pdb,0.059,0.125,0.000,0.373,0.511,0.000,0.000,0.469,0.000,0.072,0.000,0.018,0.017,0.148,0.442,1.000,0.000,0.057,0.000,0.000,0.000,0.429,0.440,0.080,0.068,0.086,0.012,0.000,0.478,0.121
model.000.16.pdb,0.094,0.027,0.373,0.000,0.000,0.472,0.208,0.000,0.370,0.182,0.373,0.216,0.143,0.014,0.000,0.000,1.000,0.200,0.188,0.449,0.133,0.000,0.000,0.197,0.242,0.333,0.403,0.214,0.000,0.000
model.000.17.pdb,0.000,0.012,0.492,0.000,0.062,0.375,0.028,0.049,0.077,0.660,0.111,0.125,0.028,0.024,0.118,0.057,0.200,1.000,0.614,0.421,0.068,0.024,0.062,0.638,0.296,0.406,0.448,0.130,0.038,0.013
model.000.18.pdb,0.000,0.059,0.583,0.000,0.000,0.333,0.026,0.000,0.086,0.438,0.120,0.086,0.000,0.073,0.039,0.000,0.188,0.614,1.000,0.466,0.079,0.000,0.000,0.435,0.171,0.237,0.384,0.204,0.000,0.025
model.000.19.pdb,0.017,0.026,0.714,0.000,0.000,0.446,0.081,0.000,0.222,0.328,0.237,0.102,0.063,0.013,0.000,0.000,0.449,0.421,0.466,1.000,0.109,0.000,0.000,0.354,0.214,0.297,0.452,0.286,0.000,0.000
