 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,1.000,0.000,0.451,0.228,0.000,0.484,0.246,0.011,0.029,0.592
model.000.01.pdb,0.000,1.000,0.000,0.127,0.436,0.000,0.000,0.492,0.420,0.000
model.000.02.pdb,0.451,0.000,1.000,0.119,0.000,0.275,0.143,0.022,0.000,0.345
model.000.03.pdb,0.228,0.127,0.119,1.000,0.250,0.151,0.062,0.048,0.319,0.167
model.000.04.pdb,0.000,0.436,0.000,0.250,1.000,0.011,0.000,0.352,0.522,0.000
model.000.05.pdb,0.484,0.000,0.275,0.151,0.011,1.000,0.579,0.028,0.037,0.586
model.000.06.pdb,0.246,0.000,0.143,0.062,0.000,0.579,1.000,0.033,0.000,0.382
model.000.07.pdb,0.011,0.492,0.022,0.048,0.352,0.028,0.033,1.000,0.205,0.021
model.000.08.pdb,0.029,0.420,0.000,0.319,0.522,0.037,0.000,0.205,1.000,0.014
model.000.09.pdb,0.592,0.000,0.345,0.167,0.000,0.586,0.382,0.021,0.014,1.000
