 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.057,0.024,0.098,0.204,0.000,0.568,0.123,0.000,0.015,0.268
model.000.01.pdb,0.108,0.012,0.327,0.189,0.585,0.136,0.543,0.148,0.204,0.015
model.000.02.pdb,0.110,0.464,0.000,0.012,0.012,0.178,0.011,0.047,0.037,0.544
model.000.03.pdb,0.410,0.116,0.215,0.375,0.039,0.080,0.118,0.377,0.274,0.000
model.000.04.pdb,0.062,0.000,0.109,0.017,0.694,0.050,0.218,0.082,0.130,0.032
model.000.05.pdb,0.359,0.078,0.231,0.345,0.039,0.108,0.132,0.250,0.231,0.037
model.000.06.pdb,0.148,0.585,0.000,0.024,0.000,0.035,0.011,0.083,0.049,0.268
model.000.07.pdb,0.089,0.011,0.463,0.351,0.215,0.446,0.700,0.120,0.129,0.122
model.000.08.pdb,0.015,0.000,0.176,0.160,0.091,0.590,0.320,0.032,0.034,0.164
model.000.09.pdb,0.053,0.309,0.000,0.014,0.000,0.156,0.026,0.027,0.029,0.583
